far 	 first stay Rio , check four night . Rio seem intent get little money . friendly check - in receptionist try many trick trade get we agree upgrade : first ask we room upper floor view Strip would o.k . , later mention would cost ; engage we personal conversation present document signature state agree upgrade ( even though already say , & quot ; & quot ; ) . evening departure flight offer late checkout 4 pm $ 40 . decline offer noon checkout time additional fee . we happy & quot ; low floor & quot ; room . huge ! view Strip , view mountain light night sufficient . room clean . surprisingly quiet night even though Rio focus entertainment young adult look & quot ; good time & quot ; . ( think Brazil , Rio de Janeiro Mardi Gras . ) in - room coffee maker . call ask , told & quot ; low floor & quot ; coffee maker - & quot ; high floor & quot ; . arriive noon Thanksgiving Day find buffet open . option except pricey champagne buffet dinner since restaurant hotel close . even day restaurant open , option cheap fare . cafe open noon 1 pm , depend day week . starbuck seem least expensive dining option available . ( not accept Starbucks gift card ! ) Rio locate quite distance Strip . unless want good hike , car take Rio 's shuttle ( not start 10 ) sister hotel / casino Strip , be stuck . easy way go downtown without hire taxi . if look & quot ; adult - center & quot ; entertainment bar , Rio . many reasonable option gaming , meal , entertainment Strip . will stay next time . 
 hotel equivalent Wallmart . 	 like noise Casino , ' m talk usual casino hub - bub , love Rio . enjoy haul luggage escalator long distance crowd gaming area , Rio place . not mind wash hand cold water rest room ( man 's least ) , gripe . & quot ; huevos rancheros & quot ; breakfast café bore little resemblance eat anywhere . fairness , room large clean , staff friendly , bed reasonably comfortable . recognize always & quot ; different stroke different folk & quot ; , Rio major disappointment . 
 Sep 23 2009 	 rio little dissipointe 	 first , room perfect . clean , great bed , big room , tv , minibar , use . also fridge closet safe . room service good , fast even egg hot ! take 15 - 20 min time . shower great pressure ( important woman thick hair ... believe ) . Hair dryer , iron board closet well . site laundry room guest . ( hate bring dirty clothe home , be . ) disappointing , 's bad economy relate one exception . buffet use , much warm cold , nothing hot . many item seem fresh . hear complaint well walk , choose eat elsewhere . several unhappy people , attest . week , stage show , show sky girl dance . nothing , that s dissipointe change mention anywhere website . dissipointe gamble slot low limit table . min 10 even daytime . stay place will not gamble ? ? ? last couple time Vegas , not like 45 buck room , excited go . complaint room , view great . could not gamble hotel , save money ! lol good , stay Rio famous atmosphere , forget . right , different stay Strat , except Strat nice casino low min table . also , staff Rio Wonderful ! every person occasion deal . 
 Sep 22 2009 	 Great Service Great Staff Great Room 	 would anyone want stay Strip great casino 3/4 mile away nonsense . Rio come highly recommend , deliver ! food outstanding , suite large comfortable , service smile . go back Vegas , definitely Rio . 
 Sep 22 2009 	 difference month make 	 stay Rio least six time , usually 2 time year . trip slot soo tight , also obvious change bonus slot machine ( especially pinball ) , bottom tier would light bonus . anyway , casino virtually empty Thursday oh , gosh , people kid run around casino hour night , run hall even though call front desk 1 a.m. morning flight leave 6 a.m. scream , yell carry kid ? adult ? could tell difference . Stayed Mascarade tower need total makeover . bed uncomfortable back pain first night . buffet good previously , go Orleans great breakfast and/or lunch . rent car make search food much easy . good meal entire five day lunch buffet Arizona Charlies . trip downtown reward loose slot trip Silverton Casino also reward loose slot . overall , trip great , disappointed Rio . housekeeper open curtain day even though request curtain remain closed keep room cooler , air conditioner set 55 least 80 's . sure return Rio . disappoint . 
 Sep 17 2009 	 nice strip hotel 	 stay Rio September 6 - 10th . room Ipanema Tower . request room view strip front desk happy oblige . room clean comfortable . suite actually one large room . desk sit area sofa , chair coffee table . bathroom locate around corner sink . also large vanity outside bathroom sink . Carnival World buffet miss . although bit pricier Vegas buffet , outstanding selection food . waitstaff prompt refill drink remove use plate . good dinner early long line get 5:30 pm . pool Rio unheate unbearably cold . dip toe first . water waist get ten minute . could stand cold water long . one good feature Rio free shuttle Harrahs Paris . two shuttle bus start 10AM go 1am . bus run every half hour . evening bus run little late due traffic strip . casino overly impressive . slot machine tight drum . great time play rapid roulette . impressed casino Harrah 's Paris would definitely stay Rio . 
 Sep 15 2009 	 great Stay 	 second stay Rio . really like last year go least bit disappointed time either . 2 minute wait check check use access television . contact concierge several time stay assistance plan treat great time . room large clean , bed comfortable . wish pool hour long close 6 . great time probably stay next visit . 
 Sep 14 2009 	 enjoy Stay 	 book Deluxe & quot ; Suite & quot ; directly use total Rewards Card receive rate average $ 45 usd night please . check 9 - 6 five night , nice desk clerk give suite partial view Strip , gorgeous night , mountain view day great . three different housekeeper stay make point leave tip daily basis . they terrific job keep suite spotless cleaning morning important I . I meal Rio think overpriced . coupon ACG 50 % go next door Gold Coast think dinner buffet good lunch buffet good . also , reader look place buy beer / liquor , Gold Coast excellent price ; compare hotel Stage Door often recommend , high - price imo.the Rio 20 min . walk Strip , not bad morning , other comment free shuttle Harrah 's Paris . I also walk palm ten minute away . reasonably price breakfast & amp ; lunch buffet . reader look McDonald 's , 's place one Food Court . Bottom Line : would not hesitate stay Rio meet exceed expectation . 
 Sep 14 2009 	 eighty call ... would like brass glass back .... 	 rio tired , old hotel boring casino outdate room .... apparently new owner allow grand gem decay let terribly go .... amount brasso polish could bring lustre back glory day ... stay large suite possible ... masquerade ... 1600 sq ft ... paint peel .... wallpaper peel .... shoe scuff mark ceiling king size bed ? ? ? ? .... brass glass everywhere .... know be date high roller suite ? ? ? ? still sony trinitron armoire .... buzio 's closed 2 day week ... penn teller .... masquerade sky dark .... wonder place empty time 
 Sep 9 2009 	 pleasantly surprised ! ! ! 	 stay Rio group friend 10 friend labor day weekend bachelor party . read many review hestitant book room . however , budget air / hotel combo promotion want use not many hotel option available . fortunately not regret decision . lower expectation read review , even not , would satisife . arrive 11:00pm Friday night . considerable line check , take 30 - 40 minute . front line , process go relatively quick . guy front desk work fast ... not expect anybody kiss rear , business check , help make wait shorter . know group everything could get room close together . pretty close except one , Ipanema tower . not see room tower , base pic post WAY nice . true suite like many already say , much large standard room update new furniture . bed comfy , AC cold , room clean . absolutely complaint amenity . my friend brough several bottle alcohol luggage not go search liquor store . read forum impression difficult find . ! hotel can beer reasonable price ( $ 15.99 12 pack ) fifth alcohol definitely , extremely outrageous . item like water pop bit line ( $ 3 + ) . also pleasantly surprise gambling . impression table minimum go $ 30 peak hour . high end table , always able find $ 10 minimum table . like video roullette particular ... $ 2.50 min per spin . slot bit tight , tight one airport . little looser across street Gold Cost . food expensive side well , reasonable price , walk 5 minute Gold Coast . buffet mediocre , lot cheap . first night close 4:00am come back hotel place find eat American Bistro , 30 minute wait ... 4 am ! ? ! ? actually discover deal Gold Coast . 24 hr Friday 's 1/2 appetizer $ 5 primo drink hour ... definitely worth walk . location Rio well , certainly deal breaker . even be right strip will ton walk . take shuttle cab . walk much several moment wish paralyzed would not walk . come Cesars Palace buddy soooo sure Rio & quot ; right ... Less block way man & quot ; . half hour walk 80 degree midnight heat , hate talk . slight disappointment Rio close Saphire pool . hear overprice , willing check one day . pool scene remain pretty weak . stroll 11:00ish almost chair take . definetly family orient area , even othere end pool not much exciting scene . kinda cramp dirty . accidently get pool water mouth weirde salty ... truck L.A. ? overall , expereince good complain Rio . not believe bad review ... go open mind fun ! 
 Aug 31 2009 	 nice room ... ... 	 ok , will start good . check - in line short , clerk pleasant , room ok . take cool hot August day , overall good . Valet parking service consistently good , leave player card room staff member able get new one even though total Rewards desk not open yet . kudo that . but casino overall pleasant . bartender seem almost surly , prowl bar make sure maximum bet place . play max anyway , feel like & quot ; check & quot ; every time play hand . speak & quot ; prowling & quot ; , let us say lot work gal prowl around hour . ' m prude , get old . I also find casino dirty , bottle wrapper everywhere , overflow ashtray , pleasant atmosphere . order rum coke cocktail waiter ( yes , guy ! ) floor , serve glass melt ice barely coke rum it . so , can not complain room , , despite little luck casino , can not recommend place . need clean , several way ... 
 Aug 29 2009 	 love 	 beautiful , clean , comfortable , fun ... excellent 
 Aug 29 2009 	 Good Hotel Good Service Fair Location 	 spend 7 week year Las Vegas , stay mostly Las Vegas Hilton ... generally get treat well Hilton , Rio sufficient great weekend stay bachelor party attend Vegas . check little slow , arrive late Friday night . room clean comfortable , modern fresh . great thing Rio size room . call ' suite ' , be more - or - less oversized room , maybe could call studio suite ... one tv ( flatscreen ) , one bathroom . ( always end ' suite ' Hilton , be always 2 bathroom , 2 tv least 2 separate room -- , , real ' suite ' ) . report old , tired room , ask check - in ' renovate ' room give one -- look like re - do last year so . service hotel great , dealer game floor people friendly maid always say ' hi ' pass hallway . restaurant hotel keep odd hour ( want chinese lunch one day , not open 4 's breakfast - only place close 11 ) . staple 24 - hour place all - american Bar & amp ; Grill , limit menu marginal food often come wait table ... small place hotel Rio 's size . their poker room okay , great , never much wait get game . tournament small -- nightly 7pm tourney -- never get ( weekend ) 10 player . I not select Rio , bachelor , would stay ... strip , fine , could concern look action come comparable property like Harrah 's Paris . believe offer shuttle Harrah 's property strip , always take cab limos . 
 Aug 26 2009 	 Dream suite 	 hotel suite great surprise ! take Hollywood Honeymoon Suite beautiful , clean confortable bed life . hotel everything need , nice shop , bar , casino good restaurant . 's location good , be far elegance , trendy young people . 
 Aug 26 2009 	 not believe bad review ! 	 little hesitant stay read many negative review . could not wrong . place superb service checking , room cleaning , check . room large , update clean every day problem . great view pool strip . would recommend hotel friend . question staff , ask good help . 
