move 	 husband shock standard room * first room bathroom window jammed open bathroom towel use block freeze night air * porter arrive assist we move second room - already unpacked * second room plug bath request one tell use towel plug bath plug available * double glaze room face onto Broadway could sleep ! * carpet passage filthy * one redeem feature receptionist allow we check hotel follow morning thus cancel 5night stay - thrilled move fantastic midtown hotel could relax superb room enjoy service facility high standard fraction price . 
 check today verdict still impressed though 	 check afternoon happy rate decor , first room show extremely small . , carpet need cleaning , shower , bath . think unusual superior room . see review warn standard room , book superior room , still small . small ask desk really superior room , say . also , tv mount wall apparently work , second tv place front desk , make desk unusable . call different room well treat give another room , slightly large , bath . however , window extremely drafty , horrible time get shower work , get hot water , eventually pipe make noise could wake dead take shower , realize hair dryer miss , luggage rack ( discover early bring ) tonight go wash hand , hot water ! call morning , water also look discolour ! say , decor fine , bed nice , clean , many thing look small . would recommend hotel ? probably -- -I usually recommend place impress one do that . also , business room small hot would impossible spend amount time computer $ 2 10 minute plus charge printing . let tell , eat dollar bill like one armed bandit . wireless room charge , need printer ! select hotel free parking package want leave car park . definite plus , need get something car hopefully cost we $ 55 . let us see tomorrow go . maybe thing get well ! 
 Aug 20 2008 	 gem Upper West Side 	 Ave nice hotel mold W hotel . decent hotel Upper West Side ( Belclaire Newton ) , really dreadful one well ( Quality 94th b - way ) terribly overprice awful . ave excellent location , near subway , right heart UWS . also good restaraunt neighborhood . ave hotel W like room smallish , sense style . book queen - queen suite basically double size room two queen bed . room quite large . bed terrific - super comfortable . huge LCD room small one bathroom . the suite penthouse suit spectacular . overall , hotel 10 - 20 % Upper West Side Hotels , light year well . price difference , well worth . small price premium difference nice stay nightmare New York . 
 Aug 12 2008 	 MARK Avenue ! 	 stay four night seventh trip NYC . ' ve stay Plaza , Ritz , Waldorf , Sheraton Times Square Grand Hyatt ... far good hotel experience ' ve great city . one , quiet night . room large , clean comfortable ; bed superb sleep well ( well home ! ) staff helpful ( especially Ivan -- -thank help ! ) friendly . 's great location like walk , close many nice attraction . also close subway . one night experience late night fire alarm . Sirens , announcement loud speaker , bit fear , evacuate . restaurant across street excellent coffee nice waiter . second time ' ve experience fire alarm hotel ( Yellowstone Park ! ) ' m hope 8th trip NYC ( 9th 10th ... ) certainly stay ! 
 Aug 8 2008 	 Ave Average Value ! 	 snag great tix South Pacific , decide make Ave hotel weekend , largely convenience Lincoln Center . book Penthouse Loft give corner unit exposure 3 side , include panoramic view across Central Park , small terrace , large enough accommodate pair chair table -- Central Park vista , lovely place enjoy cup coffee glass wine evening . I love airiness suite confer many large window , thoughtfully accompany blackout drapery . furnishing stylish , ample room couple 's luggage belonging : double dresser bedroom ( top large , flat - screen tv ) ; small walk - in closet ample number excellent hanger ; another rather narrow closet equip shelf top bottom ; 2 nightstand drawer ; ( open ) shelve underneath marble counter sink area outside good - sized , marble bathroom house double - width shower commode . bedding , towel & amp ; robe high quality , mattress comfortable , Herman Miller desk chair nice touch ( chocolate pillow even well ! ) . lastly , bedroom uncommonly spacious , hear absolutely noise , suite immaculately maintain . but 's ' m give Ave 5 star : * & quot ; living room & quot ; really overgrown foyer seat not - very - comfortable armless loveseat right angle large - screen panel tv mount wall mini - bar -- truly pain neck . arrangement not find Penthouse unit , seem true least whose number end 01 . * * particular configuration suite place lavatory sink open ( next closet ) passageway living room bedroom . sink alcove well - light , neither bedroom close . thus , noise make use hair dryer , shaving , washing distinctly hear bedmate mattress step away . * * elevator size hotel , apparently service elevator guest compete maintenance & amp ; housekeep personnel spot . huge inconvenience drawback nonetheless . * * Ave bill boutique hotel , 250 room house 2 building join together . not feel cavernous , seem oddly & quot ; soul & quot ; -less , lack much personality warmth . may due lobby 's layout : reception / check - out personnel & amp ; concierge set way 's likely will never make eye contact go . plus , doorman -- although attentive enough hail cab , like -- otherwise indifferent / distant . none deficiency , however , would keep we make return trip . Ave 's rate typically lower comparable establishment , even less quality , also thoroughly enjoy hotel 's location , would happily book . 
 Aug 4 2008 	 great choice 	 stay Ave 5 night mum . find hotel great . location relation subway , many restaurant Central Park , excellent . superior double room excellent size 2 people . side , hotel lack bar restaurant even well complete . try Big Nicks road , personally good meal Ruby Foos round corner . 
 Jul 29 2008 	 great value money 	 stay Ave four day July . consider low price ny hotel , expect small room . pleasantly surprised find large room , stylish fitting king size bed . room usual trimming , include large flat screen tv . bed one comfortable bed ever sleep . difficulty coffee machine , however someone quickly dispatch fix . one downside room quite small bathroom , though perfectly manageable . ' free breakfast ' via diner locate across street . food good , restrict & quot ; 2 egg + bacon sausage & quot ; everyday . want try something different , go across Big Nicks Diner Broadway always one favourite . the hotel conveniente locate shopping restaurant . overall , say hotel represent fantastic value money . 
 Jul 22 2008 	 great location 	 hotel fabulous . NYC , room go small . anyone comment , get , pay suite . room fine , super comfortable bed , cool bathroom . flat screen tv . desk work . clean . really nice staff . fitness center 3 block Central Park - go run ! 1 block subway , cab galore need . yes charge internet . business traveler not aircard , expect pay internet time time . neighborhood great - lot great restaurant , safe , etc . absolutely stay . ' ve stay . frequently good deal price happy . 
 Jul 21 2008 	 Ave Average 	 NYC several time usually stay 4 star hotel . this stay definitely illustrate difference 3 4 star hotel . fine -- especially price -- be look something fun & quot ; extras & quot ; NYC flare , place . guess get pay .. convenient good location , though . 
 Jul 20 2008 	 wonderful Location ! 	 spring , boyfriend travel extensively work NYC stay number hotel , many like . however , awhile begin book ' on ave' . reason ( vouch , spend week hotel ) include : ) location : 2 block several subway ; 7 block Lincoln Center ; 2 block Natural History Museum Central Park ; wonderful shop , restaurant , grocery store ; quieter urban feelb ) room : small , well design : wonderful bed , nice shower , sleek , good use space.c ) quiet : room interior face thus incredibly quiet -- none siren / truck etc sometimes disturb ! ) staff : incredibly conscientious friendly entire time boyfriend stay . 
 Jul 19 2008 	 great choice Upper West 	 stay hotel weekend last June . specifically look place Upper West take lot online search find one ! must say pleased choice . I get Superior Room view directly hotel website - good discount early booking . get room one top floor , really surprise large balcony table chair ! yes , good view surrounding . the room decent size NYC standard , rather clean comfortable . bathroom also good size great walk - in power shower . unfortunately , private safe roo . the negative point ( least specific Saturday arive ) really late release room . though check - in suppose 3 p.m. , get room 4 . guest situation . cpensation , offer free breakfast stay . the location perfect , two block away tube ( 79th & amp ; Broadway ) , be excellent mini market across street top choice grocery , plenty great eatery nearby . everyday brunch Cafe Lalo must go ! would definitely recommend hotel would come back next trip New York . not many tourist area , really get feel true ny . 
 Jul 5 2008 	 Money Ave 	 spend 4 days-3 night hotel . stay various hotel New York year -- one - star Plaza everything . ave without doubt good value money hotel . stay one family suite ( Rm 1910 , believe ) . spacious bedroom view Hudson separate living room door close . tv room nicely appoint quite comfortable . admit start another family suite 4th floor , husband not like right top elevator . staff quick move we one , far superior . one wonder not get first time , worth move . room excellent value money hotel great location like Upper West Side . hotel 2 block subway , close lot restaurant , famous Fairway Market , Zabars , H H Bagels , within walk distance Lincoln Center Central Park . lobby small nice live piano jazz afternoon . restaurant bar not big drawback . would definitely recommend place , although certainly stand right room . 
