great 	 check check fab time Ny Ny - location central hotel ' ve stay new book . great room ( newly refurbish ) relatively low floor view unimportant casino bar great fun . lovely little coffee shop use bagel coffee breakfast round past starbuck piano bar . place buzz 24hour know not sleep 4 day visit . 
 great casino great people - not stay hotel 	 arrive Thanksgiving day San Diego , need family getaway ( say get away family : - ) book priceline put $ 90 four star well hotel , not lot choice hotel , price come back NY NY . read previous review online , want come open mind , prepare bad hope well ! arrive hotel , front desk extremely nice . not long line relatively painless . read previous review room , opt upgrade nice room $ 10 per night say remodel . enter room , like , way 4star hotel thank goodness upgrade . however , room noisy , every thirty second think hear roller coaster . imagine hear coaster Space Mountain pull , exact sound . call front desk ask time roller coaster stop run tell 11 pm . fine not plan room day , want make sure would able sleep . however , phone , bag arrive bellman informed roller coaster hearing , elevator shaft . ask move . accomodate . room ( moment write ) . room quieter , still hear elevator shaft . speak people work hotel , tell would not stay one room either & quot ; think design hotel room & quot ; . aestetecs ( sp ? ) , attempt remodel well state , update room . four star hotel Las Vegas strip - miss boat . new hotel go , getting completely revamp , afraid NY NY room look feel old Statue Liberty . popcorn ceiling , parquet panel armoire ( really , would think ? ) hideous bedspread look worn . sorry long write - up room , want let know expect stay . live forementione , good shape . the staff friendly throughout hotel , casino restaurant . absolutely would recommend gambling hear want play crap blackjack . table limit morning $ 5 11 am move $ 10 , depend busy . compare many 4 star hotel , great want play low limit . hotel minimum experience $ 15 friendly . huge shout Calvin Craps table , never miss bet chat everyone up . the nightclub ok , line . think indication economy location . club Encore hot spot Vegas time . NY NY hotel end strip , Excalibur , ideal location I . and , can not forget , LOVE LOVE love duel Piano Bar . go three night always fun ! always meet fun people really enjoy variety music . btw- ' m huge roller coaster fan , get talk go . sooooo much fun . however , everyone line agree not worth $ 14 per person . travel family , add quickly . in summary , recommend come NyNy little gambling duel Piano bar . , many GREAT deal strip , stay another hotel want peaceful night sleep . 
 great place stay . 	 nice location strip , many nearby attraction . hotel clean , nicely decorate , many thing . 
 great location okay price in - room coffee maker 	 stay NYNY , Las Vegas Halloween 3 night follow . excited 25th floor view diappoint . room clean modern , however bed uncomfortable . the air condite heat quick adjust comfort level bad part room probabaly reason stay return Vegas room coffee maker . call request one tell available . ( course could purchase pot coffee room service $ 9 plus $ 3 service fee ) . pool hot tub area clean entire casino . lot amenity site italian restaurant hotel excellent ! ! 
 Sep 29 2009 	 one sleepless night FIREBRAT 	 4 night stay , one sleepless night . arrive Tuesday evening , check Saturday afternoon . check - in uneventful quick . room 32nd floor Chrysler building overlook strip , bridge roller coaster . GREAT VIEW pretty quiet even though could hear roller coaster go 1 am . ny accustomed noise , affect stay . seem clean enough . hotel lobby provide several good place eat : pizza- SIrrico 's , sandwiches- Goldberg 's Deli , italian - Il Fornaio . Gallagher 's offer aged beef pricey - one aged steak , one order mash potato , one baby spinach salad , one new england clam chowder three glass wine = $ 99.00 include tip . lose appetite Friday night not really eat , pick husband 's meal . hotel one & quot ; four corner & quot ; share MGM , Luxor Tropicana . walkway connect four hotel allow cross strip traffic . hotel lobby keep pretty cold shawl hung lobby . hotel big overwhelming MGM get fairly quickly easily . pool small compare amount room guest stay . find lounge chair difficult end towel hard concrete surround pool . nevertheless , really enjoy stay Friday night AWAKENED pre - dinner nap BUG bed ! catch critter one glass provide , call front desk , send management . insist find thing want take anything back home we . offer move we another room , make sense since not know ) not take we another room b ) not another room . , request clean room , vacuum replace linen . leave next morning anyway tired freaked want know thing . & quot ; eco & quot ; people come 1:00 , inform us & quot ; FIREBRAT , & quot ; bedbug . relieve , sleep well last night . compensation allow we check past 11:00am . point impressed cleanliness room . stay various hotel range upscale Napili Kai Maui low low Danvers day Inn Massachussetts never come across bug bed . disappointed possibility bug possibility even upscale hotel , NYNY not even offer discount sleepless night . suggestion : always check critter unpack settling room . remove bed linen check mattress bedframe settling - in stay . way find anything remedy situation charge expose clothing belonging . 
 Sep 29 2009 	 good value strip 	 cut trip short , see pretty good . hotel decent , nine fine Irishmen good food quality . do not gamble much compe half final bill include food hotel . staff friendly , would stay although going try downtown hotel next trip . 
 Sep 28 2009 	 DISAPPOINTING 	 trip disappointing . ' m Michigan 20 casino pick , pay well Las Vegas . third year go Vegas last . well stay home . one we come home flu . room nice NYNY service except fight get $ 25 freeplay . payoff terrible . not win anything leave strip . 
 Sep 26 2009 	 Great Hotel would definately return ! 	 stay week September , hotel absolutely fantastic plenty offer . favourite bar one Times Square , definitely recommend ! Park Avenue Deluxe room either 2 queen size bed king . well equip , spacious clean every day . thing could miss tea coffee make facility . room also look towards roller coaster - noise really not bad ! ! also seem finish run around 11 pm everynight . location hotel great we . directly opposite MGM Grand monorail station . handy approx $ 13 could ride unlimited time 24hour take way strip , last stop close Stratosphere . during stay use pool numerous time , generally sun not get pool midday staff New York advise use pool Monte Carlo hotel also . over would highly recommend hotel would definitely return . 
 Sep 26 2009 	 Nice hotel 	 posting review almost two year stay hotel , lot could changed time . new site want share experience stay New York , New York . pay time stay , hotel worth money . room clean bed comfortable . two thing look stay ( people visit Vegas not spend lot time room ) . location nice pretty much walk strip day . love food option different part New York hotel . one negative thing could say hotel fact room pretty much opposite side hotel take minute walk room . ' m sure happen lot hotel pretty much needed make sure everything leave hotel room day . pool also close go ( last week February ) open day leave . one pool pretty small , . see hotel several pool open year . problem check ( computer say not reservation upon check - in ) , not blame hotel , fault travel site book trip . front desk manager promptly politely help we figure thing . would probably stay somewhere else next trip Vegas , want see hotel like strip . good hotel family child - big arcade / game fun roller coaster . end get room overlook roller coaster not much noise since roller coaster close 11 p.m . hotel great anyone want stay south end strip . find staff great never problem . casino really nice , lot room walk around . 
 Sep 24 2009 	 fabulous las vegas something everyone 	 great time vegas second visit vegas 2nd stay new york new york hotel strip . hotel well situate strip , airport , monorail much . hotel several eating area 's various price range several bar course huge casino hall . favourite bar time square 2 piano player whip croud frenzy sing off , banter interaction great place fun , hotel lovely room either 2 queen size bed king , well equip spacious clean every day . the new york new york work last 2 year main casino area , new trendy bar etc . although New york new york glamourous compare Bellagio Ceasers palace definatley lot fun lay back plent choice lot everyone . hotel base New york relpica manhatten bridge , statue liberty several reference new york . love hotel would recomend everyone . Vegas mammoth construction strip amazing opening early 2010.vegas much offer love even although really gambling 's worth play machine / table never may win 's bit fun , besides play machine etc waitress bring drink help keep cost require tip . weather vegas hot plenty opportunity lie back enjoy sun pool cafe / restaurant avoid heat hotel , shop etc airconditione welcome relief . when vegas recomend helicopter ride grand canyon fabulous breathtaking well fun , also check free light / fountain show many hotel well worth visit . ever want try gospel , vegas place try Gospel brunch house blue mandalay bay hotel fantastic , great fun , little pricey $ 50 buffet drink amazing huge selection food waffle station , fruit pastry carve meet , much mimosa ( champagen & amp ; orange juice ) bloody mary 's lined bar , perfect sunday morning . whilst vegas pick free guide useful info what s go , map promotion ( get voucher able use goepel brunch ) available hotel , monorail , taxi etc . leave brunch stumble upon bar ( also manadalay bay ) call minus 5 great , cold fun experience kit ready go party , everything make ice include rglass , table etc , well wortha visit , $ 25 stay long cocktail beer entrance fee ( disappointment could not take camera do not allow guess cold , bit con well worth visit ) . quite cool collection vintage , classic car imperial palace husband really enjoy ( good get strip middle day ) .When purchase ticket show etc chect cheap ticket booth strip get good deal show , exabition , restaurant deal , get voucher $ 4 dollar Harrahs restaurant flavour offer extensive buffet choice really good price . worth check price hotel purchase ticket booth discover could got cheap hotel ( although still get good deal would betterif wait , thing depend availablity day . check Love Mirage brilliant , worth vist yo want amazed acrobat , music story . although really good time niggle : tax everything pain , guy street handing card call girl , fact i d lot even though mid 30 's early 40 be great . bit pricey drinking strip several bar hotel promotion find cheap go strip little . head downtown freemont st freemont experience laser light show good visit golden nugget queen hotels original vegas , golden nugget really good asian resturant ( ishis ? ) new modern bar cheaper , head downtown piano bar call not tell mama couple singer take request encourage crowd join , bit professional karaoke girl behind bar warm friendly great singer . look forward next trip vegas . 
 Sep 24 2009 	 good value money New York New York 	 Park Avenue Deluxe room 27th floor spacious clean daily . would not describe hotel 5 star state web site comfortable adequate not spend much time room like we ! plenty place eat drink within hotel , preferred venture eat majority time . nothing short walk away Vegas everything huge location excellent good hotel Strip within reasonable walking distance would recommend hotel location . the good thing hotel location price , bad want stay & quot ; grand & quot ; hotel not impressive other Strip - depend like spend money ! ! 
 Sep 24 2009 	 ok amazing 	 stay New York New York 7 night Sept 2009 . check - possibly slow check ' ve experience ever ! arrive lunch time check queue 10 couple take 20 min , simply 2 receptionist ! customer service particularly good , definitely go motion . ask wanted room view $ 15 night , decline come vegas look window ! get room good view ever , make we think go get room anyway - sneaky ! room - stay room 2480 Century Tower 24th floor , view straight onto strip face MGM Grand across road - amazing view ! bed comfortable big . room decent size , clean , decent bathroom . issue room inter - connecting door room next door . mean hear everything room next door door frame ! first night involve hear screaming match two woman 30 min 2.30am ! call security promptly come tell keep . luckily leave 2 day get quiet couple next door ! Location - New York New York south strip little action . constantly use Deuce bus ( stop across road outside Monte Carlo next door ) . everything look close , believe not ! be everything big ! plus 100 degree constantly , good lot walk . go back Vegas stay mid strip around Bellagio/ Paris . pool - tiny relation size hotel dirty ! load bit float , include bird feather ! not even see single bird Vegas ! needless say use ! restaurant - lot place eat New York New York buffet restaurant . eat America El Fornaio - meal fine , fantastic . however bakery amazing chocolate croissant ! plenty bar hotel place snack - frozen daquiri bar fab daquiris ! tip - check queue always long , would reccomend express check tv ! Vegas absolutley fantastic , New York New York ... ok ! nothing special - would go back get really cheap deal . 
 Sep 22 2009 	 Comfortable Fun 	 clean , problem maid service , comfortable pillow mattress , update furnishing . 29th floor , good view , quiet . room give we checkin 1 pm thursday wait . restaurant hotel comfort food , pizza , hot dog , coffee , frill , average . average Gambling , payout average . easy access MGM Grand , Excalibur , Tropicana . try MGM Grand Buffet , wide variety food . Excalibur Buffet . try deuce day pass mid strip casino . do not miss Freemont Street Experience . take Monorail Sahara take bus cab Freemont Street , will not dissapoint , alot fun . Prime Rib 9.99 buy one get one free Four Queens Casino , plenty cocktail . not Miss place . do go Coyote Ugly NYNY 23 year old sober . sardine pack room . luxourious pool , hotel room casino Vegas . Great Restaurants celebrate chef Vegas . look , hotel / casino ... stay . fun young heart , go , will not disappoint . 
 Sep 21 2009 	 make . 	 make way hotel book approx 9 month early , arrival give room base 25th floor good way escalator , first look room clean tidy , like people fancy cup coffee/ tea either late night like we early morning afraid possible coffee maker/ kettle room . this minor point , Noise come roller coaster run around outside hotel , least stop run around 22:00 hrs , rumbling seem occur every 6 7 minute put monorail operate Excalibur hotel across road , somehow monorail manage transmit noise across road 25 floor hotel must admit cause least 2 night poor sleep , ( go bed early hour morning help little night ) otherwise hotel average staff friendly helpful . another small gripe get free wireless internet cost 14dollar per 24 hour even cheap hotel stop trip wireless internet free . 
 Sep 21 2009 	 Book another Hotel New York New York . 	 book INTERNET direct New York New - York five day print Information room , strip view , offer give etc etc . on arrival give room low level look car park roller coaster . we go back check tell get book . I try explain like talk brick wall , helpful all . after show print booking finally give strip view room . so arrival take three visit back check , still not get room book also offer booklet give date . we complain web site still wait reply . 
 Sep 20 2009 	 great trip issue 	 stay four night Park Avenue Deluxe room 19th floor Century Tower . first good point : fairly good location - could walk across pedestrian bridge MGM Grand Excalibur . MGM Grand Monorail location tram Excalibur get Luxor Mandalay Bay . cheap eat - first time eat Nathan 's hot dog . good pizza place Village well . nicely appoint room - comfortable room stylishly decorate . now good point : paper thin wall - think someone try open door . come find neighbor open door . could also hear roller coaster till 1 am.25 cent machine - visit hotel strip , least satisfied NYNY 's selection 25 cent slot machine . seem cater towards dollar machine penny . we would likely stay , would probably gamble nearby hotel . luck Excalibur Bellagio . 
 Sep 19 2009 	 Great stay 	 check ok , upgrade room . room clean quiet strip view . casino slow friendly . lot option food buffet . food good reasonably price . good location . would return future . 
 Sep 17 2009 	 absolutely loved place ! could not choose well ! 	 Vegas virgin find choice hotel daunt booked trip . husband theme park fanatic say would take Vegas book hotel decent attraction ! origionally book Strat put not reply e - mail get letter tour company say facility close strat area bit run - down . choose NYNY friend Vegas time honeymoon MGM Grand want something sligtly up - market Strat price MGM . upgrade charge good £ 100 - odd , ' ve ever spend ! spend week go hotel strip actually feel bit smug keep say prefer nearly every aspect hotel other glad not splash cash MGM , , crowd far big we although lovely visit hour . ( say , great night West Wing Bar ) Park Avenue Deluxe Room even though smoking room still big , comfortable well equipt . not expect I - pod dock ! & amp ; great side strip View Monte Carlo even Rollercoaster go past time , coul not hear all . all hotel facility great good value . hire cabana one day find great value money . also give list promotion NYNY & amp ; Monte Carlo help lot money - wise Discount Restaurants bar also show ticket & amp ; Rides etc . there great place eat drink NYNY part attraction we . eat America restaurant ocassion food excellent quality value great surrounding ( $ 17.95 2 course steak dinner beer strip hotel bargain ! ) also can not fault service establishment , staff America , front desk pool efficient , smart , knowledgeable attentive , one exception casino floor , bad luck charm cue stop gamble away holiday spend ! love Vegas , back afford would reccomend NYNY anyone , glad splashed decide go budget might stretch far , like south side strip would also consider Excalibur Tropicana cheap option . 
 Sep 15 2009 	 Hotel good would probably stay elsewhere next time 	 partner Las Vegas get marry . email hotel advance find possibility complimentary reduce rate upgrade give celebrate special occassion . tell would make note system could guarantee upgrade . ask check girl work rude . barely look we say free upgrade , would $ 40 per night week weekend . american check desk next we offer upgrade $ 10 per night ! good start . Park Avenue Room small nice . view back side MGM rollercoster . rest hotel fun . food place good . eat America , Sirroccos Chin Chin . drink expensive hotel bar staff rude yet expect tip . look cheap drink Casino Royal strip $ 1 beer cocktail . casino airier nice . pool ok . overall hotel good although would probably stay somewhere close centre strip next time . 
