after 	 customer - orient hotelvery low service levelboor reception 
 hotel brilliant ideal theatre break 	 friend stay theatre break . hotel clean , staff helpful , room comfortable , breakfast superb . could not fault thing . great location tube cram fair amount sightseeing short time . london aquarium , natural history museum harrod name either short walk tube ride away . nice pattiserie couple minute away tesco 's express . tube less minute away .It good stay early 2010 couple night another theatre break . I would recommend hotel anyone . 
 expecto Holiday Inn 	 arrive 23,30 hour could recommend restaurant decide go Tesco , limited choice hingry carenext day rang bell 8,00 hour clean room , nice waken earlyevery day give we candy bar two bottlet water whic nice touch . all , normal chain hotel nice location ( close chelsea , 45 minute walk Picadilly ) , back find anthe close picadilly well price ... 
 Great Price Terrific Location 	 stay Kensington Forum October , visit London mother . room two double bed surprisingly roomy , consider small hotel room previous trip London . the room quiet , clean , bed pillow comfortable , service adequate . service issue speak , be overly - friendly hotel . ( expect Holiday Inn . ) location absolutely wonderful . number coffee shop small restaurant nearby , well grocery store mall next hotel . pick apple fruit , add coffee muffin / pastry cafe . subway within one block hotel , could not ask convenient . well , good weather , walk everywhere ( probably average 10 kms day ) . be nice neighbourhood safety concern . our main focus book look low price good location . absolutely find Kensington Forum would hesitate stay . . .or recommend friend . 
 Jul 12 2009 	 well - locate practical comfortable hotel 	 large , straightforward , practical hotel , not try quaint . cater US many nationality , tour group , air crew , business , etc . service impersonal friendly . comfortable room , large ok London , clean , handy coffee maker , safe , nice bathroom , good view across London . a / c either ineffective turn Spring , room comfortable / cool window open fresh air . problem noise - 15th floor . great location , near Gloucester Road tube station , handy cluster cafe , shop , couple pub , plus supermarket station complex . not pay pricey breakfast hotel - plenty place nearby . 10 minute walk Kensington Gardens , Natural History Museum , V & amp ; Museum . South Kensington nice , safe - feel district mixture residential , hotel area shop / restaurant cluster . 
 Jul 12 2009 	 Great Location Great Hotel 	 mother stay quick night Christmas . room reasonably price , small . come lot luggage ( say 2 suitcase ! ) request large room ! bed comfortable , bathroom tiny well . price location , great hotel . tube stop short walk away . hotel look like large holiday Inn would see state . restaurant , business center , gift shop , etc .. cab always wait outside , helpful ! 
 Jul 11 2009 	 good location clean comfortable 	 get great rate Priceline , $ 90 , pre Xmas weekend London . hotel Kensington central would like , be 3 minute walk Gloucester Road tube station . plenty restaurant area well , include fast food joint two small - ish supermarket . the hotel huge room large side London . good air conditioning ( use even winter ) , clean , nice sized bathroom , etc . use hotel service , pleased overall would stay . 
 Jul 9 2009 	 great location sure be worth money 	 stay free British Airways booking . 's great location . love area be within walk distance museum , Hyde Park , High St. Kensington will find great selection restaurant . good quality room although bed pillow firm . fridge not really fridge . be old one could purchase drink snack , not keep anything cold . could not change thermostat cool . set heating room afternoon sun blaring make uncomfortably warm . notify housekeeping switch cooling , 2 things- never answer phone would stay cool would revert back heating . odd annoying housekeeping never answer phone ( not know suppose get pillow pillow menu . ) . switch Holiday Inn Express could change thermostat , not get . hotel pub late liquor license , albeit rowdy tourist get drunk first time year . 's decent hotel , although would not spend great deal money room . Holiday Inn Express Earl 's Ct cost $ 43 via hotwire.com actually comfortable . 's fancy , be really good value . really pay hotel location hotel restaurant . 
 Jul 6 2009 	 good overall 	 room little big would perfect . fold bed daughter first room give we could get bathroom sofa fold . change room rest stay room nice small folding bed ( could walk around ) . bit disappointing , unusual . difficulty find family room often trip . otherwise hotel nice . concierge helpful . fantastic location close tube bus . lot shop restaurant nearby . Pub hotel serve meal . 
 Jul 1 2009 	 nice stay 	 stay two night group tour Europe . pretty good value good location . room small room States ( room Europe ) . hotel clean staff friendly helpful . 
 Jul 1 2009 	 change category 4 star 3 star 	 send e - mail beforehand hotel booking ask reseve room good view . get room hotel wall leave side roof window full cabbage . window dirty . fridge work ! one lamp break . husband 's first visit London probably last one ( 80 year old ) . change hotel reservation well category ( believe ! ) day departure pay change 65 euro ! ! . 
 Jun 30 2009 	 great hotel 	 february 2009 five nights.i alone . staff make feel like home . stay three night june 2009 mother . , everybody well help we . time give non - smoking confortable room great view . stay much expensive hotel london terrible . HIGHLY RECOMMEND ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Jun 24 2009 	 good value 	 stay Kensington forum 3 night January . price unbeatable , 79 pound / night . want something spacious , hotel extremely convenient location good review , decide stay there . room not big look like brand new , bed comfy ( love holiday inn 's pillow menu^_^ ) . Bathroom also clean smell chemistry . the problem fridge . not work . call reception 10 - 15 minut problem solve ! 1 thing disappoint - take incredible deposit , 300 pound ( make payment room 100 % advance ) . next time would say cash . 
 Jun 13 2009 	 ok hotel Central London 	 Holiday Inn mix bag find recent stay . positive , great location , minute tube station make tour easy travelcard take midday break easy . also great room service menu surprise big portion quality food , great get bit room night town . room average size good sized bathroom well . size , really two complaint Holiday Inn . first bed hard rock , wake sore morning sleeping bed . second , staff nice friendly , quite rude uninterested help guest . check lady reception seem annoyed needed check early morning catch flight , addition try get theatre ticket concierge , halfway think try book hand phone let know break time walk , leave phone knowing ' talk what s go on . if get well bed friendly staff would stay . 
 Jun 12 2009 	 Good Location 	 apart location , hotel really standard . staff helpful . room rather small basic . free Internet unlike previous hotel stay trip . bathroom door lock ! choose Holiday Inn past reputation ... unfortunately keep time improve facility . never return hotel . 
 Jun 2 2009 	 tiny room malfunction heater 	 room tiny , heater not work properly , staff great . cabbie take we train station say fare say thing & quot ; great staff would not stay & quot ; . take underground Heathrow , advise long steep set stair lift take surface . pack light will sorry . 
 May 26 2009 	 nice room good location 	 not charming Holiday Inn ( soon Crowne Plaza ) Cromwell Street . 's large hotel seem gear towards visitor London business . stay one night Holiday Inn full . pleased able get room short notice . room fine . decorate bit out - date , view good bed comfortable . Starbucks lobby restaurant pub property . close tube -- walk front entrance , take right another right Gloucester road . 's two minute walk . 
 May 22 2009 	 get great deal Priceline ! 	 generally use Priceline whenever always get great deal . get $ 75 night , lot cheap list price could find . third time stay hotel . use Priceline , usually get one Copthorne Tara , prefer Forum . great location , room bit basic , clean actually get pretty good view time . let us face , hotel 4 star mean room , really not bad . room kettle tea coffee ( love hotel Britain ) , call get iron ironing board . room also fridge great store orange juice anything else might need , fridge really could use good scrubbing ! notice another reviewer say thing . overall , like hotel . room bit update Copthorne , think hotel comparable 3 star rating . oh , helpful remember London , yes , room go bit small stay . 
 May 21 2009 	 great location great hotel 	 travel teenager , conveniance key . Holiday Inn Kensington Forum locate 3 minute tube station South Kensington . large business hotel , good weekend deal . give fairly spacious room 17th floor , fantastic view London . large , well light bathroom late film pay - tv . arrive 11 , able check professional service - minded staff right away . concierge also helpful friendly . breakfast buffet expensive , numerous coffee shop nearby . short bus trip Victoria & amp ; Albert Museum , well Museum Natural History . short tube ride Harrod 's og Kensington High Street . great stay , reasonably price , recommend . 
 may 19 2009 	 excellent location friendly staff 	 stay hotel 15 - 17 May 2009 . hotel good location . bus Marble Arch stop outside front hotel , tube station [ Gloucester Road ] round corner . Natural History Museum Science Museum less 10mins walk away , Victoria Albert Museum bite far . the room reasonable size comfortable bed . lucky enough 15th floor good view . breakfast good . plenty choice nothing much trouble staff . friendly even busy morning arrange table six we sit together . we would definitely stay . 
