rude 	 second time short hotel . will not come back ! state other , would hard pressed find well location . also , room clean tiny . tiny ok 's expect , complaint there . on occasion however , staff less helpful . accentuate fact simply know much English . eastern european accent clearly shine , problem English stretch beyond basic vocabulary . sadly , doesn't . this make conversation difficult , open misunderstanding galore . also , never offer extra be suppose IPrefer member ( even ask ) . not bother try explain expect ' ve promise thing book , 1 ) understand 2 ) seem simply care anyway . 
 mixed feeling 	 hotel location make several inconvenience ! put ' spare ' room first 2 night : small washing table , bed corner room shower design disabled person . also bad smell come airco . finally get well room : spacy bit noisy . tv set small need binocular watch tv . breakfast disappointing breakfast staff unprofessional . Wifi available extra cost , find strange expensive hotel like . say : be locate close shopping street Bond Street Underground station make disappointment . 
 Sep 15 2005 	 Met Expectations -- Reviews correct 	 review mandeville hotel correct . state superior double . room large , plenty space two people large suitcase . bed extremely comfortable . room clean . marble bathroom perfectly clean . agree shower door weird manipulate , not stop anyone stay . location well expect . five minute walk Bond street tube stop ton shop . great cafe restaurant 2 minute away hotel . try CARLUCCIO 's , Wagamama Christi 's . 
 Aug 7 2005 	 Loved location love hotel ! ! ! 	 stay many london hotel far good ! pay £ 125 room continental breakfast . from moment walk hotel , see everything okay . reception area modern clean . room spotless due refurb everything brand new . room contemporary feel yet comfort homely time . bathroom clean well equip good shower bath . I go freind twin room , thing could understand advertised room mini bar do not ? matter spend quite lot time hotel bar ( de Vigne ) , fab Bramble cocktail ! ! . bar fashionable . finally location spot . centre Marylebone village lot little shop restaurant nearby . 's five min walk Selfridges Oxford street . go back ! 
 Jul 11 2005 	 one good hotel ever stayed 	 return two - night stay Mandeville praise hotel staff enough . the staff friendly nothing much trouble . location perfect – close Oxford Street well excellent restaurant / bar whilst quiet peaceful . due check hotel Thursday terrorist attack occur London Underground . , scarred strand London – hotel provide another room straight away price ( many hotel charge three time normal rate ) staff go way find way get home next day . without help horrendous day would even bad . definitely one good hotel stay would recommend visit . 
 may 16 2005 	 nice hotel / great location 	 far 's good hotel stay London . get standard room EUR 180 / night english beakfast via Thomas Cook . the hotel locate nice SAFE neighbourhood bar , restaurant , etc . near oxford street . the near tube station Bond Street . hotel 200 meter there . you also walk piccadily circus -- & gt ; take 15 minute 's nice walk ( regent street oxford street ) room nice , important , clean . bath room also nice immaculate ( however bath , shower ) . bed great 's ( small ) flat tv wall . however room small . the breakfast also great , restaurant bar design , nice , great atmosphere , staff pleasant . really good place stay . 
 May 9 2005 	 Clean Friendly Great Location 	 Fiance stay Mandeville weekend go ( 7th May 05 ) one night . live outside centre town often stay London hotel drink drive get tube . I give Mandeville avergae mark follow reason . the room stay small , flat screen tv , whilst nice piece hardware , small picture average quality ( slight fuzzyness ) half dozen channel choose ( free movie sport channel ) . fridge room mini bar , find odd ... perhaps someone forgot fill fridge ? park hotel although get 25 % discout NCP around corner £ 35 day little steep . park meter outside hotel 6.30pm . there room service menu talk even though call couple fo bottle water , not arrive little disappointing . all say , room clean decor modern . bed extremely comfortable could detect noise either inside outside hotel . location fantastic lot nice bar restuarant within two minute , also three minute Bond Street tube heart Londons shopping entertainment area . I would recommend hotel short stay intend spend time nice place lie head however , would not want spend awful lot time room home comfort far between . d . 
 Apr 4 2005 	 great stay lovely hotel 29th March 2005 	 10 year old daughter stay 3 night ( 29/3 1/4 2005 ) . love hotel . room ( twin first floor ) gorgeous , spotlessly clean . service staff friendly , efficient welcoming , especially staff breakfast . deal include continental breakfast , first class , wide choice bread , cheese , meat , fresh fruit , muffin , juice , toast ..... lovely start day . the hotel location fault , especially , like we , want spend time Oxford Street . tube ( Bond Street ) close make access sight ( Leicester Square , Trafalgar Square , London Eye , Harrods etc ) easy . access king cross main line Station easy opt taxi - not fancy take suitcase tube ! cost £ 7 one way £ 8 , bad . the whole area lovely atmosphere - continental , pavement cafe exotic restaurant range casual formal . lebanese turkish cuisine feature highly area . selfridge road , well worth visit . overall , excellent hotel spend lovely day . shall certainly look hotel first next plan next trip London . 
 Feb 21 2005 	 impressive hotel 	 thoroughly enjoy stay Mandeville highly recommend it . although building work take place lobby stay , not noticeable reach reception . room immaculate love comfortable bed , flat screen tv marble bathroom . staff also extremely helpful . it 2 minute walk busy Oxford Street , particularly selfridge close Bond Street tube station . also lot nice restaurant close hotel . 
 Jan 23 2005 	 Favourite London Hotel 	 travel London every year Christmas shopping year try Mandeville Hotel . read different review hope room & quot ; new section & quot ; certainly disappoint . room beautifully furnish every amenity personally require , yes little small London much see spend great deal time room . although build work take place stay disturbed noise , little diversion enter leaving . think therefore room renovate soon . each every member staff encounter exceptionally friendly courteous . location excellent shopping , certainly return future . 
 Jan 6 2005 	 Strange Showers Good Stay 	 Concierge -- & gt ; nice willing help . Maid Service -- & gt ; find bit strange come clean random time day ( morning/ noon night ) . Room Service -- & gt ; Lovely . room -- & gt ; usually stay one bedroom room ... quite small use american standard . say , cute . * * one thing particular must comment shower . could not understand half door go . keep wonder ever block water get floor . overall , would say be lovely stay close everything . whether wish walk take public transportation . 
 Oct 28 2004 	 ask ' new room ' 	 stay hotel Feb.2004 . think confusion regard hotel amenity due hotel & quot ; newer & quot ; guest wing . stumble onto fact lose searching room . appear receive upgrade without ask ! stay new section hotel find nice . room clean hotel staff friendly helpful . would suggest ask new room booking . 
 Sep 10 2004 	 great hotel ' ve stay .... 	 location good . shopping , Selfridges craziness Oxford Street around corner snack / dinner can not beat St Christopher 's Place many restaurant cafe area . I not wholly impressed hotel however . room small , difficult find space medium sized suitcase . stay alone , not think would comfortable 2 people . room decor nice - lot lamp around bed , large cushion , write desk . the wardrobe terrible smell ! ! stong sweat - like odour ( perhaps wood ? previous guest ? ! ) apprehensive hang clothe there . I would advise use & quot ; internet tv & quot ; service . GBP5.50 get 1 hour ineternet access via tv keyboard , case tv reception not good enough & quot ; lost & quot ; payment make . the reception area presentable friend need meet . reception staff adequate not find particularly friendly ( doorman not offer hail cab leave suitcase torrential downpour ) not find bad place stay , particularly price , look somewhere else next time go London . 
 Jul 25 2004 	 Conceirge taxi 's 
 Jul 21 2004 	 Excellent Value Excellent Location 
 Jul 5 2004 	 great stay 
 Jul 5 2004 	 great place stay ! 
 Jun 30 2004 	 Cool hotel - great location 
 Jun 17 2004 	 Home home 
 Jun 11 2004 	 good value great location beautiful room 
 May 3 2004 	 Mandeville clean bathroom ever ! ! ! 
 Dec 1 2003 	 Loved hotel / friendliness great 
 Nov 17 2009 	 ? ? ? ? ? ? ? 
 Oct 30 2009 	 Un emplacement de rêve ... 
 Oct 20 2009 	 Excelente 
 Oct 17 2009 	 buena situacion 
 Oct 10 2009 	 tre bien 
 Oct 6 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? 
 Sep 17 2009 	 Buena relacion calidad precio para Londres 
 Sep 10 2009 	 inmejorable situación 
 Sep 7 2009 	 Espléndido en ubicación limpieza servicio 
 Jul 29 2009 	 Estupendo 
 Jul 15 2009 	 très agréable 
 May 31 2009 	 Vaut le coup 
 Mar 31 2009 	 Idealement situe design et confortable 
 Mar 24 2009 	 Hotel top propre au coeur de Londres ... rare ! ! ! 
 Feb 8 2009 	 Hôtel parfait 
 Feb 5 2009 	 très bon sejour 
 Dec 8 2008 	 Relación calidad - precio pésima 
 Nov 14 2008 	 Naja es geht besser ... 
 Nov 5 2008 	 excellent .... 
 Nov 1 2008 	 Confortable 
 Oct 29 2008 	 ? ? ? ? ? ? ? ? ? ? 
 Sep 27 2008 	 Muy buen hotel buenísima situación 
 Sep 22 2008 	 Sehr modern und ruhig super Lage . frühstück unterdurchschnittlich für 4 * 
 Sep 16 2008 	 bell'hotel vicino James Street 
 Sep 8 2008 	 Situación perfecta 
 May 27 2008 	 Excelente situación 
 Jan 22 2008 	 super hotel super emplacement ! 
 Jan 22 2008 	 Un hotel de sinvergüenzas 
 Nov 7 2006 	 Chaleureux hôtel 
