trendy 	 like traveler , scour web guidebook great advice come hotel stay . expecially crucial booked room Priceline ( case ) . want correctly set expectation prior arrival . instance , really get small room mindset check Hudson . arrival : hotel not sign . sure look pic website know be going come via subway train . small line check - in front desk staff great job keep everyone move . one important woman ( trendy i - think - I'm-20 - but - i - am - really-45 ) feel compel jump front & quot ; ask question & quot ; course attempt jump line . go ! yay front desk . make joke take pity we get we high level room face atrium . : - ) score ! room : ok . know . be small . 's end world . unpack stuff . organize plenty room . not throw stuff room . will need sit toilet sideways take turn bathroom .... good part ? incredible water pressure roomy shower plus comfortable bed . not come New York hang hotel room ? well , shower bed top notch . do . husband sleep like log Queen size usually challenge . think really pillow . noise : try get room 6th floor . street noise . 's ny . buy freaking Tylenol PM 's big deal . big issue nightclub . be loud . loud popular . therefore Floor 6 , probably hear . join fun get something knock . location : say real estate .... superb location . subway close get need go quickly . walk Columbus Ave visit Natural History Museum really enjoy . great shop , bar restaurant al way . lots dog local give nice neighborhood feel . be great 24 hour diner pizza place right corner 58th 9th . open late . enjoyed stay much . appreciated think design work go place . staff friendly except one woman carry clipboard look like deer headlight ask question check .. overall good bet . even well one score Priceline . 
 great explore Manhatten great party 	 hotel 30 second walk Columbus circle south west corner Central Park - great location . room small , New York hotel room budget small . despite size room , comfortable , clean good ( compact ) en - suite facility . lobby area hotel two bar . popular . rather noisy night noise affect room upstairs . this hotel great base explore Manhatten , great party well . 
 Sep 23 2009 	 tiny yes .. would go back ? yes 	 stay 9 night , people , yes .. room small . get basic , bed , tv , desk , chair , luggage rack ... use every available horizontal space put stuff , yes .. NY day long ! .. great spot come back walk , shopping , dining , etc etc etc shower continue , call day good night sleep ready next day . location fantastic , 300 yard subway block half park priceless . bar bounce night , everyday .. honest 12th floor , do not hear thing night , erase part previous review . terrace great staff always helpful . ever stay hip hotel u know light bright corridor , erase part well .. comment would add light ROOMS .. average , great stay , would go back , want use hotel NY base , go ahead ... 
 Sep 19 2009 	 SLEEP SOUNDLY coffin SYLE 	 ' ; mind sleepoe coffin , without name , feel free stay . location perfect , excellent staff , sky terrace even well room without doubt , dimunutive , small , minuscule room ever experience . not look sign advertising hotel ; find one not even think guess color wall carpeting hallway due limited lighting . they call decore Chic , call CHEAP ! check . challenge guess decorate cost 30 square foot crackerbox . bet not amount $ 400.00 per room include cost bed , desk , sad look lamp lip window treatment . PATHETIC ! excitment , observe friend love one pee bathe large window illuminate bathroom bedromm area . due limited space , can not help see room time else go sit desk directly front window lie bed room stand either side bed . BATHROOM another STORY . 5 ' 5 & quot ; , prepare CLASH knees WALL SIT TOILET . never , MEAN never stay HOTEL . neither friend . 
 Sep 18 2009 	 fabulous - love 	 like many other wary read bad review pleasantly surprised . stay 5 nites boyfriend love . decor cool though room smallish modern space use well ! staff friendly helpful . bar inside worth look . rooftop terrace lovely relaxed open feel sun lounger hammock ! eat outdoor bar , though little pricey . overall good experience would definetly recommend young couple maybe group friend . ( would need upgrade 2 ! ) .enjoyed experience reluctant leave ! comfortable pillow add good feeling bout place ! ! 
 Sep 18 2009 	 not bother 	 meeting disaster . internet repeatedly fail . cell phone not work well meet room . temperature room either hot cold . management unaccountable . food make we queasy ... place become dirty since last visit . 
 Sep 16 2009 	 pro many con 	 look forward stay hotel , bar previous visit New York . overall , find experience pretty disappointing . first , pro : - Great location- lot place eat nearby also decent bar far away- nice bar within hotel , although clientele little sad- room ( studio type ) actually quite decent sized room . Cons- Service good hotel , especially front desk , find sloppy pretty unprofessional . polish service . staff not really seem like care hotel guest 's experience.- bar price far high - $ 9 bottle beer ... - bathroom good although decent shower . be bit cheap looking.- Rooms safe 's bolt , therefore waste time- fridge rooms- $ 7.50 bottle water room , can not bother go buy it- Sound insulation rubbish . get single night 's undisturbed sleep . woken noise guest open closing door . overall would say people would like hotel - not stay good hotel . 's much 3 * hotel book would not recommend friend . ny load hotel , many great location hotel lack feature make stand crowd . annoying thing stay try drink ' library bar ' sit , tell half bar ' reserve private party ' . ' m really interested stay hotel guest second fiddle public . 
 Sep 16 2009 	 past past .... expensive / / 	 never , never , ever ! spin go Hudson " " dormitory redesign Philippe Stark high design hip well heeled – " next generation Cheap Chic – stylish , democratic , young heart utterly cool " .. ' say Hudson dormitory / flop house form definitely trump substance . problem sharp , pristine design place be … long neither sharp pristine ? start fray edge slip clientele . get Hudson fun hang 20 something ' world arrive town NYC oyster , get Cheap Chic , young heart cool reference … young uber cool tribe wish attract walk wardrobe room low price . usd 495 tiny room mini - bar minimal service neither Cheap Chic I . … get feel Hudson fill Priceline Facebook hip well heeled . generationally specific environment get fill generation feel like fish water . People like ! … . people want deal blare empty disco vibe lobby every night elevator day may react weirdly " hey dude " bar staff . apparently lucky , nice korean lady assign cleaning room let know " one big room hotel " .. ; neither feel luck love Hudson . room small dark . bath shower curtain bad job contain water – bring whole new spin " wet bathroom " concept . take long ever experience water heat run shower . annoying sheer net curtain serve door closet hide acce bathroom well thematic anchor décor . get stick constantly ! Wifi work well though hotel web site somewhat misleading give impression free room category . room service sporadic something forget mistaken two time use breakfast four . two occasion important message business contact reach concierge desk clear detriment organisation trip . yet .. feel like grouch .. forty past probably ! ( yet share view many speak music elevator ) … .I know many young people creative high tech field would blast .. price Hudson demand . need rebuild demographic clientele get hip rather foist Hip unsuspecting past clientele … like . 
 Sep 15 2009 	 terrible experience 	 well ' m actually stick hotel three day business trip . get room last night exhaust long day shock small dark . crawl around floor look electrical outlet find behind bed - stand hit face tv screen place wall next bed leave room maneuver . blood pour cut eye pretty hysterical . call front desk ask speak manager could get advice ( certainly want spend night NYC ER ) - 3 time connect line rang rang answer . call front desk ask manager tell ' security ' would come room - ask emphatically send security . 5 minute later two big body guard type knock door . . .and still word management . time , manager finally call furious - offer assistance offer ' see house doctor available , would $ 300 charge room ' insist fill report ' security ' . . .and send security guard room ! go bloody face find ice - find machine floor next floor work - third floor finally find . luckily able get ahold friend 's live city recommend plastic surgeon give stiche morning . oh ask wake call morning . . .and not get ! 
 Sep 13 2009 	 bed give back ache 	 location good . there nothing front hotel identify -- name , address -- find pretentious annoying . know be right place know chartreuse - light escalator . public area hotel lovely -- lobby skylit , ivy - cover roof , two outdoor bar ( one 15th floor view ) , cozy library bar , lively dance bar , attractive though expensive & quot ; cafeteria . & quot ; room tiny stylish . size would ok , travel alone . three complaint : 1 . air conditioning noisy . every time crank like buzz saw room . 2 . bathroom tiny could barely squeeze onto toilet ( ' m 5 ' 2 & quot ; ! ) . also , stylish sink fixture drip unless get lever right spot . 3 . , bed give back ache still hurt couple day get home sleep good mattress . complaint could address ( possibly different room ) might consider stay . 
 Sep 12 2009 	 New York First Timer 	 locate close central park easy tube access rest city place ideal first time tourist . room small everything need . not eat restaurant enjoy bar garden .. enjoy stay - get great tip concierge go . probably would not return hotel city large New York would definitely reccommend friend . 
 Sep 12 2009 	 new york chic good 	 love , love ! arrival member staff take suitcase relief drag around day . check receptionist extremeley friendly , arrival decide upgrade big room 2 double hearing room tiny . pay extra $ 50 night . room defo worth room fab size massive space . lot clothe space could manage . decor v. cool look clean bed invite tran atlantic flight . fav part roof top terrace beautiful relax hard day sightseeing ! drink expensive think worth $ 14 white wine . staff speak really friendly helpful.good location one block central park . 10 min ish time square . little cafe corner open time snack . new york good place world ( opinion ) would defo recomend hudson would stay ! bad review maybe valid term double room small u option upgrade u feel strongly havin big room . hostel comment certainly little much . clientel definately young hip visitor , want something traditional book waldof roosevelt etc . come nyc care much ! ! ! ! 
 Sep 9 2009 	 easy hit 	 stay Hudson tonne research trawl good deal time . finally decide & quot ; stay 3 night get 1 free & quot ; offer ( watch much Sex City - one Smith wait Samantha bottom lift cheat Richard film ! ) overall enjoy stay . 's good location , close Central Park subway , hotel clean . response & quot ; trendy & quot ; comment - New Yorker sum hotel nicely say & quot ; place ... 10 year go & quot ; . use uber - trendy lose edge , honest quite happy . close bar resident couple evening , really try put go dress code , club music early evening , etc . roof terrace though really , really nice much relaxed . yes , room seriously small even London standard across city . be holiday NYC not going spend much time room , really matter ? 's easy hit infinite number place choose . 
 Sep 7 2009 	 Brilliant Stay 	 boyfriend stay Hudson 5 night celebrate 21st Birthdays . bit worried see reveiw must say great time . staff could helpful , include man outside front hotel suggest couple bar we visit . admit room little small care New York stay room . provide everything need . bed comfy , clean ( maid brilliant ) suffient space shopping . level 14 not hear noise bar . aircon little bit noisy really good hot weather do not mind . also time get back hotel fall straight sleep anyway . number small touch . safe free , ipod dock last day rain able borrow umbrella front desk . may seem like silly thing make stay comfortable . great location minute walk tube central park . also great mexican 9th avenue far hotel . also go bakery shopping centre columbus circle brilliant need start day . along bakery restaurant next fantastic breakfast would recommend . hotel may everyone cup tea , especially tall , however , we perfect make holiday much well . 
