great 	 stay weekend 28th Nov , 3 lady . brilliant room , great value money . can not knock anything , fab . would definitely recommend . location ideal tube right outside door . staff could not enough , deserve 4 star . Kensington lovely place , quiet safe . 
 Jul 14 2009 	 wonderful stay 	 wonderful two night stat Crown Plaza Kensington late June/09 . originally Holiday Inn Kensington Forum across street move two night Crown Plaza Forum sell . stay reward point able check - in early without hassle ( 11:30 ) give room upgrade gold member Priority Club program , upgrade . give 2 floor , 2 bathroom , 2 flat screen tv room . one person . member Priority Club ( currently Gold previously Platinum ) , first upgrade ever HI hotel , greatly appreciate . Spectacular newly renovate room ( well W Times Square New York ) . good bath towel ever hotel . complaint , clock room . 
 Jul 13 2009 	 great location value money 	 really please Crowne Plaza London Kensington Hotel London . search long find hotel would accommodate family 4 1 room not cost fortune . reasonably price Expedia . hotel locate directly across street Gloucester Rd . tube station extremely convenient . good & quot ; find & quot ; indian food restaurant locate around corner 18 Gloucester Rd . name Memories India . run Mr. Pradip Choudhury staff helpful suggest prepare food child 's first indian food experience . food fabulous , staff extremely friendly end eat 3 4 night London . would highly recommend Memories India anyone stay Kensington area . 
 Jul 10 2009 	 good hotel 	 travel two kid , get standard room two king bed . big room enough space four people nice bathroom . also locate nice area tube stop close . 
 Jul 10 2009 	 clean great base 	 stay know would clean base right . staff friendly breakfast fine . stay B & amp ; b lovely , hotel would recommend not price American friendly . a great place stay shopping go museum visit theatre . go Sherlock Holmes museum Harrods . 
 Jul 8 2009 	 Best Around 	 hotel easy get , travel king Cross NXEC hotel 20 minute away tube . would easy get have come Heathrow . check - in prob , impressive hotel feel newness . sunny weekend hotel nice garden enjoy beer forget be actually city centre . good service Swedish barman colleague . it be easy reach London . South Ken museum walking distance , be many bar restaurant nearby could stay month get bored . room : decent size ( ' ve big ) , comfortable bed , nice selection quality shampoo shower gel , big tv decent channel selection . bad thing room bath robe bit flimsy look bit place hang otherwise perfect bathroom ! breakfast include rate . nice , although not include have eaten breakfast , save money much choice around area . the gym nice place quick workout , bit equipment personal TV 's could watch want work out . bad point : nothing really , be probably bit expensive be budget , be worth stretch penny stay can not fault . easy get whether arrive train plane , close sight , good staff , comfortable bed feel place really rate five star . 
 Jul 8 2009 	 Nice newly renovate 	 stay 2 night April , really nice renovated room face backyard . room king size bed , one desk waterboiler good choice coffee tea . bathropes although 3 person . far away main shooping street Oxford . child recommend take underground station right outside . talk one porterguy recommen good Thai restaurant , recommend 2 place , one towards pembroke rd . one nearby Harrods shoopingsenter . thing write adress do not exist . quite disappointing . find nice Sushi restaurant . like much . hard feeling young guy . 
 Jul 7 2009 	 good location pleasant staff . Lovely Hotel . 	 stay 3 night two child age 6 3 . hotel really convienent . hop hop bus stop two min walk away , tube stop . staff really nice , particular concierge really professional could not helpful . room spacious . even family room two double bed plenty space . although room adjoining could hear ever conversation ... particular 7 am ! breakfast fine , complaint tea brew hour early . would nice fresh cuppa . hotel clean modern , still refurbishment ... like lift ongoing . hope price not go complete . also boot waitrose across road convienent ' ve forget something . also , nice family friendly restuarant call ASK across road . handy day sightseeing . really enjoy time . lovely hotel , nice staff . would definitely recommend . 
 Jul 7 2009 	 Loved Crowne Plaza 100 Cronmwell 	 spend 7 night Crowne Plaza . love hotel GREAT LOCATION tube station . number good restuarant area also . conciege always help . nice computer lobby available use . love London . 
 Jul 1 2009 	 Pleasant Surprise 	 thinking booking room Holiday Inn , pleasantly surprised find 5 month later hotel remodel become Crowne Plaza . choose hotel partly location close Gloucester Rd . tube station turn ironic two day tube strike . problem able walk museum , store , Hyde Park within 5 minute . room spacious , staff courteous helpful , even technology help new iPhone . room back hotel - face garden definite plus ask front hotel busy street . room spotless bathroom ample nice toiletry good towel . tube strike able use underground quite easily reach area London quite content get back quiet room middle noisy city . 
 Jul 1 2009 	 lovely stay Crowne Plaza Kensington 	 echo recent positive comment since hotel ( nearly , soon second elevator open ) complete extensive renovation . pleasant dining experience two nearby italian restaurant short walk north Gloucester : DaMario one , second restaurant ( forget name ) short distance beyond . 
 Jun 26 2009 	 amazing ! 	 hotel , review state , real gem . great location , lot shop nearby , Tube around corner . room large even north american standard . everything new shiny . room two shower ! ! slipper robe welcome touch welcome fruit basket . also get breakfast include deal . breakfast consistently good every day . really appreciate breakfast start 6:30 . London hotel pricey , really feel hotel give money 's worth ! oh yes , Wifi free ! 
