Roomy 	 stay room one standard room ( free upgrade ) . room super roomy , various furniture feel comfortable . remember great view cityscape night spotlessly clean bathroom . forget pjs sleep really comfy robe . 's also free wifi room lobby . elegant room , staff super nice . locate right near market street - pretty good base go explore city . 
 Jul 2 2008 	 Hotel Character 	 girlfriend stay Palace hotel June 27th 30th . , pleasant stay . say hotel look much dated photo website make look , hey , probably expect give place hundred year old . 's summary experience : - hotel check : go smoothly . arrive much early 3 pm check - in time ( arrive 11 am ) , clerk check we promptly without question . not even charge we extra additional friend bring , nice . good part check - in apple ! complimentary apple guest front desk . good apple ever taste ! simple , great idea part.-hotel room : little small usual , nevertheless clean comfortable . flat screen tv nice update touch . problem turn tv arrive , front desk send someone immediately fix . view look stone - fill pit middle hotel , not great view , unless plan look windown 24 - 7 , really non - issue . bed clean sheet lot comfy pillow prop watch tv bed . bathroom clean , definitely look date discoloration ceiling tub . not mistake clean . toilet slow - flush , work fine . bathroom amenity include usual lotion / shampoo / conditioner - but also bottled water ! replenish maid daily . actually two hairdryer room , one washroom cupboard tv . also tv mini - fridge , empty . great we would never purchase mini - bar come handy storage leftover food little extra get nearby convenience stores.-Hotel Location : central . not bother cabbe SFO BART station 1 minute away hotel ( 5.35 $ one - way ) . bring walk shoe walk pretty much anywhere hotel . lot bank nearby , safe well . beggar street , not type hound say . gay parade parade run right front hotel.-Hotel amenity : small workout facility pool . 10 cardio machine total weight / weight machine right behind . equipment tv attach , bring headphone . not go , definitely look lot less majestic photo . friend tell good enough though . 
 Jul 1 2008 	 elegant relaxing 	 stay Palace Hotel whilst Honeymoon California wonderful stay . deluxe room whilst ' stand particularly different one would expect high quality hotel room complaint . plenty room relax bed fantastically comfortable . despite central location , noise city minimal . the roof top pool conservatory lovely place relax day sight see great vibe Maxfields bar often end evening watch sport drinking cocktail ! find central location really useful , couple minuet walk Union Square , local shopping mall easy access bus tram route around city . the hotel concierge always helpful everything need direction reservation dinner organise ticket theatre . would certainly stay , next time ensure leisurely breakfast beautiful garden court . 
 Jun 28 2008 	 two - room suite great visit kid 	 stay 14 - year - old daughter two - room suite , thank book well advance online , outstanding bargain ( S.F. ) . room seem extremely well maintain , high celing , comfortable bed , rather elegant fact . amenity little expensive ( room service , parking , internet ) . be great place stay kid business . plenty place within block 's walk grab coffee breakfast inexpensively . 
 Jun 17 2008 	 ornate common area room great 	 interior design ornate imply live palace , come directly cabo resort , room huge let down . no coffee maker room . coffee $ 12 list price room service , mean $ 15 add - on cost . room clean . room old wall crack ceiling crack . Bathroom small compare resort . tub small old . sink large crack , leak . the bed ok , special . pillow live price tag room . the work room well hotel , weight machine . pool design lap pool 3 lane . wife , matter , bring kid , would disappoint pool area . basically , stay palace overprice room stay . we , fact common area ornate , make room . 
 Jun 7 2008 	 good value classy convenient hotel 	 love Palace ! every bit elegant charming thought would . stay attend convention Moscone Convention Center . rate really good downtown San Francisco hotel nice Palace . Palm Court breakfast buffet delicious well present . complimentary raspberry lemonade serve lobby , refreshing summer . room ( two double bed ) spacious – much large expect . indoor pool glass dome roof . crowd . concierge staff helpful restaurant recommendation direction . right downtown , walk distance cable car , right next BART muni train , near Union Square shopping , soma short walk Embarcadero ferry terminal . would stay . 
 Jun 6 2008 	 Good Place stay 	 good place stay . hotel staff nice . room surpass expectation , except paper thing wall . get lucky neighbor not stay late . cost hotel parking high side , convience parking garage across street worrying rental car break worth . everything walk distance . would stay . 
 Jun 4 2008 	 classy establishment 	 boyfriend come back first trip San Francisco Palace great location experience side city . room nice high ceiling spacious large bed comfortable too . breakfast serve magnificent old coach hall , 's grand glass ceiling . expensive us breakfast everyday good food do . a welcome bar perfect night cap great meet local . 
 May 27 2008 	 Palace - SF elegant place ! 	 great deal , cancel Marriott 's reservation . first time ' ve hear Palace , read . heart still belong Marriott , rate give & amp ; 1/2 star high Marriott SF , think can not lose . upgrade big room ( interior location , vs view ) . tell view room small , take interior room . pretty big - ceiling high . location good . staff wonderful . think come good , positive attitude , everything work advantage & amp ; daughter & amp ; ( celebrate bday ) . experience marvelous ! ! 
 May 22 2008 	 Palace 	 elegant , historic , well situate beautiful city San Francisco , hotel . grand impressive , beautiful room romantic ambience . 
 May 21 2008 	 great business hotel 	 San Francisco business conference another hotel block away . generally stay conference hold , room available , book agent put contact Palace . glad ! hotel experience three day outstanding . husband child join , treat like little princess hotel staff . because book business , view size room important , get small room king size bed . not really much choice available , whole town pack . even though room truly tiny , appoint decent sized television , comfortable queen anne chair footstool , end table desk . room enough crib beside bed well . book , agent apologetic size room would get , explain room detail . frankly , make seem much bad . bed luxurious gold embroider quilt , navy throw , soft sheet , duvet . ( FYI , & quot ; Heavenly Bed & quot ; , add luxe comforter top duvet . crib appoint soft blanket , not usually get hotel . carpet clean ornate . bathroom small , booked , book agent inform would tub , shower . travel business last minute , even though family accompany , not mind . frankly , need room somewhere San Francisco close enough conference , not picky . however , get room , small tub , oddly shape fit small space , enough bathe child . tile marble vanity room , tiny tub / shower , enclose glass . we order room service night arrive , dessert fresh fruit , prompt tasty . take advantage breakfast buffet spread giant part lobby , fabulous . wait staff courteous , never want coffee , french toast tasty . the front desk attendant concierge helpful give direction conference help husband find place want visit day . bellman nice , valet . help everything , smile . the Wall Street Journal stock Mezzanine elevator lobby , bring room want , be crappy USA Today see biz hotel . I highly recommend Kyo Ya , japanese restaurant . sushi sashimi , inventive roll , albeit really authentic japanese , world . sushi absolutely par good place Tokyo . well place Tokyo , actually . not go Kaiseki set dinner , can not comment good , give good sushi , would venture little extra money burn hole pocket , will happy food . 
