hotel 	 hotel prime location right across Buckingham Palace heart London . short walk Green Park Victoria Station . service accomodate , though price little steep , be travel budget . probably ideal couple small group friend 
 impeccible service lavish setting perfect location . a+ 	 pleasure stay girlfriend weekend away London anniversary , recommend highly enough . arrive late ( 11 pm ) friday night due flight delay arrival greet manager ( Andrew ) warm welcome greet we name . hotel actually 5th floor reuben hotel mean order gain entry hour ( without room key ) one must go reception adjoining hotel . check - in fast , efficient friendly . book king - size room hindsight good idea even king size room small expect however finish touch amazing . hot water bottle bed ( sound silly cold london night November welcome surprise ! ) small cake & quot ; Happy Anniversary & quot ; ice waiting room . detail room brilliant everything little bit well would expect ( even 5 star hotel ) , toiliterie dainty bottle ornate screw top , toothbrush toothpaste set good quality design , shaving set excellent razor ( gold wooden finish ! ) ample towle , dress gown ( one cloth / cotton one one lounge one per guest ) . mini - bar well stock little pricey- 5 pound sterling portion cashew nut 5pounds bottle beck alcoholic beer . entertainment provide in - room fantastic movie literally cinema available on - demand . free wifi , tv - internet ethernet , guest service wake call etc course available . from moment arrival staff exemplary- absolute credit hotel . decide day arrival would like take show westend- & quot ; Wicked & quot ; performance- sell every online source could find rang hotel see could arrange ticket we . , find ticket sell show get we ticket four row front , centre - stage ! ( show fantastic anyone get opportunity try catch ) . similarly recommend italian restaurant near Apollo ( request ) organise reservation time show finish ( 10:45 ) even though restaurant usually not take reservation ten thirty ! summary , hotel lavishly decorate modern black white theme , staff amazingly professional accomodate location hotel perfect ( 2 minute walk Victoria tube station ) .The drawback ( call ) room small one would expect arrive late evening gain entry must go adjoining Reubens 4star hotel . 
 good hotel ' ve ever stay 	 Hotel 41 elegance charm without stuffy upper class attitude . greet name throughout hotel add nice personal touch . spend last night honeymoon upgrade suite complete fresh bowl fruit special dessert . room amazing - spacious , luxurious , comfortable . fireplace , two tv equip surround sound . shower incredible pressure , robe / slipper nice amenity . afford , ! ! 
 Jul 14 2009 	 great service nicely decorate small room 	 stay two night upgrade king room . first , hotel hard find . sign . cab driver generally hear . ready address firm indeed hotel . tell take Ruben hotel next door walk proper private entrance . the hotel nicely decorate , private . attentive service . small problem housekeeping staff immediately apologise , make effort fix , check back later . staff service focus , unlike many london hotel . the executive lounge breakfast , drink snack nice , decor throughout . room well decorate comfortable -- small amount furniture . many london hotel small room hotel would well remove desk make pull desk , move flat screen tv make space . difficult get bathroom sit area due limited space desk bed . remove furniture would fine.overall , nice amenity , comfortable room service focus staff . 
 Jul 14 2009 	 simply good 	 husband find Hotel 41 trip advisor think sound like give go . say , can not fault single element experience . location fantastic , hotel full lovely touch , service warm , friendly professional - room , conservatory suite , beautiful . just go ! 's wonderful experience - big London hotel could learn thing two place ... 
 Jul 12 2009 	 small room high price otherwise incredible hotel 	 second year row stay Hotel 41 London . first time travel alone , time sister . realize make difference King size room suitable one person ( barely ) 's WAY small two people . try way much small space -- two bed , two lounge chair , dining table , desk , two large cabinet . say , service INCREDIBLE . try find anything need be stay hotel ( even advance stay ) . main lounge area nice 's easy waste away hour drink , read paper , use internet , watch flat screen . excellent high speed internet access throughout entire hotel . hotel great location -- right across street Buckingham Palace . hotel , predictably , cheap . also , fitness center spa . nevertheless , rank top 5 hotel ' ve ever stayed probably continue stay future . 
 Jul 6 2009 	 Overpriced - Pokey room 	 can not fault staff location hotel decor size room totally line exhorbitant rate charge . stay split level suite decor date room incredibly pokey . price pay expect huge amount - far well quality ' Luxury ' hotel available Lodon well value place . that say staff incredibly helpful Hotels standout asset - rest hotel could live quality staff ....... 
 Jul 6 2009 	 Hotel 41 set standard ( wish hotel would follow ) 	 tough describe perfect hotel , excel every way imagine . moment arrive , treat like deeply love family , arrive exquisite home dear friend . course hotel requisite fine boutique hotel : example , immediately offer refreshment ( water , excellent wine champagne , martini , liquor , whatever pleasure ) upon arrival , complimentary snack / hor ’ oeuvre deliver room every afternoon , fine linen , wonderful bed , exact décor . ' want deal check - in arrive ? problem – ' take room handle check - in detail prefer . want something ( anything ) ? problem .. immediately ( actually , probably even think ) somehow appear effortless . unfortunately , ' enough hotel even arrive level . staff make Hotel 41 beyond expectation . level consideration , friendliness , enthusiasm go way make day enjoyable phenomenal – ' really never encounter anything like , matter ' travel world . one example , ' offer : arrive Hotel 41 , UK week ( ' Los Angeles ) . friend mine LA ask pick UK sweet – particular chocolate bar box cookie . week , look everywhere item , ' ' find . arrive Hotel 41 , call ask could find item . ' course ' , tell phone , accordingly arrive room , 20 chocolate bar , stack pyramid white plate big white bow around , beside 5 box cookie – free charge . later find , hard find , manager travel 30 minute away side London find item . course could say ' well , ' hotel ' job make thing like happen ' , warmth , everything else do . staff small ( although way inadequate … actually , quite overly adequate consider number guest allow ) really feel like ' attend consistent group personal assistant . nice touch : 1 ) Great Room ( effectively hotel ' lobby ) absolutely fantastic . like relax family room wonderful home . leather seat fireplace , self service ( full service ) bar , complimentary raid excellent pantry , create incredibly relaxing atmosphere . 2 ) Breakfast morning . usually like room service , Great Room inviting eat . ' intimate setting ( intimate hotel ) would feel perfectly comfortable eat robe ( although ' remember ) 3 ) hotel 41 really one ( private ) floor much large 5 star hotel , ' able offer benefit large hotel ( exceptional room service , example ) , offer intimacy personal attention boutique hotel . 4 ) decide spur moment ' like tour Buckingham Palace ( across street ) ( btw – summer ) . line huge admission . however mention one staff member , next thing know , note allow we bypass line basically walk right in . bottom line : anywhere ' stay world , example . recommend Hotel 41 highly enough . stay . 
 Jul 1 2009 	 good could 	 remarkable service start finish . room modest size , amenity first - rate throughout ( include penhaglion supply bathroom ) . great temperature control ; two shower bath ; dvd iPod player . people could nicer helpful . right Victoria station . quote rate include VAT . 
 Jun 28 2009 	 spoil friendly thoughtful service location superb 	 London 5 night ; wife , 7 - year old daughter . outset ( make reservation phone ) , impress positive , highly responsive attitude staff . everyone seem genuinely enthusiastic his / her job focus ensure positive experience guest . two separate King Deluxe room ( connect room hotel ) right next & quot ; private corridor , & quot ; initially create apprehension wife . lay rest upon arrival : hotel small , intimate , feel safe . within matter minute , meet staff learn daughter 's name . first day , feel comfortable daughter next door , frequently avail well - stock enticing & quot ; Executive Lounge & quot ; ( sure old - fashioned malt milk ball wrap small packet ribbon ) . feel much like stay old friend happen really nice house great location , luxurious bedroom , staff commit comfort . PJ - Lilly , Guest Experience Manager , absolute delight extremely helpful arrange transportation , dinner reservation , theater ticket . appropriately serious make sure thing & quot ; get do & quot ; also fun work ; responsive pay considerable attention detail . visit 41 , trust will take good care . staff friendly helpful , Marta , particular , charming . make daughter feel important adult guest . room quite comfortable ( bed good comfy ; firm Westin & quot ; Heavenly Beds & quot ; along line would find Ritz Carlton ) . bathroom well do : well - light , spacious , strong water pressure everywhere ( sink , tub , separate shower -- - & quot ; sunflower head & quot ; refreshing drench experience ) . Executive Lounge real treat excellent light breakfast . not experiment much room service mostly sightseeing . overall , experience compare favorably vs. hotel usually frequent ( Brown 's , Savoy , Claridge 's , Mandarin Oriental Hyde Park ) . intimate , boutique hotel great location ; would hesitate recommend hotel friend colleague . 
 Jun 27 2009 	 Perfect ! 	 husband book one night stay Hotel 41 birthday , read review lot live - disappointed . hotel great location easy access Victoria Station , 's central location make ideal walk around London . every member staff friendly professional , make we feel welcome . room clean , well present black & amp ; white decor pull great style . lot nice little treat throughout stay lovely include beautiful birthday cake bring room shortly arrive . heart hotel , executive lounge , wonderful enjoy ' plunder pantry ' get back late see show . disappointment could not stay long ! 
 Jun 21 2009 	 Great Hotel Excellent Staff 	 say enough Hotel 41 . room ( though small american standard ) comfortable clean , bed big comfy . room water goody wait night stand every night . wife enjoy deep soak tub make nightly ritual soon return daily sightseeing London . the staff , especially young lady make we feel special take time chat we every opportunity . breakfast buffet stock fresh fruit , bread , cereal , food every morning . London several time always stay nice place . however , favorite . London spend time Paris Rome stay nice place . however , neither like Hotel 41 . home talk trip top London , Paris , Rome .... rave everybody Hotel 41 . 
 Jun 21 2009 	 fantastic experience - only place stay London 	 return two night stay Hotel 41 , say never experience anything like London . staff highly efficient polite . enter hotel unsure store we , say thank Hotel 41 making stay enjoyable one . delay check room available we Guest Experience Manager kindly give we complimentry drink . room lovely , highly equip exceptionally clean . breakfast delicious friendly staff serve . stay many city hotel certainly stay hotel ! ! ! 
 Jun 15 2009 	 Hotel us London 	 find & quot ; 41 & quot ; Trip Advisor . disappointed . almost hesitate writing review feel give away secret . feel like part special & quot ; 41 & quot ; club ! come London 4 night whim stay & quot ; 41 & quot ; make 4 day London perfect . though say Executive King Room much small expect , service attention detail make small room . moment greet front street lobby , staff & quot ; 41 & quot ; make we feel special guest . even kind enough acknowledge anniversary . room 5 star linen amentitie , lot towel , decorate tastefully , good reading light comfortable bed . find room quiet though two room Executive Lounge . hotel convenient walk Victoria Station tube . Executive Lounge breakfast evening cocktail , drink treat invite . wonderfully decorate like English library black white . lovely room begin end day . respect service , say enough service hotel . obvious management care take time train staff properly . staff answer question find answer we . without doubt & quot ; 5 star & quot ; service . extremely appreciative effort staff take handle food request transportation back Heathrow . next time come London would not stay place else . jewel find City hotel almost every block . 
 Jun 15 2009 	 Fabulous could not fault 	 stay overnight celebrate wedding anniversary . hotel fantastic location , staff superb hotel everything want . the staff leave 2 anniversary cake bedroom make stay special . 
 Jun 14 2009 	 Fantastic hotel ! 	 amazing service - everything ensure spend time London way want - effortlessly . excellent restaurant recommendation , good seat great show - anything need . tell want , will take . bed fantastic King bed , amazing linen nice feather / down pillow . two excellent shower bathroom . room not huge , plenty room . fine breakfast serve executive lounge morning - complete presspot Starbucks Coffee - style coffee available well . look hotel stately elegance . feel bit uncomfortable casual clothe - come hot Athens , mostly short , etc . well make we comfortable . would fine hotel business , give 's elegant feel . location excellent - close Victoria train underground station , easy walk St James Park Buckingham Palace . tour bus stop half block away . Youo take tube Heathrow , will carry luggage one short fight stair . one knock - pass bbar dinner - would fine place drink , dinner underwhelming . defense , get prix fixe menu - meal pedestrian . 
