Great 	 staff great . breakfast excellent . room comfortable . internet spotty well sometimes non - existent . enough elevator , help now . the price keep go level service keep go down . the two night & quot ; social & quot ; amusing . will not .... 
 Care 	 's probably hokey , sell point consider book hotel manager check review respond person review . seem like something someone concern guest satisfaction hotel 's reputation would . hokey flawed logic , maybe , factor book . I ' ve stay New York several time measure well hotel ' ve stay business . like Marriott Marquis , slow elevator truly issue hotel much cheap . internet access free fitness room not world - class , deck plenty free , too . the room well - sized bathroom small . kitchen area well - equip modern appliance ( microwave , refrigerator , dishwasher ) . travel business arrive late , lack room service probably would issue . eat breakfast ( free ) full - feature warm buffet . overall , hotel heart thing , New York anyway , moderately price ( 2 night tax $ 480 , AAA discount ) . pay much , little thing impact satisfaction pretty sure would not surprise manager , , track site . pleased stay . 
 Aug 9 2009 	 Hotel good stay away bar ! 	 arrive week long business trip Midtown , desk clerk upgrade spacious room - especially NYC . room mostly clean , although repeatedly find hair not mine bathroom maid come . overall hotel well locate , front desk staff helpful , breakfast , though crowd time , pretty std . first night however , arrive late want grab quiet drink bite bar . 2 glass wine sandwhich , shock discover mediocre glass wine charge $ 15.00 glass ... ' ve stay world 5 star hotel , not problem pay good glass wine , seem like overkill . complaint & quot ; Asian - Fusion & quot ; restuarant recommend door ... pour raining , go quiet dinner ... menu map ( Thai , sushi , chinese , etc ) .. raise suspicion ... ask waitstaff abouut food , even would not recommend ... buyer beware .... 
 Aug 5 2009 	 expectation ! 	 highly recommend Residence Inn Times Square next visit . bit expensive side , be look bargain , consider Residence Inn convenience , service comfort . New York City first time , feel safe well look . hotel staff make sure stay positive experience would want return . reservation clerk make sure beautiful view comfortable accommodation spite corner suite available orginally request . desk people take care need smile helpful direction need . manager cordial available , cook - crew helpful willing accommodate special need need . also laundry ( bit expensive , handy ) .The bed one comfortable ' ve ever sleep . two item not measure ... fold - out couch lumpy , removed mattress make bed floor work fine teenage daughter . second , room make hear impared person flash light surprise loud ring . entertainment available not want venture , Times Square ... breakfast well ' ve see hotel ' ve stay open long time accompany late sleeper ( late ) . hot food , cereal , fruit juice . night coffee que , snack well . the location block Bryant Park right Avenue Americas get prime transportation conneciton around corner . Times Square two block away , easy walk center everything include Empire State Building , Penn Station Macy's . what like least bathroom ... door oddly place . like friendly service super location . 
 Aug 4 2009 	 great always ! 	 stay Marriott Residence Inn @ Times Square great stay usual . ' ve never let chain come service value . corner room 34th floor room nice ; despite bathroom bit small . bed actually soft bed home ; make sleeping breeze . noise floor air go ; maintenance come right fix ; top rate discount $ 100 . whenever go town , Marriott always first pick get pay 's nothing short excellent service level overall homey feeling . , parking bit much ( $ 54 ) in / out be city ; really need drive anywhere ? can not wait book next stay Marriott . 
 Aug 3 2009 	 great stay middle New York ! 	 select hotel base tripadvisor review agree good evaluation . great location - 1 minute Times square , convenient room - large room 20th floor view Empire state building ! free internet - problem . rich breakfast free + coffee , tea whole day . polite staff . make sure breakfast 9:00 , otherwise place crowd . much recommend ! 
 Jul 31 2009 	 great kid 	 hotel ideal family , room huge NYC standard . great view river get great AAA rate . location middle everything . get almost subway line within walking distance . however , look service romance , not stay . 
 Jul 30 2009 	 Perfect family hotel 	 norwegian family two child ( 10 12 ) stay 4 night hotel . perfect location , good service minded staff , well function room nice breakfast arrangement . hotel truly recommend anyone want stay centrally Manhatten . 
 Jul 30 2009 	 good Manhattan Choice 	 stay hotel 5 night . great location min walk penn station right next bryant park . room specious comfortable , stuff attentive kitchenette useful . matter find decent supermarket 3rd av . gym room nice breakfast area need improvement . Carton plate plastic fork & amp ; knife acceptable . vegetable would upgrade breakfast . issue elevator bad people may think hotel stay packed . 
 Jul 29 2009 	 's nice nothing special . 	 stay hotel 4th July weekend . hotel location great . walk Times Square , Macy 's , etc . staff & quot ; okay . & quot ; need towel call ask 2 time . take 30 minute we get . front desk staff okay , job , not overly friendly . depend price , would probably stay . refridgerator come hand . 
 Jul 24 2009 	 Service Convenience Set Hotel Apart 	 stay Residence Inn Times Square four night vacation New York . first trip big city kid . hotel provide great escape busy , noisy city . two 2 - bedroom suite hotel ( accord front desk ) one . size suite large – especially NYC standard . two bath , tub , two king bed pull - out living room . kitchen studio style , dining table well . kid thrill 3 flat screen . BEST part view . spectacular floor ( 33 ) . light night amazing , enough space building great view . location great – 4 block Times Square ; near subway – although use come city , close enough walk 5th Avenue Central Park – even 7 year old walk complaint . hotel offer breakfast buffet . would get pretty crowded – amazing see people show Saturday morning seem hotel empty . breakfast fine – help offset cost food . 5 we travel , help . also " manager ' reception " night . claim light snack , really little dinner – , free . husband enjoy exercise room . size room , location , breakfast / dinner make hotel really good value . would definitely stay . 
 Jul 23 2009 	 Great Place Nice Staff . 	 would highly recommend Residence Inn stay NYC.I ' first 2006 . since , family return 3 time . it ' perfect location , great staff , fantastic breakfast . already book new stay next September . 
 Jul 23 2009 	 Wonderful Surprise 	 husband recently stay hotel surprised size room amenity provide ( even go buy grocery ! ) . would highly recommend hotel . stay other NYC not compare ! friendly helpful staff . great free breakfast ! deal ! 
 Jul 14 2009 	 Great Hotel Friendly Staff 	 place great ! corner room book already , large room . first night arrive really late room take . apologize inconvenience , let we know book we New York Marriott Marquis , right middle Times Square . free night stay inconvenience give we money cab . New York Marriott Marquis really nice hotel well . elevator really fun , would go understand . stay New York Marriott Marquis first night blast , even though 0100 ( ) . grab something McDonalds watch advertize sign . go back Residence Inn next night surprised free upgrade top floor ( 34th ) view amazing . Breakfast Residence Inn buffet style breakfast . find food hot fresh . ' use bar hotel , look nice . a real bonus room come refrigerator , cooking facility . ' see grocery store close , must somewhere . walk Residence Inn Times Square 10 15 min , possibly quick stop look building . Macy 's walk distance , several shop . find several bar within short walk hotel , takeout Pizza / Pasta , Deli huge salad bar well . arrive early left bag front desk , check . use site other book , not want pay price , hotel similar price , less room . could hear taxi horn every , hey ....... NYC . come back NYC stay . 
 Jul 13 2009 	 Close Penn Station Great staff room 	 travel NYC least 2 time month stay Reasidence inn since first week open . travel Amtrak rail Penn station 7 minute walk hotel . beat taxi trip LGA . front desk staff great third stay know room like . the 3rd floor breakfast buffett save person $ 15 / day family $ 100 per day , good value nyc.the room nice great shower plenty space work . last least i d bar third floor ! nice pre - dinner drink watch game . also enough room large group . if business traveler family Residence Inn good choice . 
