awful 	 bed hotel worst ever sleep hotel . feel like super cheap mattress pillow bad , . open air window bathroom bedroom , shutter , ok not want privacy . service good , nothing important comfort , especially bed . exhausted lack sleep make trip less enjoyable . pay $ 48 PER DAY park . would stay mid city , know . way much money low quality . 
 Fabulous Hotel 	 reading review , little skeptical visit . say , could not wrong . customer service great top notch . room Great . big enough three people . great city view . stay 32nd floor . bathroom make little weird slide wood door wooden shudder , still maintain privacy . definitely stay . downside hotel parking . cheap parking ANYWHERE around hotel . business center cost $ 6.95 per minute .50 additional minute . needless say , do not laptop , able get online . 
 Jan 29 2008 	 super sweet fun 	 need get away decompress day . Chicago hard beat . find great rate book . daughter stay Downtown W last summer know expect ( trendy upscale ) . positive big flatscreen , cozy bed , interesting view , room safe downtown location . walk almost everywhere matter . great home base shopping . the downside paper thin wall . 130am call & quot ; anything - ANYTIME & quot ; line earplug . 230am call back ... never mind , need sleepy ! also know $ 45 park . overall would score hotel 10/10 . every employee kind helpful . room cool , clean , cheap . checkout tell earplug issue . ask would take $ 20 parking . say sure . 
 Jan 4 2008 	 always enjoy stay W hotel . 	 stay family holiday want mini - getaway find cheap rate internet last weekend December . $ 139 / night get point Starwood worth we . second time . put note want lake view room although price not . help gold member Starwood . call ask early check accommodate we . stay room 614 . W seem like lot family / child stay . not bother we since holiday last stay not see family . must lower rate . room king room view Lake foggy / snowy . room clean nice . small expect & quot ; modern & quot ; room nowadays . thing surprise tub part bath . outdate tub . tile shower head fine like forgot replace tub . haha . room also satellite cable lot channel seem go . think due weather . room course Bliss product . much drawer space want unpack though . we go Bliss Spa connected get massage fabulous . not couple massage bummer . separate man 's woman 's area . 's dry sauna recommend use steam shower . also water , tea yummy lemonade . serve cheese , cracker , cookie brownie . would deifnitely stay . 
 Jan 4 2008 	 Rock ' n Roll 	 make short trip Chicago , late summer 2007 , sole reason visit dear friend reside there . I choose W close & quot ; downtown & quot ; however enjoy spectacular view lake , find restful . let explain . Chicago awesome city least one visit everyone 's & quot ; & quot ; list , find quite frenetic even bear breed Londoner take energy enjoy . my pal warn W , say converted day Inn , however take plunge hoot . the W absolutely family hotel . however young young heart person 's ideal getaway . room little small ( upgrade fabulous suite overlook lake ) furnish trifle kitsch , however staff excellent bar / restaurant buzz need risk DUI go anywhere else eveningIf one word would describe W 's sex , need 2 's rock ' n roll . young , single middle aged lively love . 
 Jan 3 2008 	 nice place stay 	 book W husband 's 30th birthday , loves W. check three hour early problem receive upgrade oceanview . nice room , bite small W 's stay . king size bed , chaise lounge chair , desk two night stand . bathroom normal size hotel city . one weird thing large wooden shutter could open could bathroom look bedroom ( like window almost ) close privacy . bar 33rd floor nice view , SUPER smokey . opt go back bar lobby . good service , strong expensive martini . guess expect city . not valet car , $ 43 day drive city . hotel four easy block Michigan Ave , great location . great little place breakfast two block west hotel ... believe call West Egg . great food MUCH cheap eat hotel . 
 Jan 1 2008 	 W Chicago - want top service 	 yes , be W Hotel 's undoubtedly one hip hotel Chicago yes , offer stunning view lake Michigan yes , room decorate way feel like live lounge bar . thing be look go . '' like , someone also need top quality attentive service will supremely disappoint . perhaps wife need remind word & quot ; HIP & quot ; mutually exclusive word & quot ; SERVICE & quot ; . 
 Dec 30 2007 	 get to kid 	 Chicago hometown , remember property Holiday Inn . still , though pretty packaging . nice lakefront location , Streeterville neighborhood offer less intense nightlife scene , say Rush / Division Wrigleyville . kinda like W vibe , though 's little forced . W Lakeshore many service problem , however , will hard - press stay . let us see ... begin ? would houskeeper ... excuse , * stylist * , ignore & quot ; Disturb & quot ; sign pound door four time ... Sunday ... fly Taipei ? perhaps mention stylist take comforter featherbe , replace thin blanket , say hotel clean conoftret featherbed ? could front desk staffer call tell FedEx delivery ... could find five minute later . ugh . be Starwood , Sheraton Hotel tower much well bet . , Sofitel awesome , though room euro - small . drake nice like old - classy thing , ' ve always good luck Renaissance . 
 Dec 11 2007 	 bad Hotel Chicago 	 reason bad hotel ' ve ever stay : - store luggage day , bell desk & quot ; lost & quot ; luggage . never find ... everything gone.- room small- Bathroom awkward real enclosure- wall super thin ( hear people merely talk next door ) - Customer Service lack area ( get attitude get simple cup coffe lobby bar , one greet come go , employee not acknowledge elevator ) - Got charge item use question dispute them- not hot water shower ( December mind ) many option Chicago people stay recommend everyone stay elsewhere . 
 Dec 10 2007 	 Cool Hotel 	 W Lakeshore nice hotel . please keep mind hotel use Holiday Inn something low end Starwood remodel year ago . room small , everything need weekend trip Chicago business trip . Bliss Spa ok , pricey average quality product service . restaurant OK SKY bar OK . , small lacking creativity & quot ; W & quot ; brand . nothing would make say & quot ; not stay & quot ; , also would consider hotel James . 
 Dec 5 2007 	 comfortable room ever 	 let say front swanky , loud , disco lobby way we . much much go , Lobby restaurant average well . , . get great rate , room , bed bathroom among fine ever stay . bed supercomfortable , bathroom spa like . general room feel relaxed elegance . would stay despite disco lobby . housekeeping satff awesome . 
 Nov 29 2007 	 Staff make W great 	 girl friend stay W early November girl trip Chicago . debate stay Michigan Ave close shopping restaurant bar , decide W good deal online . soon walk lobby music playing tell certainly gear towards young crowd . check - in absolutely seamless quick , pleasant . music elevator little loud - always , bit much morning . room small tiny mean love decor . good part room comfortable bed plasma tv . would say lighting bit dark , especially bathroom . speak bathroom , shuttered window open close face sleeping area want privacy will not get - especially since fan bathroom ! could uncomfortable ... Nov 1 - 4th worried 3 4 block walk Mich Ave Rush street since cold , be not bad . summer , walk would issue warm , probably would taken advantage close Nave Pier go . lounge bar , Wave , WONDERFUL . bartender polite attentive - start every night . seem like popular place always good sized crowd . , probably could pay little less stay Michigan Ave . money spend want around young , hip crowd - stay here . recommendation : shopping Mich Ave , lunch Intercontinental ; dinner Rockit Bar must across street fun irish pub hit afterwards . 
 Nov 29 2007 	 horrible experience 	 reserve two room . give one confirmation number . cancel two room . give one cancellation number . cancellation view photo previous guest find hotel lacking price . cancel week advance . charge two week later $ 345 & quot ; Show & quot ; . starwood preferred member . hotel staff could seem issue credit , call Preferred Club assure spoken hotel take care even give name manager accounting speak . two day later , credit yet . call hotel accounting manager , claim never speak anyone even claim never get 5 minute message leave two day prior voicemail . three hour arguing past two day , finally say would fax confirmation credit . still wait . appal Starwood Club would outright lie member get we phone . never stay hotel . manager claim could find reservation use first name instead husband . unique last name . Kinda hard find . never frustrate cast people . 
