great 	 huge waste money ! think Starwood Hotel would nicer end . first night ok , little could heat cool room comfortable . could leave air keep fresh air circulate blow head night turn suffocate room dead air . fine line AC heat . expect bed would caliber Heavenly Beds Westin . ! bed awful feather bed pad crunchy . exactly want lie . feather one thing , feather quill another . make bed super hot thick , hot duvet use . San Francisco , Siberia . bit overkill . second third night get pleasure listen yappy dog night long dog not bark owner busy yell . wall thin cheap could hear every single word conversation room next we . call complain dog , lame story owner not suppose leave animal unattended come get send bagel coffee breakfast apology . thank , sleep would preferable bland cream cheese send bagel . call 3 time complain dog bark . give option move , pack family move idiot can not leave dog home . Dogs not baby , can not tote restaurant store . need stay home . disappointed W allow people bring dog ruin everyone 's sleep . lose business good . will back Westin . 
 Jan 24 2005 	 long - term stay 	 live 7 week w business CA . initially wonderful 19th floor room face Metreon Yerba Buena Arts Center full - length window seat . room also large , simple bathroom . Zen - like ? ? cor relax fun -- peaceful hotel room pleasure experiencing . service high quality throughout hotel , though meal service hotel 's restaurant slow depend upon server . concierge excellent , arrange Alcatraz ticket , suggest restaurant , provide map information Napa Valley answer question area . wife come company business share 12th floor King Corner room face Bay Bridge . bathroom small 19th floor room room wonderful feature : wooden headboard stop short ceiling , 20 inch tv , minibar , great view surround area , peaceful vibe ? ? cor . use hotel laundry service -- clothe return day submit morning . leave home , wife many small service issue housekeeping ( separate day provide soap , toilet paper , take towel bath mat replace ) . hotel dark corridor guest would loom semi - darkness surprise . techno music lobby elevator area bite much 5 go work price staying & quot ; hip & quot ; hotel ! problem loud music adjoining guest room one day 3 . call security 3 minute later , room silent enough hear AC kick . would gladly stay , miss peaceful , hip W ! 
 Jan 19 2005 	 cool place 	 stay W San Francisco September two night . location bit beat shopping , hotel fabulous . room set corner nice view city . bed comfortable linen decor stylish . bathroom large accomodating . night hotel turn dark give youthful vibe . bar crowd young clientele . hotel staff pleasant upon check guest eclectic mix business traveler tourist . fee parking outrageous - $ 40 day . return another stay Feb . 
 Jan 17 2005 	 depend taste good bed world 	 admit review base stay 2002 , ' ve since place seem pretty much . title review W definite ambiance , idea cool not , public space may . let us say lighting elevator hallway super be look high - tech opium den . bar restaurant nice somewhat sterile -- cosy vernacular . give prop nice , comfy lobby chair sofas arrange chatting friend . the concierge nice friendly funny , course , helpful . desk staff professional somewhat distant . Valet parking efficient expensive . as room , smallish , bathroom , quite comfortable well - appoint . also beautiful view Bay Bridge . two outstanding thing room , though:1 . comfortable bed know universe ( , incidentally , buy website ) . travel lot torture mattress pillow across country , simply superb sleeping.2 . window seat . may personal preference , somethig appeal sit window seat cold , misty night , prop nice soft pillow , look Bay Bridge , listen good music read good book . ( one not club every night .... ) also , room nice quiet , none window open . I give W 4 star prefer cosy old - fashioned elegance steel - glass - and - leather style , feel overall expensive ( room service , phone , etc . price hilarious ) . good parking garage couple block away not want pay valet service . w across Market St Union Square area directly next MOMA , be short walk shopping breath away Moscone Center . 
 Jan 10 2005 	 not expect much will happy ... 	 stay W New Year 's Eve weekend check Thursday night , depart Sunday . check - in bit dissapointing take staff 7 minute come behind closed door another 15 finally get check system . room small hip , comfortable amazing view bay area . bed make hotel dissapoint . dinner XYZ highly overrated , excellent breakfast . & quot ; whatever , whenever & quot ; service fail impress . call 6:00pm New Year 's Eve desperate need find store open purchase belt , tell would receive call back never . call crazy thought & quot ; whatever , whenever & quot ; mean could actually get BELT need ? want store open could walk ... be really like & quot ; whatever , whenever want & quot ; . besides , room quiet , never hear fire engine frequently mention , unless outdoors . bellman helpful concierge desk downstair , man kind print boarding pass friend day departure . bring extra cash martinin bar , range anywhere $ 8- $ 12 . overall , vibe , hotel awesome , total party atmosphere ... service , little much attitude . be hard nice people work hotel make close minimum wage act like owe something . 
 Dec 30 2004 	 great hotel tip parking 	 overall , W hotel wonderful experience . bedroom clean decorate beautifully , bed feel like sleep air , bathroom luxurious stock great bath product . one bartender outright rude , everyone else ( especially housekeeping concierge ) extremely nice helpful . get excellent recommendation restaurant . parking outrageous ( $ 46.50 per day ) park car garage valet use ( Minna , one minute walk hotel ) pay $ 20 per day . definitely worth expense car explore city . I late 20 's quiet vacation boyfriend . enjoy away bustle Union Square , walk help great restaurant try . hotel gear towards young crowd see many old patron seem enjoy themselves . I would highly recommend hotel anyone venture San Francisco . 
 Dec 16 2004 	 among good SF ! 	 ' ve stay many top hotel SF ( Ritz Carlton , Park Hyatt , Mark Hopkins , etc . ) standard room W easily good . many guidebook reviewer tend focus suite , ' ve notice standard room upper echelon hotel much different high - end Hilton Marriott . w. design sleek appeal , numerous little touch room will not elsewhere . location pretty good , despite previous reviewer mention . can not afford suite still want 5 - star style room , W way go . 
 Dec 15 2004 	 modern hotel exceptional bedroom interesting restaurant 	 XYZ restaurant offer excellent food modern athmostphere . service excellent staff professional efficient . bedroom large every possible thing could require , comfortable bed , computer , tv . video , mini bar etc . also enormous bathroom powerful shower abundance shower gel , shampoo , etc . I would certainly hesitation recommend hotel . San Francisco fascinating city easy get around . taxis cheap tram quite experience . not miss museumn Pier Fisherman 's Wharf sea - lion ! good shop Lake Tahoe Winelands within easy reach . 
 Dec 6 2004 	 W might stand ' wonderful ' 	 take advantage Chrysler promo : arrive Crossfire . valet , front desk restaurant staff , treat casual elegance . exceptional lunch perfect service XYZ , well worth price . W 's decor wonderful unique touch artful lighting . be nice come elevator subdue light tone light need near door . classy ... will not remind lot overlit hotel . room & quot ; stylin & quot ; , sexy do class . one like & quot ; another hotel room & quot ; , like contempory look . spite across Moscone Center Fire Station nearby , neither wife ever hear siren fall asleep . double pane window keep street noise , bed get credit great night 's sleep away home . visit hotel , recommend treat & quot ; lay back classy style & quot ; ! 
 Nov 30 2004 	 love Service style W 	 fantastic hotel ! would like tell experience consierge . call day show speak enthusiastic consierge , give fabulous rec . hairdresser . although offer make appt . , , treat fantastic haircut gorgeous , nearby salon ( totally within walking distance ) sweet unpretentious hairdresser . LOVED stay W highly rec . anyone want confort , bit pamper , nice design style . 
 Nov 30 2004 	 FANTASTIC HOTEL 	 stay W SF four night Nov 04 , find entire experience fabulous ! room awesome view Bay Bridge , everything room super - comfy ( esp . bed bathtub ) , hotel quiet hall , love Bliss bath product , room service DELICIOUS every time always arrive within 15 minute order , service wonderful , front desk room service maid . spend lot time South Market , know neighborhood well , great locale ! want W experience end , can not wait check W Seattle January ! highly rec . hotel -- 's wonderful sanctuary hectic SoMa world outside . 
 Nov 20 2004 	 good location 	 recent trip San francisco , end staying long anticipate . hotel originally stayed fully book two extra day need . , becfore checking , call W , member special guest program . generally , find stay various W Hotels pleasant . enjoy contemporary decor style service chain . however , W San Francisco one would return . location leave much desire . although accross street SF Museum Modern Art , within walk distance Union Square , area uncomfortable vibe night . walk , one go either two dimly light street get back hotel . fortunately , cab , not seem though one take cab get block away atmosphere hotel night , advertise Union Square hotel . the room , upgrade corner room , quite small consider ' upgrade . ' bathroom fine , however . also , view quite good . perhaps one business people around walk night , would well . , single woman , would stay . close enough Union Square convienent , especially night . 
 Nov 11 2004 	 poor service poor attitude 	 plan romantic weekend getaway boyfriend & amp ; another couple . look forward splurge , know W Hotels reputation top - notch , even tough little pricey . unfortunately , romantic getway expect . bad : service overall terrible . start front desk , cool speak mere mortal , myself . I book 2 king bed , non - smoking room view bridge . check , none option available . debate , able find non - smoking room shabby view , 2 double bed . much romance . parking soooooo expensive ! decide park around corner public garage later see W staff parking valet car , well , double cost . room small price , anything touch cost ungodly amount money . consierge supposedly book reservation , ready correct time . doorman service taxis useless ! easy fetch cab . good : love Aveda bathroom amenity . the bed great ! overall : try Adagio . love place ! 
 Nov 1 2004 	 never . 	 W HotelSan FranciscoOct 28 – Nov. 1 , 2004 , Room 516Oct . 29 housekeeping . call 10 pm ask want any . Oct . 30 call concierge ask cab van six people specific time . call 7:00 8:30 pm . woman . get concierge appointment time man tell we go see bell boy street , luckily five squeeze cab , make dinner reservation 5 min , spare . parking charge , internet charge , room service charge unconscionably large . telephone nearly inaudible inside hotel number room house phone across desk lobby . strong hum indicate wiring problem phone system . reservation screw give invoice , charge Visa , first night four night reservation . call early morning invoice put door , change incorrect reservation . Desk call back second time hour later confused reservation . sound isolation , loud bass lobby practically shake room . call 9:40 pm complain tell nicely would 10 pm , seem reasonable . room ready early . 
 Oct 11 2004 	 hip 	 negative : unwelcoming , unfriendly front desk staff resort ' ve ever stay . act like good guest . hotel dark can not even get lobby Thurday , Friday Saturday night ... 's full local happy hour . forget sleep night also , be D.J . play lobby people hour night partying . ' m 33 , come ... get feeling stay night club . positive : room clean , houskeepe great job - nice size room city . trendy , hip person place , husband preppyfor W . 
 Oct 4 2004 	 hip 	 spend two night W. last time stayed open several year ago . hotel show wear tear . carpet hallway rather worn . carpet room wear . I really like amenity room though . particular , appreciate dvd player could finish movie start plane . room everything could ask . cordless phone , alarm clock , coffee maker , wet / dry bar , cd player ( CD ) , tv , desk / chair , couch / bench . I would recommend corner room get window two wall . room average San Francisco sized room tend small . expensive . small bottle water cost $ 6 , park $ 46 per night ( outrageous ! ) . broadband internet service cost $ 15 per day ( $ 5 hotel ) .The hotel clientelle hip side thing . Friday night include DJ lobby top club - like atmosphere . the decor setup room great though , probably enough return . 
 Aug 31 2004 	 Customer Service ? customer service ? 	 keep note one , first night ( 5 ) awful hotel experience ever had:1 . staff stand around watch struggle two bag appear discotheque . no - one pointed direction check - in.2 . check - in girl make seem like favour let stay , rather treat like customer . big attitude problem.3 . reservation king smoking room make nearly seven month previously . check - in girl tell smoking room available 2 31 floor smoking . unacceptable state like California smoke public place banned.4 . obviously lie kick fuss offer twin bed smoking room option move king smoking follow day.5 . later find king smoking room would available finished clean ... 8 pm ! ! 6 . much advertised room cd player work.7 . maid reset alarm clock awake we 7 am - travel never check alarm , something take granted.8 . blind ( shut little light ) tape together unsightly blue sticking tape . blind Sheraton Park Sydney , foresight install blackout blind behind them.9 . first hotel Starwood chain stay pay bottled water ( $ 6 pop ) 10 . prohibitive cost & quot ; amenity & quot ; , & quot ; dry bar & quot ; & quot ; wet bar & quot ; 20 % service charge top , mean inclined use hotel service wherever possible.11 . morning newspaper , despite part deal Starwood Preferred Guest.12 . heat pool freeze cold13 . whirlpool not work.14 . use plaster , cigarette butt look like dog poo around swimming pool floor.15 . bathroom tap come hand.16 . battery low tv remote control . I give write problem first night . however move next day , bed comfortable , service level rise mediochre remainder stay . not would ask transfer Westin . shall stay W . 
 Aug 15 2004 	 trendier mean well 	 impressed hotel . visit SF quite lot book hotel reliable reputable reservation company past 7 year . arrive hotel Friday evening curtly rudely inform woman front desk , reservation exist city - wide sell , room available $ 20 original price reserve ! take tired little energy argue . ask would room next night tell could put waiting list . offer help find another room city . hallways dark , window room not totally block noise fire engine pull fire station right next door hotel , room small . call reservation company able get room city view Park Hyatt $ 60 less w. difference ! not stay Park Hyatt , definitely stay . view room incredible ... TransAmerica building , Coit Tower , North Beach , pier partial view Bay Bridge ! room 2x big W importantly , staff amazing , doorman concierge . everyone smile , attentive helpful . especially impressed concierge help store good day shopping Ferry Market . help , guest guest approach thank spot - on recommendation . Park Hyatt trendy like W , seasoned hotel guest like , Park Hyatt save grace ! also recommend follow hotel : Hotel Milano ( price convenience - parking package available ) Galleria Park Hotel ( great service ) 
 Aug 11 2004 	 $ 46 per night parking ? crazy ? 	 W well keep hotel far union square . mood hip funky decent weekend rate find internet . find $ 46 per night parking charge totally unacceptable . never experience high price valet parking . unfortunately , really self - park option area . stay hotel , definitely bring car ! 
 Aug 6 2004 	 Eh 	 Hip hotel NYC L.A. sharp front - of - the - house crew around . 's surprising W 's seem amateur . call front desk , concierge , bellman without ever get answer , wait hour bag deliver . bad , be really pretty place . 
 Jun 22 2004 	 comfortable hotel ever stay 	 lobby funky weird music , hallway poorly light . wonder getting walk . room comfortable hotel room ever stay . could get lose quilt , perch window seat cuddle cushion afghans watch traffic bay bridge . enough light room read work . never want leave . travel lot become hard please , W vote . 
 Jun 20 2004 	 cool funky cheap 	 spend 3 night . good location - easy walk everything . fabulous restaurant . efficient staff - friendly necessary , not expect treat like royalty . right next door conference centre art museum . price high - $ 46 night valet parking , eat 2 restaurant less $ 100 tough . very modern , stylish , tastefully light ( , be bright ) - want typical SF boutique hotel not come . share room someone not intimate , not come . want cheap break stay well away . , want treat someone special eye style not mind spend proper money could well here . room pretty compact , 's modern downtown hotel 's normal . everything clean hassle - free . the reason would not go back want spend much money belove would pick another W different cool city ' ve do SF : ) 
 Jun 9 2004 	 worth money 	 stay W San Fran week February attend conference . find hotel staff somewhat disintereste attend request , find lobby / bar busy time difficult walk get elevator go room . hall dimly light intimidate people walk alone . share room female colleague horrified discover bathroom door basically see - thru . ledge along window sit , chair room relax . bring laptop computer charge $ 14.95 per computer per day , interenet access . tell charge room ( HSIA ) $ 14.95 per day , surprise see price double upon check - out , especially 6 day . overall feel money spend hotel room small , hall dark , staff interested customer service , bathroom create intimate feel collegue travel together . would return . 
 may 3 2004 	 room small dark 	 enjoy stay . hotel expensive small room unlit corridor . color use room brown tan . drab ! small sit area room main entrance . location good go convention center ; however , close much anything else . look like internet . would suggest find another place stay want enjoy visit . 
 Mar 21 2004 	 great stay W 	 love W. help get corner suite extra spacious , great view bay . location bit way though , soma area . 's 15 min walk cab ride fun area like Union Square , Embarcadero center , etc . photo hotel room : http : // * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
 Mar 15 2004 	 ` ` Weird '' 	 word come mind & quot ; Weird & quot ; . however , stay W positive negative . room fine ( altough somewhat small ) computer access quite good . hotel interior however annoyingly dark everywhere , include elevator station , floor hallway lobby . fall bump something real concern . bathroom elaborate beauty body product shower cap sight . staff member dress black , wear ear phone walkie - talkie . word come mind & quot ; Weird & quot ; . next time San Francisco return warm , traditional luxury hotel . 
 Feb 23 2004 	 great location great hotel 
 Dec 5 2003 	 Loved W ! 
 Nov 26 2003 	 less stellar 
 Oct 26 2003 	 disappoint W 
 Oct 21 2003 	 Fantastic view location etc . ! ! ! 
 Sep 19 2003 	 great place stay 
 Jun 18 2003 	 great modern hotel 
 Feb 22 2003 	 Great Hotel Great Location 
 Jan 26 2003 	 elegant modern 
 Jan 10 2003 	 wwwonderful ! 
 Nov 19 2009 	 ? ? ? ? 
 Sep 4 2009 	 Alto livello ! ! 
 Jul 21 2009 	 Pour jeune adulte branchés en fête perpétuelle 
 Jan 8 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? 
