love 	 Loved ! one favorite hotel 's stay Chicago . great room , great breakfast , great location . everyone come contact pleasant . lobby beautiful . room nicely update - breakfast delicious . hopefully get chance stay future defiantly recommend friend . 
 May 4 2005 	 never . 	 $ 300 night would think would get something . 's shame call cramp room ' suite ' . ' ve utilize lobby space room . housekeeping service shoddy - week stay room clean without call front desk . however , happy hour breakfast great . two thing not top priority list return hotel . ' m surprised hotel rank highly . 
 Apr 27 2005 	 Perfect Chicago stay ! 	 love hotel ! ! ! ! great location first . block walk Michigan Avenue block way Navy Pier . huge movie theatre right next door well Walgreens drug store . airline lose piece luggage front desk staff could helpful pleasant fax document airline . even though travel 3 kid not see abundance kid hotel . cocktail hour great . breakfast great - want high fiber cereal bring though , be ! $ 220 night well worth . fabulous dinner tip go Lawry 's ( like seasoned salt ) get coupon concierge complete - include full bottle wine - dinner 2 $ 89 . good meal trip . would highly recommend hotel anyone kid ! 
 Apr 14 2005 	 Room never clean three phone call 	 hotel look great service terrible . come back day Housewares Show find room clean bed make . call housekeeping front desk three time five hour one bother come . finally nine pm front desk call check clean staff still arrive . point simply ask clean towel leave alone could go bed . towel new coffee mug take another forty five minute arrive . 
 Apr 11 2005 	 Family Hotel Business Hotel 	 everything great Embassy Suites downtown Chicago -- convenient location , helpful staff , big clean room , spacious lobby . unfortunately seem guest hotel business . must spring break hotel burst seam young child run hall , hop elevator without parent , lounge chair lobby . none disrespectful , boundless energy . morning buffet usually require wait 30 + minute 8:00 a.m conducive conducting business . first morning take business associate Sheraton quiet breakfast . evening drink manager 's reception also mean stand line -- person get drink . irish bar riverfront I . I stay hotel bring family . 
 Apr 2 2005 	 Good Hotel ....... 	 though spend one night hotel , find comfortable perfectly suited need . 2 son enjoy indoor pool , rather small ..... expect indoor hotel pool city ! enjoy jacuzzi well ... nice long day run around see Chicago sight . complimentary breakfast excellent , get right get table problem . expect long line shortage table per review , problem . , comfortable hotel . double bed bit small side ... big deal . hotel clean quiet , excellent choice family four . good choice ... would definately stay . oh ... not forget & quot ; Ed Debevics & quot ; right street , great hamburger milk shake joint ..... great family ! ! ! 
 Mar 28 2005 	 great kid 	 stay Embassy Suites Lakefront daughter . wonderful time . staff nice informative . include breakfast great , nice way start day . plus , enjoyed give two seating time breakfast . good location get place . could walk Navy Pier Michgan Ave . matter minute . disappointment indoor pool cool . mid- March would nice pool tad warm . alread recommene hotel people . 
 Jan 18 2005 	 Great Location Nice Hotel 	 return weekend stay Embassy Suites / Lakefront . base review , expect & quot ; OK & quot ; pleasantly surprised . hotel close Michigan Ave ( 2 block ) Lake Michigan ( Navy Pier area - 3 - 4 block - easy walk ) 's easy grab public transportation get need go . park car Friday night not touch Sunday leave . ( note : probably case w/ downtown hotel , parking * expensive * -- $ 64 two day . ) room spacious comfortable . 2dblbed suite fine we ( couple w/ two kid ) . complaint room fridge work . not bother call maintenance , though , really not anything require refrigeration anyway . ( one minor complaint : concierge helpful .... basically point people rack brochure . ) base past review , expect breakfast chaotic not -- great ! ! good food lot variety , include fresh fruit . be early riser , though , breakfast 7:30am ..... notice quite crowded later morning . evening reception ( complimentary drink ) definitely overcrowded -- SRO looong line bar -- not bother all . overall pleased . way home , kid start plan next trip Chicago . will definitely pick Embassy Suites . 
 Jan 18 2005 	 Lots space 	 really like Embassy Suites offer much space average hotel room breakfast include . make great family . particular case , six female family member travel girl ' weekend away June 2004 . live area congregate nice feature . the location good -- short walk Navy Pier one direction Magnificent Mile . book two room great corporate rate ( $ 165 / night ) . 2 double bed ( king ) pull - out sofa bed , able bed . separate living room also mean snorer group could sleep without fear keep everyone awake . : ) room okay , could use makeover . ask towel two room . bathroom adequate room small Embassy Suites ' ve visit . other post , pool small inadequate number guest . use workout room twice , also small trouble get treadmill 7 am . breakfast buffet get crowd 8 am line move quickly . would definitely recommend arrive early want table . not take advantage evening manager 's reception . be look charm elegance , place . Embassy Suites definitely & quot ; urban & quot ; feel contempary , open air design . room situate along outer wall hotel face huge , open - air atrium . be afraid height , be travel kid climber , may place . watch - out : parking expensive . be $ 20 / night self - park $ 34 valet parking . decide 's worth extra $ 14 avoid haul luggage room , advise use valet parking , charge rate day car park . not matter whether ever use valet . think extra $ 14 turn extra $ 56 4 night . 
 Jan 9 2005 	 Holiday stay embassy 	 spend two night Embassy family Christmas New Years . hotel full family , bother noise really enjoy stay . get catch huge line breakfast first day , staff seem much possible help move thing along ( everyone seem arrive breakfast ) . second day make adjustment set breakfast service help speed thing along even . pool nice downtown hotel , lot natural light nice hot tub / sauna . Great location- convenient Michigan Avenue Navy Pier . take advantage free trolley downtown- great way see ! 
 Jan 2 2005 	 child 	 stay 2 consecutive night December 2004 . attractive hotel nice location , however would stay , young child . hotel full kid . hear run yell hall elevator , well cry scream breakfast . relax ! oddly , problem encounter pervasive odor cigarette smoke throughtout lobby , breakfast area , bar , etc . odd combo many child , indeed , see plenty smoker puff away admist scream tot . room seem good repair . one bulb lamp burn call housekeeping . send someone quickly bulb . however , fellow handed , even ask could replace . unplug lamp , take table fool around replace bulb . task hotel employee . parking costly , end use cab time anyhow . one travling party 18 , would suggest book elsewhere . 
 Nov 25 2004 	 Great Free Breakfast 
 Sep 1 2004 	 exactly need 
 Aug 24 2004 	 kidding ? place super - fabulous - great - terrific 
 Aug 2 2004 	 never ... not leave luggage ... 
 Feb 26 2004 	 Great Chicago Embassy Suites ! 
 Jan 14 2004 	 Excellent hotel modern feel ... 
 Jan 1 2004 	 Good Hotel Great Location . 
 Dec 25 2003 	 Loved Embassey Suite downtown lakefront 
 Nov 3 2003 	 would stay elsewhere 
 Aug 23 2003 	 Nice hotel 
 Oct 31 2009 	 Unvergesslicher Blick beim einschlafen und aufwachen 
 Mar 21 2009 	 Buena ubicación suite espaciosa mal desayuno . 
 Jan 16 2009 	 ? ? ? ? ? ? ? 
 Jul 8 2008 	 Muy buen hotel fabulosa ciudad 
