Fancy 	 spend christmas vacation always await everybody . come make trip destination come major task select hotel , suit budget also great leisure time , thus make trip memorable worth spend money .so decide make trip New York wife always plan go . game big job hotel , search many site , come good portal make online booking . hotels2stay.net . choose opt NewYork HILTON GARDEN INN TIMES SQUARE , , First would say really remarkable stay hotel .The hotel serve service full .e Hilton Garden Inn Times Square 's seat area include fireplace feature red , brown yellow decor . black white portrait New York City display throughout hotel . Pigalles restaurant serve french cuisine . complimentary coffee serve morning restaurant . hotel 's fitness center feature cardiovascular equipment open 24 hour . hotel include two workstation complimentary wireless internet access complimentary printing . bathroom include Neutrogena toiletry curve shower rod . in - room safe laptop compatible . complimentary newspaper deliver guestroom . accommodation include coffeemaker , room service available . the Hilton Garden Inn Times Square locate New York , N.Y. , one block Broadway . hotel Theater District Midtown Manhattan . Blue Line service 50th Street subway station two block hotel Times Square two block away opposite direction . Radio City Music Hall shop Fifth Avenue three block hotel . wife make romantic stay Hotels , definitely thankful Portal make stay wonderful make booking cheap rate compare site .Good Job do hotels2stay.net ! ! love make booking . thank service put Hilton garden . 
 Perfect Location 	 original booking another nearby hotel fall last minute , lucky get hotel low price week leave home less week Thanksgiving . 5 - night stay , Hilton Garden Inn turn well choice : free internet , 15 story ( elevator reasonably fast ) , large room refrigerator microwave ( Evolution King ) , desk , chair still room move around . bed pillow comfortable ( mattress adjustable firmness ) . easy walk distance Times Square , theater , great restaurant , subway stop . rate competitive , choice future . yes , hear street noise even 11th floor back building - fire station quite close - New York - city never sleep ! ( helpful hint : laundry 1/2 block east 49th Street laundry pound : $ 7.00 7 lbs ! price laundromat waste time ! ) . 
 convenient location attentive service 	 stay hotel room two queen sized bed . ( be rarity New York , handy family . ) room nice comfortable . granite counter top bathroom bar area . also microwave oven mini refrigerator room , great . grocery store across street drug store nearby . ice soda machine floor . also provide free wireless internet . four day switch room . first room 2nd floor overlook air conditioning unit quiet . second room 8th floor exactly , loud street noise . get really good rate , 's good place stay . Pigalle restaurant , attach hotel , average food . 
 Good Hotel Smokers 	 would give hotel three four star , fact even prepay reservation , give smoking room request non - smoking room . effort make staff compensate ( put air purifier room give we free breakfast voucher ) appreciate , one - night stay still result clothe reek smoke one us allergic reaction poor air quality room . hotel fine arrive much later 3:00 ( non - smoking room request honor ) care room permeate smell stale cigarette . ( also end need use debit card charge incidental never purchase . still wait refund five day later promise would charge . ) realize experience might typical -- make stay poor one we . 
 Good - Complaints 	 come NYC wife two kid need hotel room two queen bed wife hate sleep double together - small comfortable . HGI one hotel could find two queen bed room . moreover , get add cache Hilton Honors point . find hotel clean fairly large room NYC standard . staff 100 % , although not use much . be one thing : Times Square frenetic ' m much throng tourist deal price reasonable , , bed good . hotel 8th Avenue , one long block main action Times Square , think 's plus . recommend hotel without reservation . 
 Perfect place 	 husband love time spend hotel , near Broadway could walk everywhere want . book evolution room , great , big comfy , really nice great view . love stay . 
 Sep 20 2009 	 Gem Hotel Great Location 	 Straight bat , get impatient reading review , really great hotel ' recommend anybody . stay 5 night last week enjoy every minute . staff hotel friendliest helpful ' come across . check doddle hotel even check we early without bother . check also straightforward . RoomsI ' stay NYC hotel room generally small , room ( Rm 321 , 2 comfy Queen Beds ) quite spacious ny standard . room include proper fridge , microwave , 37 " LCD TV , coffee make facility free Wi - Fi . air - con good . bathroom smallish well appoint good hot powershower . bathroom towel etc good quality complimentary shampoo , conditioner , body cleanser etc nice Neutrogena . LocationThe Hilton Garden Inn locate 8th Ave 2 block away 50th Street Subway go north Central Park South way Ground Zero . find handy get around . hotel also less 5 minute walk main Broadway Theatres ' plan catch show e.g . Phantom Opera Majestic Theatre , ' 3 min away . walk Times Square 5 min also number nice restaurant nearby . ' hungry , ' Food Emporium 1 Block north lovely salad , deli , freshly make sushi , confectionary , pretty much nice food ' ever want . either take away sit window watch 8th avenue go ! overall find hotel immaculate , ideally locate tourist need , good value staff friendly , helpful professional . would definitely stay would recommend family friend . ' take age search hotel NYC . trust , one ' worth ! 
 Sep 17 2009 	 4 girl ( 60 ish ) awesome time New York City - Great Hotel 	 location hotel great BLOCKS Time Square ... glad was'nt right Time Square ( carazy noisy ) Great Food Emporium ( Grocery & amp ; Deli ) corner . eatrie street .... hotel CLEAN ... friendly ...... Frig , Micro & amp ; iron room ... update room ...... would definitely would stay ....... Grayline tour block away .... great use get around NYC ( hop anytime ) ...... taxi LaGuardia $ 34 .... location location location hotel ..... scale 1 - 10 9999 
 Sep 17 2009 	 Great Location TImes Square Public Transportation 	 stay 6 day September meeting client Wall Street take client US Open . hotel staff friendly provide top notch service . hotel clean upper floor sound frequently hear door close . amenity line HGI brand . 
 Sep 17 2009 	 great location nice place stay ! 	 service great . Room nicely decorate . flat screen tv nice , roomy NYC . nice art work city . location great . housekeeping pretty good . I say reviewer - great location ! two block heart Times Square , two block subway station . highly reccommend learn subway system . NYC week take subway everywhere save we ton money - take cab every - time - walk every . subway system fairly easy learn plenty people willing help ! surprised learn fire station across street lose fireman 9/11 specialized tall building fire . sad see flower candle light 9/11 . 15th floor sound street fire truck bother . window sound proof . fact , fun open window hear sound NYC . LOVE city . we Hilton Honors member get free breakfast ajoine restaurant good , however , would not spend money eat . pretty pricy . 
 Sep 15 2009 	 Great Location - Fabulous stay NYC ! ! 	 stay Hilton Garden Inn Times Square 4 night vacation September . with fifth visit NYC , like rotate stay , thus opt Hotel follow positive review read Trip Advisor due fact Hilton Honours member . disappoint arrival Hotel allocate Room # 1106 , well appoint room . although could offer upgrade room stay , receive breakfast water voucher redeem restaurant shop respectively . location : Hotel locate 8th Ave/49 St 5 minute walk centre Times Square . ' ve also get various theatre locate nearby , include Ambassador see Chicago one night . also 10/15 minute walk 5th Ave , must love shopping . Hotel Facilities : room excellent extremely spacious nice large LCD tv free WiFi utilise end busy day upload photo 's keep touch people back home via laptop . Room keep clean every day team housekeeper . ' complimentary ' breakfast provide great addition every morning start day . although choice menu not massive , still nice offer Hotel . overall : Hotel make fifth stay NYC another fantastic memorable visit great City . Location Hotel heart City everything happen whilst hustle ' n ' bustle NYC , always feel safe surround area . good value Hotel fantastic location - would definately consider stay next visit NYC . 
 Sep 11 2009 	 v clean helpful staff recommend 	 Booked Expedia reading review here . very pleased Hotel , service staff excellent , everyone friendly polite . extremely well maintain , staff always seem clean corridor etc . free wireless room , flat screen HD tv , huge bed , fridge , microwave , coffee maker ( kettle ) . room much large expect certainly plenty large enough we , bathroom cosy fine . we husband 's birthday cleaning lady obviously see card next day leave gift bag hotel little note goody - nice gesture . good location , actually Times Square , corner 8th Avenue & amp ; 48th St . however also close Fire Station altough wake up . the thing not keen roof top bar , find bit conceite v. expensive . 
 Sep 9 2009 	 good choice 	 good budget choice NYC . pro : - location terrific , near subway , restaurant Times Square- clean lobby rooms- typical nice HGI linens- pretty reasonably - price Manhattan- free wireless printing- rather quiet . room back not get usual honk horn siren . main source noise guest slam room door , pretty darn annoying ? con : - room small compare HGI 's , let us remember New York City- hotel convert Holiday Inn show hallway deco , pleasantly surprise well remodel . 
 Sep 9 2009 	 Superb value 	 great value . clean , modern , great service , terrific staff . half block subway . could well . 
 Sep 4 2009 	 Excellent Location - would stay ! 	 sorry review little late ! stay Hilton Garden Inn Times Square last weekend June ( 26th - 29th ) would definitely go back . check - in : arrive NYC early ( 7 am ) hotel 8 am . expect check , drop bag , tell we currently clean several room could check early around 10 am instead 3 pm . left run around Times Square stop back 10 am tell room still ready ... , stop back around 1:30 .. still ready . would totally fine check 3 pm expect promise early check - in time . kind upsetting . , NYC plenty wait , minor irritation . room : small . NYC hard find spacious room unless pay top $ $ suite . amount time room , perfectly fine . fyi : bathroom especially small . frig microwave perfect store extra drink heating leftover lunch / dinner . housekeeping : well , first two day go day get back 6 pm . room clean fresh towel . however , last day , arrive back hotel early usual get ready show room touch . housekeeping floor , way end hall . 4:30pm . keep mind leave 8 am , 8 1/2 hour get room . , tell bother switch dirty towel . food : restaurant attach hotel call Pigalle . Hilton Honors member , free breakfast include stay . hotel provide coupon give hostess seat . notice Hilton Honors member receive totally different menu regular guest . however , opinion , nice selection 5 different option choose . enough get we way .. mention , would want pay full price actual menu item . , HH member , may want skip eating venture street experience good old fashioned street vendor breakfast ! ! ! hotel amenity : concierge wonderful . able get we sell ticket Chicago give direction anywhere want go . small pantry lobby buy snack beverage . first think go charge arm leg , stop get coke surprisingly , $ 1.50 . location : good part hotel . less two block heart Times Square Broadway . close enough without pay ton $ $ stay close . red blue line also one block away , convenient connect anywhere city . grocery store shop directly across street kind bar restaurant corner . even find Steeler 's bar one block around corner hotel ! ! go Hurley 's love Steelers . drawback concerned read review noise nearby fire station . say 11th floor side street fire department hear truck couple time . early evening . however , never hear late night disrupt sleep . look convenient location , absolutely ! 
 Sep 3 2009 	 Awsome 	 Loved , great location , great room , Loved it,5 min walk Time square , can not beat that . great price 
 Aug 25 2009 	 back . love hotel .will stay 	 choose hotel form TripAdisor review ideal we , good location , clean nice size room , fridge nice bonus . free use business center . next time NY going stay here . big thank everyone hotel . 
 Aug 23 2009 	 Excellent Hotel Excellent Location 	 husband return three day NYC , good fortune stay Hilton Garden Inn . rate hotel Excellent b / c fabulous rate get ( $ 135 advanced purchase ) everything get hotel ( especially price ) , wonderful stay . the location great - couple block Times Square Rockefeller Center . also within short walking distance Central Park Lincoln Square . the hotel nice , room quite large - give NY standard . fridge , microwave , big chair , desk , etc . bathroom , however , quite small . clean - important I . staff great - able early noon check - in , late 2 pm checkout . helprf Hilton Silver member , ' m sure . some past reviewer mention noise subway / fire house next door . 14th floor not hear thing . actually hear noise condo Chicago NYC ! never restaurant onsite ( breakfast not include rate ) , not know rooftop bar also not try that . I would stay Hilton Garden Inn . location , room , price perfect . 
 Aug 18 2009 	 hotel must ...... try ' secret ' rooftop bar ! ! ! ! 	 well keep hotel review brief review pretty much cover think ...... excellent - clean , modern , great location , definitely 4 * 3 * ! ask room high floor give one top floor . fantastic hotel . problem check ask credit card case damage make ; not one use cash passport holiday money . swipe give back we - not tell we reserve $ 50 day make quite surprise card decline shop SOHO . manager call card company straight away ask release hold do couple hour later . understand fault card company hotel ; however , overhear another guest complaining happen credit card believe warn could happen preloade credit card . now , bit not tell brochure ....... ask concierge rooftop bar , say be actually one top hotel . entrance round corner 48th street show room key doorman let . weekday fine , quite quiet , manage get photo amazing view classy bar ! however , saturday guestlist although let we , doorman seem reluctant - 's obviously agreement hotel bar let hotel guest . night full socialite businessman , see John Mayer ! feel bit uncomfortable definitely experience ! ! ' ve since read Vogue GQ staff regular , Ugly Betty season premiere .... many celebritite Rihanna , Tyra Banks , Victoria Beckham , Kevin Spacey Scarlett Johanssen been / go regularly . fabulous little gem ! ! ! go www.highbarnyc.com info . 
 Aug 17 2009 	 hope ! 	 boyfriend stay Hilton Garden Inn Times Square weekend NYC . spend hour reading review TripAdvisor trying find perfect hotel perfect price . Hilton Garden Inn Times Square rate highly ( especially cleanliness ) get AAA rate reasonable 300 + sq . ft room ( sound like be incredibly hard find NYC ) . originally want find something hip fun , ' m happy went & quot ; safe & quot ; bet stay HGITS . check - in check - out experience fantastic . arrive noon Saturday allow check - in early . even give choice high low floor room . ( request early check - in book directly hotel 's website online , request always guarantee . ) assume street noise might worse low floor , happily choose high floor room . elevator ( always readily available stay ) take we 15th floor settle experience city . room luxurious king size bed adjustable firmness , view towards Hudson , large desk , flat screen tv , favorite - empty fridge microwave . able save lot money bring bottle wine beer , water even snack - could store fridge . separate mini bar - would never pay ridiculous mini bar price loss . ( also & quot ; Food Emporium & quot ; corner 8th 49th think , could buy snack even rotisserie chicken side microwave room . ) bathroom large flashy tub / shower combo , nice mirror decent lighting makeup application . also full length mirror hallway . go see sight stop back hotel around 2:00 go pub across street nightcap . doorman check room key think reassuring . approach room hear incredibly loud techno music come mysterious door end hall . upon enter room however , not seem nearly loud soundproofing must pretty effective . come find room next place think call High Bar . not bother we since get back 3 , ' m sure whether people retire early might bother relatively faint noise - loud bathroom bedroom ! get back hotel considerably early Sunday night noise not issue . stop front desk make sure could bag hold leave around 7:30 pm Monday , staff member offer give we late check - out 2 pm top promise hold bag would problem . accommodate gesture like early / late arrival departures motivate write review - always read review hotel / restaurant etc . ' ve never write one ! check - out breeze able pick bag come back tape Daily Show ( whole reason go NYC ) . park around $ 85 ( hotel validation , tip include ) next hotel noon Sat . 7:30 pm Monday . described & quot ; self park & quot ; garage attendant take key park lift not see leave ( unless want pay ) ! hour research hotel find good parking rate area . would definitely recommend Hilton Garden Inn Times Square anyone , especially young couple like we - maybe 5 - star glitzy honeymoon definitely great little getaway city ! 
 Aug 15 2009 	 great location ! 	 find promotion hotel , book another rate cheap , well location & amp ; member hhonor program decide worth try . parking garage adjacent hotel give discount hotel guest . price suv $ 40 night ( split friend not bad ) . request early check website arrive around 11 am room ready . check bag bellman go . literally take leave front door right , walk block time square . awesome location . head though , people every foot try sell discount bus tour . get stop several time . great way see city recommend really get lie land , speak , well transportation attraction information city process . 5 minute walk Richard Rogers theater see Heights ( great show ! ! ! ! ) . say enough location . doorman helpful . go back couple hour later able check . going call we room ready never . take chance go back 2 pm check people . also , ask could floor friend . originally separate 2 floor person first speak say nothing available together . upon actually check , put floor ( 14 ) . corner room face Hudson River . friend side limited view . room huge . bit small still large expect NYC , especially research different hotel . fridge , microwave coffee maker . room clean . not notice noise unless go right window listen outside traffic . try use concierge line long slow . want go roof top bar renovation . little disappointing . good diner across street breakfast , quick , good & amp ; reasonably price . close gray line bus tour , fire house , theater district & amp ; course , Times Square . easy get ( drive New England ) drive nightmare anticipate . use parking garage prepare drive take everything need . collect key go , not see vehicle be pick . make sure get validation hotel pay discount rate . check room early Sun morning , tour Statue Liberty . , check bag go . hassle pick 5 pm night . want use rest room trip home clerk desk say allow rest room use guest - need get key ( room key also work ) . tell check let we use . one weird thing experience . would definitely return hotel . pay $ 149 night . bargain . 
 Aug 10 2009 	 look ! 	 first time NYC . carefully research hotel Manhattan come across Hilton Garden Inn Times Square . cheap hotel area . break ... price : stay July 30 - August 1st , 2009 . book online website pay $ 179 per night advance purchase ( mean get cheap rate cancel lose money ) good last minute booking . parking : breeze . park car right next hotel underground parking . in / out privilege fine see drive downtown Manhattan cup tea . cost parking $ 30 per nightcheck : simple . reservation , give key big smile . the room : book King Evolution room . room 709 . shocked walk .. super clean gorgeous ! spacious ! seem luxurious price pay , almost feel guilty .. almost : ) bed great , flat sceen tv . microwave coffeemaker .. work fine . the bathroom super clean . tad small not go potty party right ? impression shower mine double bath well . we WIFI .. work everytime , problem . the restaurant : Pigalle downstair find overprice horrible food . owner lucky attach hotel would not survive own . we expect nice meal ( price ) instead get tasteless chicken , powdered mash potato box gravy . something would get take , hundred time price . ask waitress speak manager never come table ... ' m suprisedlounge : anyone look lovely lounge drink , light romantically dim couch comfy chair , old sophisticated crowd place ! street Hilton Garden Inn ... turn right W49th street lounge call Seraphin Time Hotel . take elevator second floor access lounge .. 's hide gem Manhattan ! 's pricey worth it . the neighborhood : seem safe . 's block away heart times square like .. 's much quieter . everything close , within walking distance . wear comfy shoe . there restaurant bar right across street well pharmacy . you will not disappoint Hilton Garden Inn Times Square ! would definately stay heartbeat ! happy travel everyone : ) 
