pleasantly 	 pleasantly surprised hotel . Found Tripadvisor not dissappointe . find good rate hotel 's website travel site account AAA discount . room big expect ( NY standard ) appear renovate recently . staff friendly helpful . luxury hotel mean extremely nice price . subway 1 block away Central Park 3 block . would definitely stay . 
 skip look luxury 	 stay Lucerne Thanksgiving . will make simple : use luxury hotel hope find inexpensive gem UWS sadly disappoint . use mid low range chain , might pleasantly surprised . luxury hotel definition . like choice neighborhood - ave - also permanent home least several long - term resident grandfathere NY rent control law , not surprised smell cooking see small family live one room . opinion , slice New York life add character , rather give hotel air flop house , highlight drab , institutional hallway , cheap blanket , grimy shower curtain , unhelpful cheerless staff , general sense disease ... sum : recommend anyone accustom 4 5 star hotel . 3 star good , less take account permanent resident situation . 
 lovely hotel comfortable great location 	 Beautifully restore tastefully decorate hotel . standard double room queen size bed spacious , comfortable welcoming . staff friendly helpful . great location upper west side - stone 's throw Central Park ( pleasant walk park ' museum mile ' ) . subway downtown 2 minute walk . Breakfast not include room retrospect glad give we chance sample breakfast new cafe diner 4 day stay - none 400 yard doorstep ! 
 may 18 2009 	 really good 	 Best probably location Upper West Side , short walk Central Park , block subway , thus convenient get anywhere ! neighbourhood great plenty place eat , drink even shop . yet hotel quiet . the staff nice . place clean room spacious . bed comfortable . iron iron board room . free internet access . in brief : enjoy stay , place good would definitely recommend ! 
 may 18 2009 	 great stay idyllic neighborhood 	 stay second time Lucerne May . live NYC 3 year 1990 's , fond Upper West Side 's prefer neighborhood , away noise Times Square traffic midtown . king deluxe room excellent , chaise lounge , king bed , air conditioning . room face away Amsterdam Avenue , night quiet ( NYC ! ) . hotel staff helpful courteous , problem getting want go close proximity metro line ( 1 ) m79 bus upper east side . also Duane Reade across street , quite convenient get snack , water ( avoid $ $ $ bottled water room ) , mouthwash , sundrie . my quibble bathroom wall tile bit grungy . otherwise , sink toilet spotless first enter suite . take advantage deal offer book 3 night . save $ $ $ , still , room good value post online rate . avoid breakfast hotel restaurant , Nice Matin , get cheap , fill breakfast elsewhere Columbus Amsterdam cafe block away . plenty bistro within 5 - block radius , shortage interesting multi - ethnic cuisine . I certainly make Lucerne hotel choice future trip ! location ambience terrific . 
 May 18 2009 	 Excellent 	 stay New York number time year hotel provide good value money hotel stay . location excellent staff service good . ask quiet room make reservation wait room ready state checkin time . 
 May 13 2009 	 Lucerne Great ! will back ! 	 stay Lucerne May 6 - 12 - everything great . subway 1/2 block away , Central Park 2 block , nice area . room clean roomy ! Nice Matin , restaurant next door great - breakfast good hot coffee around ! definately stay Lucerne next trip NYC ! 
 May 5 2009 	 find ! ! 	 visit NYC many time year , always stay moderately - price hotel . time , require certain tradeoff . time . Lucerne Hotel perfect every way . service always friendly , impeccable , genuine -- -not do proverbial hand tip . good friendly service , far , ever NYC hotel . arrive late night , due flight delay , yet specific room request reservation honor . hotel clean , quiet , room comfortable roomy , New York standard . free Wi - Fi room . location great -- like Upper West Side , half block subway stop . offer complimentary daily New York Times outside door -- nice touch moderately price hotel . two quibble : 1 ) computer business center free , $ 5.00 minimum usage , 2 ) please get rid $ 6.50 bottled water -- chintzy note otherwise perfect place . , stay every visit . 
 Apr 26 2009 	 great NYC experience 	 hotel locate Upper West Side near Central Park Museum Natural History . neighborhood pleasant , much less crowd Times Square area . subway less block away , entire city within easy reach . we enjoy stay Lucerne . room extremely clean well - stock , staff helpful , everything go smoothly . would certainly stay again . the hotel offer discount parking garage block away . use valet service park car . need car stay , make sure item need car , will not easy access . 
 Apr 24 2009 	 lovely 	 great location , well - maintain . close subway , restaurant , park . room nice New York tiny . friendly front desk really much customer service . ( check take really long time one clerk person front complicated billing issue . ) 
 Apr 21 2009 	 Perfect location Central Park Museum Natural history : ) 	 daughter New York fun , sightseeing , show - see long weekend March . LOVED Lucerne - front desk personnel doormen l friendly , room sparkle clean comfortable bed , small adjacent restaurant serve yummy breakfast location perfect we ! mainly residential area , charming restaurant bakery close walk distance museum Central Park .. nice short cab subway ride Times Square return quiet room Lucerne end day . would absolutely recommend hotel hope return soon ! 
 Apr 15 2009 	 ' ve find home away home NYC 	 visit son attend Columbia U. NYC time time , Lucerne become hotel choice . great service , quiet , comfortable room , vibrant - convenient neighbourhood . park 3 block away $ 29.00 day . we take subway Brooklyn , South Street Seaport west village , plus cabbe elsewhere 15 buck , within step hotel.2 tip ; bring corkscrew / bottle opener something pour water coffee maker room . not carafe , mug not easy handle . we will definitely back ! 
 Apr 14 2009 	 excellent friendly hotel great part New York 	 take long time decide book Lucerne find tripadvisor review pretty much spot . hotel locate Upper West side - great location away fast pace NY life easy walk Central Park . safe neighbourhood great choice place eat . staff freindly - particular ' bellboy ' . room spacious enough family 3 even allow two double bed . clean well furnish great power shower . hotel happy look two suitcase load shopping bag last day . would please recommend Lucerne . 
 Apr 12 2009 	 would recommend friend family 	 Lucerne locate New York 's Upper West Side . nice boro city close Museum Natural History Central Park . Lucerne locate close subway terminal well . hotel room stay ( 1queen bed ) small ( typical NYC ) nice . bathroom upscale granite bath tile . closet also small . room clean fresh . doormen concierge helpful we stay . many small deli / market nearby need anything . large market call Fairway Market far away need anything extensive small market . breakfast , want quick cheap breakfast recommend danish /coffee cart 79th close subway terminal H & amp ; H Bagles 79th Broadway . avoid hotel restaurant breakfast . also , reommend go Smoke west105thstreet . outstanding jazz ........ intimate . 
 Apr 12 2009 	 will stay 	 although not spend much time NYC prior trip , know find keeper . lucerne lovely little boutique hotel great location Upper West Side . block subway , short walk Central Park . restaurant next door fabulous , several other nearby . staff friendly & amp ; responsive , go way make we feel welcome value . 
 Apr 5 2009 	 wonderful choice NYC - Great Value 	 hotel beautifully redecorate nice room bath . staff excellent . location upper west side handy museum , etc . negative . price NYC good quality beautiful property . plan stay future visit . excellent value . 
 Mar 31 2009 	 great location expect 	 Booked suite special 2 night $ 450 ( 1/2 price second night ) . although aware check - in 3 pm , son arrive 10:30am . tell check back soon available room . come back 1:30pm send appear room available . stentch body odor prior occupant offensive could stay room . window open air . great first impression . tell room yet , someone check manager , new room available . recently renovate much clean nicer first . hotel location key 's appeal . Central Park , museum , restaurant within walking distance . major problem hotel come virus morning check . bad ask husband next morning check front desk see could cancel reservation evening ( 2nd night ) without penalty could barely get bed want go home ( live hour away ) . front desk say problem . make clear penalty would stay ( husband could take son rest ) . upon checkout , charge we $ 300 one night . tell would stay say already & quot ; sell & quot ; room . indicate sign upon checkin something indicate $ 300 first night , $ 150 second night ( knew , ask would penalized pay half entire bill $ 225 ) . refuse honor prior agreement penalize we . although really big deal , leave & quot ; good taste & quot ; mouth want return . would suggest Affinia hotel ( Shelburne $ 200 suite large brand new , book choose Lucerne ) . note : although charge we $ 300 , book room one night , online cost $ 290 . 
 Mar 29 2009 	 Loved hotel ! 	 charming location - you feel like resident tourist . yet restaurant shop Central Park close . room large , clean well - appoint . staff courteous friendly . room come umbrella come handy . 
 Mar 20 2009 	 Nice Hotel Great Location 	 year , celebrate birthday , family drive Connecticut spend night Lucerne , favorite hotel City . park lot recommend hotel ( note : exceed 24 - hour time parking time limit , rate jump $ 29 $ 78 ! ) walk hotel browse many cute shop along way . never visit City want spend time great neighborhood remove touristy Times Square area , come Lucerne . Upper West Side hundred cute shop great restaurant . 's family - orient close Central Park , several museum , subway station . can not beat location . want heart NYC , probably place . hotel lovely ; small , clean , homey ; require luxury many amenity , may want consider another property . happy clean , tastefully decorate slightly upscale room , love ! appreciate free wi - fi . everyone deal , door man front desk people , friendly professional . double stroller , prepare fold get onto one two tiny elevator . room not fridge . room decent size NYC ; request corner room back hotel something slightly big quieter . first year room face 79th street ; small bit louder . caution : small child , window open way safety barrier . also first time year , awaken 3:30 a.m. drunken young man come back room next . incredibly loud come elevator , enter room , could hear room . call front desk , within minute , someone come room speak . vengeful 7 a.m. phone man tell stay youth hostel going behave way . love Lucerne recommend highly ; usually pay $ 300 night , year rate $ 220 . yeah ! 
