Outstanding 	 hotel apartment building convert hotel . corner apt 19th floor . feel like tru new yorker ! , there s restaurant 26th floor terrace well . awesome experience ! I m definitely stay . 
 friendly staff 	 not stay Beekman awhile , decide give try reasonable rate . staff helpful polite , along maids doorman also . nice quiet side town . wonder adjoining restaurant close , nice plus . take advantage complimentary breakfast Top Tower fabulous overlook East River . definitely return . 
 may 9 2005 	 clean room excellent professional service 	 stay Beekman 6 day April / May 2005 . good welcome helpful staff , initially disappoint low floor accommodation ask high room compensate good facility excellent sized room- apartment ! amazingly helpful staff small problem arise , nothing much trouble . view magnificent top tower bar , probably good Manhattan night , although cocktail food rather expensive . situate safe area convenience situate nearby . subway really not far ( 10mins walk ) also serve regular bus outside hotel . I would certainly consider use hotel commend hotel management well run professional courteous service . 
 May 5 2005 	 Pretty Art Deco little way 	 Nice hotel , small foyer room comfortable . single room kitchen ; understand room large sep living room . cafe 26 serve fix price menu night stay quite pricey $ 45 $ 65 plus tax nice cocktail . other say , bit walk near subway Lexington 51st easy access good cross town bus 50th 2nd ( 49th 2nd heading towards Times Square ) . 
 Apr 10 2005 	 Excellent room high 	 experience two room stay beekman , first put 3rd floor room quite good , view really exciting bit noise pervade room , ask change . receptionist , call 1 second get room , ask everithe ok , ask change . reply well room may free next day . wait receive ( extra ) incredible 21st floor room excellent view , king size bed , lot space around ! excellent ! 
 Apr 9 2005 	 Excellent Hotel - Met expectation 	 stay Beekman 6 night commence 28 March teenage daughter ( 17 & amp ; 15 ) - fairly late change booking decide would like space & amp ; review post encouraging . in many way much add other say , except say comment representative . staff fantastic - nothing much trouble , nearby Nations Cafe good , supermarket across road 1 block west 2nd Avenue convenient . room comfortable extremely spacious . get excellent rate via UK travel agent hotel 's rate pretty good . do not put comment distance metro - 's 10 minute walk regular bus stop across road corner 1st Avenue 49th Street ( use metro card extra cost ) take 5th Avenue / Times Square 10 minute . plenty restaurant nearby always feel safe walking surround street , even late night . a great place stay provide lot space excellent value . 
 Apr 8 2005 	 great deal suite 	 get great deal Orbitz . check - in , ask receive free double upgrade . great view 25th floor , close kitchen noise , would avoid floor . Suite huge , plenty room family 4 . hotel clean pretty excellent service . absolutely would stay . 
 Apr 3 2005 	 absolutely satisfactory 	 beekman comfortable good quality hotel . luxury standard ( include price ) , hotel clean comfortable . service fault , kitchen convenient , particularly freak snowstorm make venture outside uncomfortable . kitchen little date ( fully functional ) , bathroom lovely water pressure shower excellent . hotel fault , miss oomph would make exceptional . look reasonably price , comfortable hotel fabulous view rooftop grill location heart East Side , beekman . 
 Mar 21 2005 	 strongly recommend 	 stay twice last two month long weekend strongly recommend hotel business/ tourist travelor look low - frill professional service excellent value . comfortable , spacious environment without in - your - face glamour big name hotel good choice . room full kitchen nice room certainly large NYC standard . recent trip , travel fiancee 's parent book room upon arrival desk upgrade we comfortable two - bedroom suite . much less travel savvy fiancee feel comfortable hotel . 
 Mar 14 2005 	 great art - deco hotel 	 stay Beekman Tower March 2005 impressed professionalism friendliness staff ; size cleanliness room ; lovely view city 26th floor restaurant / bar . architecturally speak , hotel art - deco gem . would highly recommend , though review comment 's close subway stop . ( take cab walk . ) 
 Mar 8 2005 	 Suite Success 	 Booked studio bargain price , yet upgrade Art Deco suite ! lovely quiet ( NY ) location close UN , bit walk Midtown highlight crosstown bus run nearby . friendly helpful staff add pleasure stay . excellent diner across 1st Ave breakfast . stay next time be ny . 
 Mar 4 2005 	 absolutely fabulous ! 	 return 6 night Beekman Tower . suite really great , like apartment . location really handy 's general grocery shop diner across road . 's block get everything walk easy 's load see way . taxi stop right outside without effort . love place , staff really nice , room spotless excellent service would stay agian tomorrow . top tip ! Use hotel driver service go back airport end stay . travel JFK really heavy traffic , suit Lincoln collect we , 1 hour drive ( traffic ) $ 55 . inclusive . great deal . 
 Feb 12 2005 	 great room excellent view staff 	 arrive 5th feb 4 night break , room excellent sorry room apartment lounge kitchenette microwave , oven , fridge freezer etc , etc separate bedroom excellent view 19 th floor .clean bathroom linen . staff friendly accommodate store luggage arrange taxi ride back airport friendly driver . well place major sight , good range restaurant area , surprisingly quiet dark try restaurant top tower good view manhattan . book internet would use . 
 Feb 4 2005 	 excellent value spacious tidy room . 	 7 we share 4 one bedroom suite delighted space clean . superb value , spend lot stay inferior accomodation . someone sleep sofa bed confirm comfortable normal bed one flimsy mattress ! read negative review assume talk somewhere else- peel paint small room ? ? simply case . the negative pricey drink ' Top Tower ' not go , handy place meet night . 
 Jan 25 2005 	 well locate friendly 	 stay 5 day 31st December 2004.on 1st 49th street easy walk main shop short taxi ride almost anywhere Manhattan . the staff friendly ; expect New York suite small kitchen endless supply coffee bag machine supply . staff happy help direction bagle shop , order NY pizza , laundry etc . I rate staff highly train well average . my son wife sofa bed main lounge room not comfortable ; well put mattress floor . noise issue even 18th floor .. think normal place never sleep . a great New Year 's Eve party 26th floor open guest reataurant .. dine go along prior midnight could dance great time . an old building , comfortable reasonably price booked interrnet get price half rack rate . 
 Jan 21 2005 	 get right first time ! ! ! ! ! ! ! 	 stay 4 day & amp ; 3 night May 2004 . great hotel , great staff , great room , really & quot ; get right first time & quot ; . find great deal thru ( -- - ) . get chance use guy , great , city great afterthought , guy stand - out . L.K.TN 
 Jan 18 2005 	 beyond great ! 	 stay one quick overnight shopping , eat theatering . beautiful Art Deco hotel perfect location . Suite roomy , quiet clean . Top Tower perfect place late drink , view die . front desk valet welcome helpful . group young people really seem enjoy job , come top . could helpful , offer call car , get cab , etc . type service typical huge impersonal city NYC . make feel comfortable , safe happy . right ! Kudos management hotel group ! 
 Jan 17 2005 	 great stay 	 great 7 night beekman , bed bit small , fantastic much space . room clean everyday , shower brilliant long day 's walking . could not fault anything hotel , bit date hotel city seem . even get bottle champagne cheekily ask ! 
 Jan 13 2005 	 wonderful stay beautiful hotel 	 wife arrive Beekman last Fridayand stay 5 night . we generously upgrade wife 's 50th birthday . although original suite far large hotel accommodation spotlessly clean , upgrade give we superb view even space . the suite really good order keep clean tidy housekeeper toiletry supply good quality . the staff , especially Mr Laydon , look we well friendly helpful . the view & quot ; Top Tower & quot ; breathtake .Location - wise , hotel safe neighbourhood lot delis , restaurant shop close by . we would unreservedly recommend hotel would definitely go back 
 Jan 9 2005 	 great service ... 	 stay New Year , 28th dec 04 - 2nd Jan 05The staff friendly accommodating . however , one bed suite clearly need refurbishment . public area look little well . suite accommodation afford we good degree privacy travel teenage son . the location , 1st 49th , mean short 15 minute walk Rockerfeller Center shopping . often hail cab , cheap around 4 dollar . nation cafe , road , offer decent food- especially good breakfast . 24 hour mini market road . 
 Dec 8 2004 	 Affinia right 	 stay Beekman 5 night 16/11/04 -21/11/04 . friendly staff . superb room facility . great location . well do Beekman . 
 Dec 7 2004 	 Nice hotel friendly staff huge room 	 nice hotel spacious room . nice seperate living / kitchen area 2 tv 's ! ! staff friendly helpful , breakfast huge top tower something else . downside stay request non smoking room end smoker room check round thank give hotel fully book . would not problem come back hotel 
 Nov 27 2004 	 great room friendly service 	 friend stay hotel 5 night October 2004 . little apprehensive promotional rate ( half ) . however , pleasantly surprised quality hotel suite . staff friendly helpful . great separate living room kitchen , stock snack , sodas water market right across street . microwave come handy popcorn late night tv . bathroom clean stock nice toilettrie . room great view city ( 18e ) . restaurant 26th floor amazing -- enclose terrace gorgeous city river view . excellent place cocktail hit town . the downside hotel good 10 - 15 minute 's walk near subway entrance Lex ( 5 block ) . however , would definately stay hotel . 
 Oct 15 2004 	 like 	 beekman hotel safe bet person visit new york . hotel locate corner 1st 49th . real downfall would nearest train station lexington 51st 4 block away . bus across street 49th number m27 m50 take crosstown really convenient . , hotel nice . room clean . service great . 
 Sep 30 2004 	 can not rate hotel highly enough ! 	 almost book hotel base website detail find tripadvisor discover hotel book terrible review . book Beekman base review site , disappoint . the suite huge New York standard , enough space try clothe buy ! even dining table eat takeout chinese , kitchenette want cook ! staff friendly helpful , although hotel locate right centre , find perfect accessing place want see , lot bar restaurant nearby . the walk Grand Central Station take 10 minute . I can not recommend hotel highly enough definitely intend stay future . a great place stay ! 
 Sep 20 2004 	 Great Hotel fantastic service 	 three mate stay weekend 9/11 find hotel pleasant experience . staff friendly welcoming . room clean , tidy spacious enough four we separate bed room spare . one minor criticism lift take come call , however understand hotel instal new one soon . location excellent five - minute walk midtown subway connection . great supermarket opposite , stock thing would ever need . stay many hotel New York hotel nicest stay yet . would definitely use hotel recommend whole - heartedly anyone think take trip New York ! 
 Jul 6 2004 	 try Beekman first 	 time come NYC beekman first choice . staff accomodate , room spacious . location perfect . well place unwind , like live Ny apt . Cable , small kithen , clean , price competitively , .the great review , hard get reservation upgrade . staff really aim please take care guests.bravo ! always try beekman first ! 
 Jun 27 2004 	 ' Love ' Place ! ! ! 	 husband take first NYC trip together may 2004 celebrate anniversary , expectation high . seem play & quot ; musical room & quot ; first day put damper plan , quickly accomodate helpful staff . one bedroom suite marvelous ! spacious , amenity could ask , great view . location ideal , offer scenic walk quiet alternative congested part Manhattan . one block west Associated Supermarket find fulfilled shopping need . can not forget Zephyr Grill . breakfast fresh delicious . stay Beekman sweeten memorial occasion . hope return New York soon stay . 
 Jun 24 2004 	 great value 	 stay Beekman begin june , 2004 3 night really enjoy . front desk staff helpful , friendly efficient upgrade one bedroom suite ! although need little update suite absolutely huge pretend live Manhattan flat . good convenience store right across street stocking kitchen plenty restaurant nearby . ( way , next door neighbor UN ! like indian food try & quot ; INDIGO & quot ; ( around corner 50th believe ) -- truly well ever . Tony Awards weekend , get take local deli buffet cozie living room ! like hotel -- luxury , clean spacious . love walk ( not NY ? ) mind location . even do not eat restaurant , must go see view ! overall , great value . 
 Jun 4 2004 	 safe bet 	 Beekman Tower safe bet anyone despair read hundred bad hotel review . suite clean , spacious well - furnish main bed sofa bed comfortable . kitchen nice although not use much . staff mostly friendly competent . traffic noise 7th floor minimal . checking , luggage could store hotel organise car airport . the hotel fairly quiet , safe area near UN . subway station nearby ( 10 - 15mins walk ) , bus 27 50 go across town along 49th St , return along 50th St. Weekly Metro Cards good buy be stay four day . taxis quite inexpensive short journey awkward subway bus . we use UN Plaza cafe / restaurant opposite corner breakfast every morning , would recommend . 
 Apr 4 2004 	 Place stay NYC 	 travel NYC 4 / year stay numerous hotel year - decide try beekman hear friend excellent food accomodation . be glad ! . suite beautifully decorate , staff courteous welcome food scrumptious . dine main level restaurant skyline level - view breathtaking ! waitstaff courteous even note head chef come check guest meal / evening - pleasant nice touch ! keep good work beekman - will back ! 
 Apr 4 2004 	 bad start - great finish 	 stay start badly arrive 21.00hrs tell hotel overbooke despite fact book well advance arrival time know . staff apologetic call cab take sister hotel block away huge disappointment . say would return next day expect room upgrade would goodwill gesture . duly arrive give marvellous suite balcony one side give great view 59th street bridge side amazing view Manhattan skyline , particularly night . also give complimentary dinner night Zephyr Grill steak absolutely fantastic . location fine love walk need subway Lexington minute away . nice hotel , friendly staff , shame book highly recommend long not need centre thing . 
 Mar 23 2004 	 Excellent Excellent ( not say excellent .... ) 	 stay 9 night March & amp ; find Beekman excellent hotel every department . stay 1 bedroom suite $ 158 night , book Affinia website , get excellent valuei spend hour research stay ny , wary finding stinker ; find absoulute opposite ! could talk age quality room / hotel , list hopefully paint picture . superb sized room separate lounge area , sofa , table , chair , great size . excellent separate kitchen dishwasher , fridge - freezer , microwave , hob , toaster , cutlery , kettle etc . room clean , excellent maid service good touch like iron , hairdryer , safe etc . basically good quality flat , excellent space . good bedroom excellent shower / bath . helpful staff - ask move back hotel little road noise & amp ; do efficiently ; courtesy call manager make sure well , etc . ny , road noise minimal use , back property well . express preference book . the downside ; well one could think could location ; 49th Street , 1st Avenue . problem we ; 6/7 min walk tube Lexington Avenue bus stop close hotel . far everything . however , must close say Times Square Central Park , may place you . all , crack hotel . well worth stay . 
 Jan 20 2004 	 Upstate review Beekman tower 	 favorite place stay NYC . pleasant , attentive hotel staff . outstanding gourmet food serve waiter know menu . even meet head chef take time greet guest . want sure enjoy food . certainly ! ! will back ! 
 Jan 17 2004 	 like be New York Apartment 	 stay Beekman summer 2003 . stayed 12th floor great view UN Plaza First Ave . large , clean 1 bedroom suite . bathroom view ! kitchen light never work , despite frequent request management replacement . Top Tower real classy place . great view Midtown . stay Beekman summer 2004 . 
 Jan 14 2004 	 Beekman worth ! 	 spend 3 day NYC back May ' 02 . Beekman Tower recommend client mine . not city since high school trip decade ago want vacation visit site . , solo fly knowing read travel guide , anxious . soon pull hotel know go enjoy trip . stylish front reception polite , friendly . Cozy . give one bedroom suite 17th floor overlook First Ave . great large ( apartment ) unit lot window , livingroom , dining , desk , fax , kitchen , nicely appoint bedroom , smallish bath good view toilet city ! ! b - fast Zephyr superb cocktail Tower excellent ! order room service . Felt pamper every day come back & quot ; place & quot ; long day great city ! ! location good -- little & quot ; east & quot ; depend want see . miss stay May return NYC friend want Waldorf . Hope life & quot ; place & quot ; Beekman . 
 Jan 10 2004 	 Great experience 	 Beekman tower perfect place family . suit spacious clean , staff friendly , enthusiastic , responsive need . great value dollar . perfect place unwind end day ! 
 Jan 5 2004 	 amazing time ! 	 amazing time , hotel lovely , suite clean , good facility stunny view ! staff helpful polite ! would definately stay ! ! 
 Jun 25 2003 	 Fabulous Place Character 
 May 31 2003 	 stay away ! 
 May 25 2003 	 Fabulous Hotel 
 Feb 19 2003 	 ok place ..... 
 Jan 2 2003 	 tiny Dirty 
 Jan 1 2003 	 avoid ! 
 Sep 7 2002 	 could please ! 
 Oct 1 2009 	 vivamente sconsigliato ! ! ! 
 Sep 28 2009 	 rata 
 Sep 23 2009 	 hôtel un peu vieillot mais très bien placé pour visiter NW 
 Aug 21 2009 	 ein von den günstigeren hotels aber sauber und gemütlich 
 Aug 20 2009 	 muy bien ubicado pero las habitacione horrible 
 Aug 11 2009 	 hotel vetusto 
 Jun 17 2009 	 Esperienza indimenticabile 
 Jun 8 2009 	 Trés bon hotel 
 Oct 8 2008 	 sollte ein Hotel mindesten sein ! 
 Jul 16 2008 	 Muy bien 
 Jun 28 2008 	 hotel favoloso 
 Nov 7 2007 	 Très confortable et bien placé 
 Oct 29 2007 	 Accogliente spazioso e comodo ! Ci tornerò 
 Sep 6 2007 	 Contento del Beekman Tower 
