first 	 stay Bryant Park Hotel quick overnighter friend . room gorgeous , bathroom beyond amazing , amenity offer first class . after run around city look fun place go , end Cellar Bar mad not come early ! music great , crowd fun , staff nice funny . only downfall & quot ; late night & quot ; menu -- food obviously microwave , else expect 3 a.m. ? 
 Jun 19 2009 	 great little Gem 	 Service charming hotel unsurpasse ! treat we like friend . near Times square close subway , hotel face Bryant Park amazingly quite . celler bar basement groove great tune . room spacious bathroom large comprable hotel price range . stay next trip ! 
 Jun 19 2009 	 come back New York stay Bryant Park Hotel 	 absolutely wonderful ! accomodation good - hardwood floor , hypoallergenic bedding , marble bathroom ( grout - I hate grout ) , flat screen tv unbelieveable service . service - it feel like people , yet attention top - very comfortable . hotel beautiful across street sweetest park , Bryant Park . park block wide deep - ice cream table chair 100 year old tree , antique carrosel ride , movie park , ice skateing park winter , .... could go . perfect slice New York heaven . 's heart fashion district , 2 block theatre , plus little deli eatery either side hotel not want dine expensively . can not say enough trip- magical 
 Jun 19 2009 	 Excellent service 	 Excellent hotel great location good service . particularly impressed reservation process - need check early check late - Christopher reservation helpful , professional fast reply email ( take hotel long reply email ? ) . room modern minimalist . club low ground floor good scene hotel guest , go straight . 
 Jun 14 2009 	 could top value money ( special offer ) 	 book special offer get room 240 $ instead 700 $ . tablehotel member even beneficiate & quot ; suite upgrade & quot ; . well value money ... hotel well situated , especially first visit NYC ( case ) , close Time Square , interesting town & quot ; must see & quot ; .I think photo hotel room publish several website reflect quality hotel : look well design real ... staff , mostly young people , pleasant efficiant . also trendy bar basement . good 4 star 1/2 ( rank ) 
 Jun 14 2009 	 Friendly Place 	 wife spend 3 day Bryant Park . wonderfully locate Mid - town , place great , large , impersonal , stuffy , hotel heavy furniture tiny room little character , place sense style decor . room spacious , quiet , well equip Bose system , beautifully design . large plentiful window give room airy feeling . novel . view Empire State Building . course , staff make place . excellent service front desk Michael Marco assist restaurant recommendation reservation , always feel welcome part family . give retire , ' m sure use much young clientele treat we sensitivity patronize we . one hour , know name greet we way throughout despite hotel fully book . plus downstairs & quot ; cellar bar & quot ; provide different type hospitality , New York Style . , felt include ... staff even chat we free . warn place rock begin midnight . overall great New York Hotel would like return future trip . 
 Jun 2 2009 	 Fantastic ! 	 fourth visit New York first visit Bryant Park say ! upon arrival find upgrade Junior Suite look Bryant Park anniversary birthday ... start hol ! room amazing ... massive bathroom tub 2 walk ' rain - fall'shower ... need hard day shopping site see ! Location Hotel perfect , sandwich shopping mecca 5th Av theatre district Times Square although would not realise due tranquility Bryant Park right outside entrance ... great escape hustle bustle ! staff hotel brilliant would not really fair name name 's equally brill ..... one say Cellar Bar ... recently vote one good hotel bar city 's easy see .... great place chill chat New Yorkers visit work beer unwind ... certain take advantage Residents Happy Hour drink free ... happy day ! ! fantastic time ( ) Big Apple would definatley stay Bryant Park recommend friend .... BOOK ! ! thank Bryant Park Paul & amp ; Sue ! ! 
 may 22 2009 	 Great Location pricey fantastic service restaurant 	 friend go weekend get away . hotel brilliant location minute walk main shopping district within easy reach major transport line . the room clean crisp thing unhappy slow service reception abrupt service restaurant . each guest rush check restaurant feel pressure could not take time enjoy meal way normally would . I would like add concierge excellent helpful fact really help make stay , aspect improve would certainly back . also look rate seem slightly high hotel area similar standard 
 May 18 2009 	 really enjoy 	 kind odd review . first , let say , really , really , really enjoy hotel . stay deluxe park view room three window overlook Bryant Park . 's nice view ( look well describe infrastructure Sofitel , another hotel really enjoy . ) not daunt slick website be feel like hipster . place range guest , painfully fabulous utterly normal . great , firm bed . fantastic bathroom totally fantastic shower . clean . semi downside , barely , room design bit ... ikea , term furniture style . expensive ikea , IKEA nonetheless . pay $ 350 night , would felt rip . , get great rate . nice midtown location ... semi - quiet , across Bryant Park New York Library . would happily stay right price . say , think staff tremendous . really , really stand . friendly , motivated , face , certainly feel welcome engaged job treat well , ' m fairly conservative style young hipster stretch . hotel ' ve stay anywhere , staff , Bryant Park really excellent . stand department . 
 May 15 2009 	 Us Nick Cage . 	 Nick Cage 's new movie film hotel stay . know ! 's beautiful , terrific location , across lovely Bryant Park ( yes 's real park ) . reason give 3 page glory review chance may booked solid return . so will short . room ( two ) beautiful spotless . staff , great . restaurant / Room Service great . like least .... stay 4 day ! ! 
 may 13 2009 	 Perfect balance hip friendly 	 friendly helpful staff make difference ( thank Felix Alchemy ) . hip hotel often bit & quot ; cool & quot ; , hotel get balance right . lovely room , really excellent bathroom . niggle lighting , not level sophistication element design - control , great lux level would improvement . two night would happy comfortable stay long . 
 May 10 2009 	 good choice 	 Stayed Junior Suite view Park . great room , fabulous bathroom , perfect location ( quiet still heart nyc ) . not try breakfast ( expensive ) , not try restaurant . Free Wifi access Bryant Park across street ( even catch wifi hotel wifi free ) .Simple efficient service . go it . for sure , return.dlm / France 
 Apr 24 2009 	 well hotel Manhatten .. 	 pay somewhere else ... receive less . hotel staff simply perfect .... period . 
 Apr 22 2009 	 GREAT NYC luxury hotel experience - Bryant Park deliver ! 	 ' ve stay Bryant Park least month two year . be look excellent , luxury , boutique hotel great location Manhattan Bryant Park can not beat . reservation process wonderful service stay - every step way pleasure . Christopher reservation become great resource finding right room even help hotel choice bp sell - out . typically stay one Raymond Hood Suites spacious wonderful outdoor terrace space . ' ve stay dozen hotel throughout Manhattan always return Bryant Park . 's fun , locate near everything , stuffy still classy luxurious . 
