COLORBLIND 	 Prior trip whether business pleasure go Trip Advisor view late review hotel stay trip . enjoy read review see other feel certain hotel frequently find recommendation restaurant locate near hotel . recently look review Darlington Hyde Park ( DHP ) London recent trip shock read negative review partner person color advise people color stay dhp.i person color discover DHP Trip Advisor web site stay DHP four five occasion past two year direct response find site even though travel agent make suggestion time familiar dhp.during visit always treat utmost respect courtesy . time feel slight inkling distain perceive negative treatment towar race . fact entire staff reception , dining , housekeep fantastic least . besides convenient location five minute walk Paddington Station two tube station , cleanliness entire hotel , bright attractively decorate room , quality breakfast outstanding attribute hotel staff care considerate manner . I fortunate consult business allow opportunity travel around world stay hotel every class . travel London either stopover point specifically holiday visit DHP hotel choice . in past recommend DHP colleague friend . visit last week highly recommend Darlington Hyde Park anyone . 
 great location great staff bit noisy room 	 stay 6 night Darlington Hotel . location perfect , easily hop bus tube travel London . travel mostly bus : 15 minute Notting Hill Oxford Street . perfect ! first stay room 10 . room quiet fresh , not much daylight . ask room street side hotel . staff helpful put we room 203 . room lot big , two nice seat relax day walk , bathroom much practical . disadvantage room bad ventilation ( night could hot room , even window curtain open 10 degree c outside ) noise outside ( window open fresh air ) wooden floor ( hear upper neighbor walk toilet ) .However , really enjoy stay : nice breakfast , spacy room , cleanliness really friendly staff . definately worth visit another time ! 
 Sep 19 2008 	 Perfect stay ! 	 Darlingron Hyde Park Hotel perfect hotel everyone want hotel perfect location , excellent staff , perfectly clean room , free breakfast boss amazing english accent ! room ( ) take care roomservice every day always leave room excellent shape ! bedroom backside hotel never bodere noise street room sake . bathroom tube , huge mirror clean . & quot ; livingroom & quot ; tea make facility ( course , England ! ) tv dvd player , bathrobe , fridge , security deposit box comfortable sofa . love place ! downside never want leave go ! however , fantastic come back ! location great , Paddington metro station around corner Lancaster gate metro station . also relatively short walk Oxford street , couple kilometer . the staff great , helpful everything always . especially like man english accent , great hear accent like ! good perhaps price , pay 630 £ four night suite ! good hotel like middle London ! , love place , recomme everyone course stay next time London ! 
 Sep 17 2008 	 Great Hotel 	 husband stay two night September . choose Darlington 's location ( want close West end ) , price good review Trip Advisor - not disappointed . we book ' executive room ' give Room 102 first floor two huge window look street . room good size , comfortable bed , flat screen tv ( volume set go certain point good neighbour ) , fridge ( complimentary mineral water ) , small security safe lovely clean bathroom . like could open huge sash window help cool room - air conditioning fan provide adequate . breakfast downstairs basement ' conservatory ' breakfast room - clean staff efficient . plenty eat - cereal , fresh fruit , juice , te / coffee & amp ; toast course full english really quite enjoyable . fill breakfast day less we dinner evening ( point - must try Big Easy BBQ & amp ; Crab Shack King 's Road - delicious ! ) .reception staff polite whenever see , complaint there . location great , Paddington station around corner , minute walk Hotel . tube LOT well remember ( last use 20 year ago ) use make everywhere handy . we be come back London next year certainly book Darlington Hotel - thoroughly enjoy stay . 
 Sep 12 2008 	 real little gem near Paddington 	 two day stay hotel visit . many city hotel unfortunately , approach trepidation expect over - price grubby round edge . fact really excellent - clean , secure , extremely well situated , good breakfast spotless throughout . little gem highly recommend . well do management staff . 
 Sep 8 2008 	 Great Place stay 	 review little late consider next trip 2009 want see Darlington still highly rate . consistency service critical factor we determine whether return stay . in short hotel represent excellent value money . great location , comfortable , reasonably modern , clean functional appointment . service professional importantly responsive request . highlight include english breakfast economical pay laundry . stay ! ! 
 Sep 4 2008 	 Disappointing 	 give great review hotel TripAdvisor expect pleasant stay , however thing know stay hotel . the location fine . nothing special , fairly convenient like Paddington area . the room size decent London . however room date worn . bathroom not clean shower particular terrible . breakfast fine , would not bother be stay get cheap rate without it . the service decidedly average ( except one new staff member ) . several less helpful encounter staff , try get internet work really stick mind . given ' ve pay 20 euro per night wifi , fact need night , become significant factor choice hotel . arrive could get connect net . work wifi extender could get link main router . call front desk repeatedly tell problem end . able connect main router fine take laptop hall , know true - plus could see wifi extender eye ( netgear model familiar ) blink red show lose link . nobody hotel idea wrong , fix , bad , make effort fix , suggest instead sit lobby use internet . another guest wifi issue witness blame well -- go show wrong ! would stay hotel . 
 Sep 3 2008 	 comfortable .... 	 be near two subway station . in paddington station , u find two super market inside . very close hyde park . nice breakfast , good location , friendly staff . but u ready hear crack sound floor above . also could quite noisy street , ppl walk street . price cheap .... hard find good cheap hotel london good location . 
 Sep 3 2008 	 excelent place stay 	 Stayed Darlington Hyde Park Hotel family ( wife , three child ) begin August 5 night , chance find everyone stay write many good thing hotel . everything excellent , especially staff . ' hotel , must recommend . 
 Aug 29 2008 	 look forward return 	 stay 5 night Darlington everything live expectation : service reception ( even ask opinion last day ) breakfast ( always come ask order soon arrive ) . far breakfast concern , plenty variety Continental breakfast - danish pastry , yoghurt , three type cereal , fruit , three type bread toast - english breakfast ( make order ) - egg , bacon , mushroom sausage . we stay much small room pay Darlington . plenty space go round without bump furniture . long top , flat screen tv ( 12 channel : 5 terrestrial 7 cable , include film sport ) , lamp , tea- coffee - make facility electric kettle . also three chair proper coffee table , besides surface open suitcase . particularly appreciate fridge ( stock two bottle water arrival ) spacious wardrobe - two year ago stay hotel not actual wardrobe , problem consider somewhat addicted shopping end bring lot bag room . also safe . another important thing , travel elderly mother , difficulty fall asleep , give room back almost top ( room 300 ) , quiet . bed comfortable extra pillow . last least ( actually , determine factor we ) , hygiene : floor always vacuum ( sometimes ' m careful crumb ) , bathroom spotless remnant detergent toilet , fresh soap , bath gel , shampoo towel ( three small one two large one ) . shower cap also provide well hairdryer . besides , water pressure bath perfect . we enjoy location : leafy Sussex Gardens - five - minute walk Paddington Tube Train Station , bus 7 , 15 23 almost doorstep . we stay many London hotel year , much expensive , rarely leave hotel feeling look forward return soon possible . 
 Aug 13 2008 	 great hotel anyone 	 everybody visit stay Darlington hotel , recommend . 
 Aug 12 2008 	 manage expectation 	 good hotel , long know expect . street many town home convert hotel like . believe one well one . clean well keep . breakfast exceptionally good . not expect large room much beyond basic . one amenity find useful , laundry facility . not see much european hotel . location okay , near Paddington Station . choose location , would prefer location south usual tourist attraction . 
 Aug 2 2008 	 comfortable central 	 stay 4 night . hotel comfortable ; room small bed okay , good thing breakfast cook . hotel good base get around London good selection eat place around hotel . good hotel okay night city . 
 Jul 21 2008 	 great pretty good . 	 one series hotels street use victorian home . one nice . room nice , small . bed comfortable . unfortunately not much view . breakfast include rate pretty tasty . staff part great , especially server breakfast . location great , Paddington Station tour bus stop . highly recommend 's first time London . Hyde Park street . 
 Jul 21 2008 	 Loved Darlington 	 yes , want spotless clean hotel helpful efficient staff fabulous location , place stay . love Darlington . stay London 4 day prior tour book suite give we plenty room relax . well worth extra cost . one hotel really could not fault 4 week UK Ireland - floor squeak bit , many extra part deal . be 1 block Paddington Station able walk suitcase quite easily , mention great location shopping , particularly Oxford Street . 2nd stay return good . freshly cook breakfast also include , well opportunity use laundry . great place stay . 
 Jul 13 2008 	 's true ... nice hotel ! 	 property work well family four , family room back ground floor . spacious room , quiet setting . breakfast good , variety food . major complaint twin bed sofa bed use teen daughter comfortable . convenient location , short walk Tube train Heathrow Windsor . find much attractive dinner option walk toward Lancaster Gate , rather Paddington . 
 Jul 10 2008 	 great hotel friendly staff 	 stay 5 night June find staff helpful friendly . room clean breakfast nice . great location Paddington station walk distance Oxford St. would stay . 
 Jul 9 2008 	 love much first time ! 	 recently return 13 night stay Darlington . 6 travel party . stay triple twin room # 3 family room # 5 . room well equip , clean , comfortable . stay room 3 room 5 new we . love room 5 . 2 bedroom room . enter twin room double room back . room tv window open small courtyard . the breakfast room good remember . staff new pleasant . the reception staff go beyond couple occasion . first son try wash clothe understanding would take lot long home . since leave theatre , staff member volunteer take do front desk return . second occasion leave London plan rent car . accidently grab wrong passport room safe . passport necessary make rental . front desk staff member go room retrieve passport safe , faxed rental agency , return passport safe . we absolutely love Darlington definitely return third stay ! 
