fine 	 return hotel 's excellent central location splendid slightly colonial feel . typical modern luxury hotel . time not quite meet previous expectation . courtyard restaurant close , staff seem interested fawn one gain tip ( except clean staff lovely ) price ( recession ) seem even excessive . nonetheless , still quite fine stately feel , not mind pay premium . 
 Apr 28 2005 	 favorite hotel 	 come back trip San Fran , Carmel , Pebble Beach Napa . stay 1 night ( 3 couple ) Ritz first arrive San Francisco . book Club Level room $ 445 per night . minute arrive minute leave heaven . upon arrival receive refreshing glass champagne drank check - in . quickly take room ready 12:30pm check - in . luggage follow we 2 minute later . extra concierge service explain us refreshment offer . room spacious - exactly brand new clean comfortable . mattress bed one good ' ve sleep ( $ 5,000 mattress home hard compare hotel mattress come close ) . concierge service excellent ( one lady asian hard understand everything ask . ) everyone new name 5 minute check - in . note 6 us 35 young 21 . usually ignore fancy place think daddy pay bill - true ( way daddy pay bill ) . anyway , system front desk call concierge ( whose desk front elevator bank ) way lobby vice versa let know guest come . car always wait we valet always greet name . would get back hotel would welcome we back ask we enjoy everything . amazing - less 24 hour . food concierge level well worth $ 100 difference regular room rate . eat good breakfast . Drank wine champagne . 20 bottle water . great dessert evening . tea , water , coffee cookie day - everything else rotate . nightly turn service include water chocolate fresh towel need . upon departure give water vitamin water car ride . know drive Pebble Beach want we comfortable . oh yeah - jogger - go running morning come back sweaty gross , towel vitamin water . nice . bet ask would run ! stay Four season 2 day Monterey Napa . stay Executive Suite $ 1000 night . feel service cold . nobody know . extra ammenitie Executive Suite . think choose two - go Ritz . 
 Apr 17 2005 	 nice hotel 60 + ! ! ! 	 excited stay Ritz - Carlton read review . however , get , immediately disappointed . although service would normally expect Ritz - Carlton , feel like enter NURSING HOME . 33 y.o . female enjoy nice thing life .... always choose stay top hotel like Ritz , Mandarin - Oriental , Four Seasons , etc . impressed quality Ritz - Carlton . LOCATION : can not believe hill surround hotel ... consider people stay 60 + . however , centralized convention center , shopping , Chinatown , etc . room : rug bed spread dingy pink . reminiscent old set great grandmother own . furniture look like replicas antique Victorian ( think ) piece , look like substandard reproduction . remind furniture cheap motel . room equip bare minimum - 25 & quot ; RCA t.v . ( desperately need upgrade ) , 3 bath towel , 1 pair slipper . hotel want believe business provide service abundance , sure stingy . bathroom typical Ritz - Carlton .... nice . LOBBY : flower arrangement around hotel gorgeous . one pleasure enjoy . however , bar lobby fill 60 + . nothing age population , ' ve never see anything like . feel awkward walk around hotel low cut blouse ... wait grandmother come reprimand . overall , 's nice hotel old population worth price $ 355 / night ..... be worth $ 199 / night ( yes , even San Francisco ) Ritz - Carlton look like real thing outside , inside 's deceive . 
 Jan 30 2005 	 Watch Club Level sandwich 	 excellent stay Ritz .... club level room wonderful . only one slight problem .... break toothpick sandwich . staff apologetic always good see . Woul definitely stay though . 
 Jan 29 2005 	 wonderful hotel 	 beautiful hotel wonderful amenity . great location , must able walk uphill Union Square . comfortable bed , quiet room , beautiful dining room good food , Thanksgiving adorable Teddy Bear Tea child start - special . great service top - notch staff . return ! ! 
 Jan 25 2005 	 Excellent urban Ritz 	 recently stay Ritz Carlton San Francisco 5 night wife daughter Christmas . location excellent ( particularly access Union Square Chinatown ) . forewarn hotel Nob Hill get plenty exercise walk back hotel take cab . also may get cable car noise depend room locate . facility excellent city hotel ( indoor pool , good health club ) . lobby area nicely decorate holiday season warm feeling . serve dessert dinner beautiful lounge right lobby everyone enjoy . staff uniformly excellent . minor complaint entire stay creme brulee little runny restaurant recommend concierge really kid - friendly . stay number Ritz Carltons one certainly live expectation . 
 Jan 9 2005 	 simply good 	 go mercedes benz package . mercede s500 fot total stay . stay club level room . excellent food presentation ! ! really treat respected guest . definitely return 
 Jan 6 2005 	 consistently top 	 stay RC 3 - 4 time year , sometimes business , sometimes wife . ' ve always pleasant room good service . gym / pool recently improve , dining room , one good formal restaurant city . stay Four Seasons , Mandarin , Campton Place etc . , still like RC good . 
 Dec 31 2004 	 consistenly excellent ! ! ! 	 travel lot , say one time favorite hotel . service exceptional warm , room clean comfortable , afternoon tea marvelous ... name . ' ve arrive SF Ritz dress quite casually , still receive level service . ' m delighted see valet gentleman year year , focused service exceed expectation . great location . truly worth money , can not say think Ritz Carlton 's great anymore . become inconsistent , true one ! 
 Dec 30 2004 	 grand elegant great locale 	 ritz san francisco one 5 good hotel whole city . stay anniversary rebook close arrival date may get great bed & amp ; breakfast deal get ! include free breakfast ( room service incl ! ) free parking price originally book room.alway rebook people ! ! ! 
 Dec 10 2004 	 Great Hotel 	 first time SF ! stay 11/17 - 11/22 . feel staff wonderful . friendly helpful way . always greet like remember name . arrive 11:00 pm & amp ; friend luggage arrive offer open gift shop . also enjoy club level . great bite eat drink . think room nice . love bed , think comfortable bed sleep ! room little large standard hotel room . go Harry Denton 's drink dance great time . many place eat ! really great time SF would go back stay ! 
 Dec 6 2004 	 Beware Dog 	 book room Club floor disappointed size ( small ) , outlook & amp ; dinginess . ' unpacked become aware strange noise next door . dog bark continuously . ( actually sign " Woof " door – presumably warn staff ) amazed people allow bring noisy pet hotel standard . could hear animal walk past room several occasion subsequently . we return front desk ask change room disturbance second room show much big great deal pleasant outlook much bright . relief stay 4 night Thanksgiving weekend . in opinion , bathroom standard Club level room hotel type . two basin separate shower cubicle , shower bath . separate cubicle bathroom WC.I call Housekeeping get bath plug mechanism repair . however , could nothing improve shower husband describe " feeble shower ever experience USA " Club lounge superb enjoy several quaintly term " food presentation " . jet lag , one night go along 4 a.m. collect milk & amp ; fruit . club concierge also helpful manage get we ticket short notice Alcatraz website show fully book . the indoor pool open long hour 05.30 a.m. 9 p.m. swam early wake early jet lag . however , pool quite small overcrowded busy time . the room safe operate key carry around instead electronic number code many hotel day . we enquire dinner dance San Francisco concierge lobby desk tell we not dinner dancing venue . fact , find independently live music dance nearby Top Mark restaurant bar ( Intercontinental Mark Hopkins ) great evening enjoyable dinner . another night , take evening dinner cruise live music dance Hornblower company pier 33.we leave San Francisco evening flight back UK request late check . hotel keen say would pay half day . I believe hotel entitle expect payment extend use room circumstance , especially busy period . quiet day , hotel empty Thanksgiving weekend still charge we even though check 16.30 originally say might able let we room 16.00 , presumably nothing . ( thought have leave around 17.00/17.30 ) also , think charge , service room , . ( full day ' rate include 2 room service , half day rate include one service ) . 
 Nov 2 2004 	 well place stay SF 	 visit San Francisco least month several year stay variety hotel . recently stay Ritz Carlton quite dissapointed . everyone nice public area beautiful , room dissapointe . room average size , simaler Holliday Inn . decor taste hot - pink carpet . parking $ 50 , much high hotel , though also wash car . want real luxury willing pay , stay Mandarin Oriental . otherwise , Mark Hopkins , Palace , Pan Pacific better choice . 
 Oct 25 2004 	 Superb ! 	 husband stay Ritz - Carlton San Francisco early August 2004 birthday . great . stay Ritz - Carlton 's location disappoint . book Mercedes package get club level room , brand new Mercedes s300 ( sweet ! ) , drive Napa back 1/2 tank gas also Pebble Beach / Carmel back slightly 1/2 tank gas . package definitely worth $ get allyou eat drink ( include alcohol ) 5 time per day , car , gas , unlimited mileage club level room . staff amazing . husband like Guiness beer manage get 2nd night stay . also favorite wine bring request . free drink service boot - club level worth . also , problem navigation system mercede since could not fix , give we another car - S430 . property top notch service , food even return rental car Hertz ariport we arrive Northern California . amenity plentiful , room exceptional ( Frette linen sumptuous towel ) service top - notch . well worth ! 
 Sep 19 2004 	 worth money 	 stay four night August 2004 . overall , excellent location . 10 minute walk Union Square . 2 minute Chinatown . room average size . $ 400 regular room per night excessive . plenty hotel similar quality MUCH cheap . staff overall courteous . , maid walk almost naked 9:30pm . not hear knock . think turn service 9:30 pm outrageous . plenty people go bed early . therefore , go company expense , mean , go . otherwise , try elsewhere half price still get decent room . 
 Aug 21 2004 	 wonderful 	 Exceptional service . return 5 day stay . service exceptional . staff cater every need . twice daily maid service . poke head door ask ice come minute . room service come within 15 - 20 minute . staff provide we farewell cookie candy . room approximately 400 square foot well maintain . see hotel could well . 
 Aug 12 2004 	 expect 	 stay Christmas year ago . maybe be well , not good time . Christmas night order room service . take long time . bread not come butter , call room service , girl rude . butter never came call hotel manager complain , deliver butter . service bit snobby especially breakfast . stiff . leave airport , maybe manager know happy , send we airport limo charge taxi . will not go back , worth stay overpriced hotel get type service . manager can not work ! 
 Aug 9 2004 	 unpretentious Refined Elegance 	 stay begin August 2004 enjoy attentive staff service , beautifully refined decor great location . opt Mercedes package , pricey $ 525 per night , afford unlimited use 2004 sl 500 roadster accomodation club level King deluxe room . car great treat drive Napa 90 minute away . experience & quot ; country club & quot ; attitude club level . refined elegance atmosphere painfully pretentious ; eclectic clientel corporate ceo vacationing , average family small child . staff smile welcoming . food presentation club level overall good . wide gormet variety duck pineapple cous cous salmon pate ` chocolate chip cookie milk night . room average size expect lush drapery elegant furnishing . high level attention conceirge dedicated guest club level . typical urban , city view not expect dramatic view bay . lobby spectacular oil painting , lush Louis XV furnishing , elegant crystal chandelier , enourmous floral display pianist grand piano . health club complimentary Cybex equipment , excellent tread machine hot tub pool . 
 Jul 17 2004 	 like ... lot . 	 one good city hotel ' ve . room nice large , couple sort interesting view . service , however , exceptional . Guest Recognition server terrace , nothing much trouble . dining also great , though SF lot top - notch place dine . leave feeling refreshingly impressed . 
 Jun 13 2004 	 well do .. 	 Service wonderful , check - in easy , food terrific ...... great location . , good place stay . & quot ; executive suite & quot ; w / an adjoining bedroom slightly disappointing ( small parlor ) master bedroom offer neither window painting .. photo whatever , wall . nevertheless , expensive , staff great . 
 Jun 6 2004 	 Still Puttin Ritz ... 	 Ritz grand old dame luxury San Francisco . facility elegant Sylvan Portay 's food Dining Room 6 star . I stay 3 time Club Floor , executive suite . suite feature Frederic Fekkai bath product , seperate shower usual small tub . shower large back scrubber . living area fair sized well furnished . regular room Treuil bath product separate shower , bathroom still nice . ( note : SF Four Seasons deep soak tub ) bed luxurious room well keep . service IMPECCABLE Ritz . club staff know name efficiently solve issue come . club lounge well see Ritz . ( 10 other ) good SF hotel ' ve stay . area improvement : tv limited channel , faxes arrive slowly valet parking $ 53 add - ons . 
 may 18 2004 	 come expect Ritz 	 Ritz incredible . location great service top notch . feel like different world , free hustle bustle San Francisco . great . 
 May 5 2004 	 highly recommend 
 Apr 2 2004 	 five Star ? way ! 
 Feb 21 2004 	 wonderful Ritz ! 
 Jan 2 2004 	 Exceptional Hotel 
 Dec 21 2003 	 Terrible Service 
 Dec 7 2003 	 great stay - refuge World 
 Nov 12 2003 	 Ritz Carlton Wonderful 
 Nov 9 2003 	 use 
 Aug 23 2003 	 good san francisco 
 Aug 5 2003 	 Ritz ! 
 Sep 7 2007 	 LeeD MI coMEntAriO ¡ ¡ HOS INTERESARÀ ! ! 
