good 	 enjoy stay excelsior , undergo renovation . offer upgrade renovate Jr Suite back hotel instead reservation regular King room face Museum . however , smell new furniture carpet problem spouse , ask move old room . people would happy renovated room , new tv , new furniture . unrenovated room nevertheless nice , spacious clean . although want view , end ' m happy not get . room back quiet , hardly street noise , sleep well comfortable bed . staff pleasant , nice breakfast buffet 2nd floor offer $ 12 per person , beautifully furnish room . the adjoining restaurant ( separate ownership ) nice bar lobby . the location excellent . lot taxi pass 81st west side 79th St roadway across Central Park . also subway downtown corner . a pleasant walk across Park Met Guggenheim , across street Natural History Museum Planetarium . many good neighborhood ( non touristy ) restaurant nearby . great shopping west Broadway ( , gear New Yorkers , tourist , plus ) .Prices excelsior seem reasonable comparison hotel close midtown . we would certainly go back . 
 shame well - locate hotel run - down dimly light grumpy staff boot . 	 stay four night Excelsior could ideal . endless wait crowd elevator ( one broken entire stay ) , whole $ 450 room single overhead light , door handle fall interior door , un - vacuumed hallway new carpet lay , unwelcome staff ( housekeeping except ) . place ripe full makeover ! 
 good marathon hotel - skip be town something else 	 like title say , run ING New York City Marathon pick hotel 2 reason : price 's proximity finish line . Disliking Times Square want stay . sure be close start line bus ( be assign one ) morning that s . move hotel : lobby small beautiful woodwork furniture outdate enough room sit . 2 couch 2 chair . room small clean well keep nice view . really like bathroom 's country charm . bed super comfy - important be run marathon- blanket cuddly . dislike : small light hallway peered door night : like sleep nightlight ! since door right next bed , hear other door open closing . overall , price , find well hotel NYC . ' m say 's terrible , ' m say be well . be run marathon , hotel ten block finish line appreciate get room relatively quickly chaos finish line . hotel price really climb marathon weekend appreciate 300 $ price tag . happy running ! see finish line ! ! 
 Apr 1 2009 	 Perfect location hotel New York City - recommend hotel 	 location fabulous - ' quiet , near everything . instead noise people outside , see neighbor walk dog ( sometimes sweater bootie ) . yet , everything need close – restaurant , shopping , 2 subway station allow get anywhere city need go . recommend hotel – primarily location . stay end March , museum view , 2 twin bed standard room . small room offer , limited go quickly . great deal live size . New York City , want hang hotel room anyway ? hear negative thing staff visit . find warm chatty , professional business - like . problem service . elevator small crowded peak time , ' old building ( beautifully restore however ) . use air conditioning night work fine overly noisy . stay last weekend March outstanding price . room cost go April . weather cool , quite comfortable time . hotel provide nice hair dryer , iron ironing board , shampoo , soap . provide body lotion hair conditioner . pro : • outstanding location – quiet residential area , near museum , restaurant , delis , shopping , 2 subway station , bus stop.• comfortable bed , plenty pillow blankets• beautiful view• outstanding value live small room• Nice blow dryer• clean beautifully restored• Cable TVCons : • hair conditioner offered• small , slow , crowded elevators• silly tray snack top minibar – move , get charge room . afraid knocking , thing flash annoying red light carefully cover night bright . tip : • ask museum view – get small park right front , History museum , New York City skyline behind – gorgeous ! • bring hair conditioner – go around corner buy get there• Park West pharmacy around corner – turn right Columbus – anything might need – beauty product , bottle water , etc.• Deli Columbus south hotel ( 80th 81st ) – cheap breakfast lunch sandwich , bagel toast cream cheese , cold bottle water soda , snacks• many great restaurant Columbus , Amsterdam , Broadway - short walk away• EuroPan Broadway 78th cheesecake goody . also sandwich , breakfast.• H & amp ; H ( Broadway 80th ) good want bagel eat breakfast . mainly place get bunch bagel take home . ' slice , toast add cream cheese you.• M79 bus take 5th Avenue across Central Park , stop close Met . come every minute bus stop next , C subway station museum , east hotel 81st . ' metrocard ride – like subway.• C local train museum subway station . 1 local train station Broadway 79th . local make stop , include black dot map . express train stop station mark white dot subway map.• Met History museum suggest admission price . ' pay full amount ! history museum , ' pay full amount see special exhibit show , museum . 
 Mar 30 2009 	 great place stay Manhattan 	 review little late , stay excelsior right Christmas . book hotel escapes.ca package vacation feel like get good deal , since excelsior Upper West side . stay 3 night . the location great , right across Subway ( literally 1 - 2 minute walk ) . also across Museum 3 minute walk Central Park . like shop , walk southwest find store Sephora Filene 's Basement . plenty restaurant nearby since restaurant not restaurant ( believe 's one right beside though ) . breakfast , go cafe diagonally across street . within walking distance 's also pharmacy japanese restaurant be open late get late - night munchie . go Times Square , believe 10 - minute subway ride . the hotel little old guest room small side , everything clean . internet free room , typical hotel Manhattan . can not remember hotel rating , would give think close Quality Inn / Comfort Inn level . location alone , would return hotel . 
 Mar 28 2009 	 great Stay -- stay 	 stay excelsior long weekend mid - march . group consist husband friend boyfriend . ( 20 . ) get great deal travelocity -- two night plus airfare Pittsburgh $ 519 / couple . husband stay excelsior several year ago enjoy stay . , book without consult tripadvisor first . get worry read review -- place go pot year ? ! hotel solid 3 * joint . lovely lobby front desk people pleasant , despite fact hotel full . ( poor bellman seem bit overwhelmed , professional nonetheless . ) hotel also restaurant well review , never get chance step busy run around city . quite pleased room , conclude upgrade book . ( room first trip , though large NYC , nearly big . ) two - room , guess must call , suite . bedroom queen size bed adjoining room television ( could not get show cable , not call see deal either since not care ) pull - out couch . linen nice quality , toiletry leave we . though not check , friend apparently type room side floor . desk crack tile bathroom show limited sign wear -- certainly unattractive . think reason even notice review would read website . oh , reviewer complain street noise -- kid ? ! 's New York ! not notice street noise Excelsior , certainly expect street - face room NYC ! hotel great location . ( personally prefer stay midtown b / c 's scene . ) subway station end block , Central Park . natural history museum right across street . find thing want well within walking distance . ( example , walk Rockefeller Center Park hotel , stop Shake shack fun afternoon activity . stay hotel , must stop shake Shack ! ) , four we perfectly pleased stay . ( would good deal even much high price ! ) turn , stay extra night City business , transfer Benjamin ( Lex 50th ) close firm 's NYC office since St. Pat 's know City would mess . benjamin bit nice , would not pick excelsior except reason bring first place . also -- reference ( since find thing important evaluate review ) -- travel reasonably frequently business ( stay Hyatts Omnis generally ) stay NYC many time ( pleasure ) hotel Hyatt Grand Central , Millennium Hilton , Le Parker Meridien , Sheraton . 
 Mar 26 2009 	 great location great hotel beware rude menacing maintenance guy 	 well impressed location good quality hotel , good confortable room , good toilette good service upon arrival , go well call maintenance order take thing safe becoiuse run battery . service slow , though hurry , call three time , big guy arrive , bad temper , rude aggresive , try explain problem finally menacing & quot ; keep pocket & quot ; someone kind quality big problem solve place deal custumer specially hotel quality . 
 Mar 22 2009 	 Excellent Hotel Excellent Location Excellent Staff Excellent Trip 	 Location brilliant - right opposite central park , subway lead city centre corner street plenty different restaurant area . room good size clean - everything need . staff really friendly helpful - even lend we umbrella raining . overall great value money great location ! would definately stay ! 
 Mar 22 2009 	 Perfect place family 	 take last - minute trip NYC 4 1 year old Sat.-Sun . mid - March . snag amazing rate $ 199 www.freehotelsearch.com able upgrade 1 bedroom suite 2 double bed , pull - out sofa , view Natural History Museum . 's Waldorf -- decor outdate , view aside museum window brick wall / other room , 2 3 lamp room need new bulb , heater loud . clean , comfortable , quite spacious NYC standard . bellhop kind patient kid ( include small bike bring 4 year old ride Central Park ) concierge sell we discount voucher Natural History Museum ( $ 21 per adult admission + Imax vs. $ 24 regular price ) . also hotel offer discount parking Natural History Museum -- $ 27 per night plus tax . take kid AMNH , playground inside Central Park 81st St. , CP Zoo ( 30 min . walk ) . eat Calle Ocho dinner right around corner ( plenty baby / kid despite & quot ; hip & quot ; decor music ) , EJ 's breakfast , shake Shack lunch . perfect weekend ! 
 Mar 20 2009 	 great hotel ! great location . 	 book hotel Orbitz package special . choose mainly price location . great stay ! perfect location go museum , Central Park , catch transit area . lot place eat right around hotel - even young child tow . upon arrival upgrade Jr. Suite make travel 3 - year - old much well / easy - able put bed one room close door disturb light television . unlike reviewer , find hotel quiet - completely book least one night stay . , however , issue heating vent clatter quite loudly wake we up . the big issue 3 - year - old , minibar tray leave open ( perfect eye level someone 3 foot tall ! ) . upon request , however , hotel agree disconnect tray remove ( bit reluctantly , still ) . charge item checkout bill , quick trip front desk rectify issue . employee contact good - find everyone friendly helpful . I would recommend hotel anyone definitely consider future Manhattan stay . 
 Mar 8 2009 	 Great will back 	 will start rate : 119 night . must financial crisis . Lobby , breakfast room , elevator , lovely . get upgrade suite , wow .. huge , comfortable furniture , TV 's lr br . terrific toiletry ( include toothbrush paste ) , comfy terry cloth bathrobe . great neighborhood . 
 Feb 18 2009 	 unexpectedly wonderful - will back 	 hotel pleasant surprise so - so review read . front desk courteous , overfriendly . appreciate time waste personally . need chit chat ? hotel CHARACTER 's travel NYC . love wood detail , chandelier little detail make MEMORABLE . location PERFECT area beautiful . go Artie 's Deli 79th Broadway . GREAT FOOD ! bed clean comfortable . bathroom SPOTLESS pretty . careful hot water .. get STEAMING . favorite part hotel .. spectacular shower . complaint would windows / room wall little thin side . , maybe high floor case ( window ) . 
 Feb 7 2009 	 good location ... 	 ... 5 minute cab ride Times Square , 70 yard Central Park . first impression good nice Reception area . staff ok ! room clean tidy although room small decor date . find manager hotel bar / restaurant pushy real pain result we avoid bar / restaurant cost . we strongly recommend EJ 's diner Amsterdam Avenue excellent breakfast / brunch beside great irish bar & quot ; St James ' Gate & quot ; really friendly manager / owner , Paul ! 
 Feb 3 2009 	 Wonderful hotel 	 beautiful old hotel . small well appoint room . bathroom nice . cold snowy outside warm friendly inside . helpful always nice place come back . 
 Jan 30 2009 	 Great Location 	 arrive little early check time problem check . time 6th floor view museum park . room clean tidy . the staff helpful need . great place eat nearby good enough eat near 84th street Amsterdam highly recommend Zabars Broadway want pick snack drink room . good wine store around corner general store Unos . take time walk New York find even place see time remember pack walk boot help . get freeze entire time , wrap warm take good thick moisturiser face really take battering . the Four Seasons special 3 course meal deal $ 59.00 fancy something special , would avoid Bateaux New York price , cold , poor service , inferior food company could care less already money . entertainment second rate even bother tell see cruise along . Bataeux couple year ago fantastic book 40th birthday cost $ 300.00 + $ 135.00 drink night .There excellent French Bistro call Jules 65 Marks place East Village live music good food reasonable price . avoid Normas Le Parker Merdian cost $ 90.00 basic breakfast Eggs Benidict , 2 glass orange juice two coffee . I always recommend excelsior location cleanliness . 
