Nice 	 hotel Great Location , especially watch Macys Day Parade . pay extra room parade view view great not really think worth price charge price matter 5th floor 30th floor . room small New York expect . hotel small lounge , many night full seat leave . staff friendly , however other . hotel right Times Square , close shopping , show , central park . planning trip New York suggest stay someone Time Square , many hotel along Broadway 7th Ave want . overall hotel Nice hotel Great , go back try another hotel Times square . on side note ! LOVED NYC ! like Sex City make sure book Sex City tour City Tours ! great ! 
 Satisfactory - Excellent Location Broadway show 	 's good hotel good value great location see broadway show . 's 8 block walk ( actually short time - wise ny ) . expect crowd busy new york theater sidewalk part experience . parking $ 42 per night hotel . front desk little slow accomodate . Beds Bathroom clean comfy . room 2 double bed great friend . got great rate priceline , usually book www.spg.com get pretty close $ 200 . 
 major fault spectacular 	 hotel provide good service ; room thoroughly clean concierge give good advice explore New York city . room serve purpose ; comfortable bed , tv variety channel , twin standard room spacious enough two people , bathroom everything else also great . big wooden desk thing next window pretty useless though ! not use gym restaurant , busy explore city - look fine . location legendary , especially night walk Times square matter 30 second ( run ! ) also subway station major line close proximity hotel ; manage explore 5 borough bit effort - . good thing hotel , view phenomenal . look room ( 38th floor something ) honestly make feel empty . club room , see New York holistic perspective , square outline central park visible . find annoying hotel definetly offer breakfast weekend , mean , ! eat local cafe flood tourist , available table . my final observation hotel like city within city ; 24 - 7 literally thousand people hang around lounge , walk main entrance . many people , kind feel like another number ! 
 need stay area - try another hotel 	 last two business trip city year , stay Hilton New York . decide try hotel . will not first ( second third choice ) go forward . the check average . room , though , smell strongly cinnamon air freshner . reason - previous guest smoke bathroom housekeeping try mask smell . receptionist helpful changed room right away . room small Hilton ( price ) . not enough room put dresser right front bed 's corner near closet . therefore , tv corner well . desk width room near window . dislike wireless internet short cable use . not able sit bed work . room hot night temperature not work . bathroom decor bit shabby size small . bed comfortable though . I like cafe lobby free interet access . pay handle fee collect package business center . also pay use gym , annoying . in , nother really wrong hotel - average . right price , maybe woudl stay 's price Hilton - would choose Hilton . 
 Oct 10 2009 	 ` ` customer service '' . 	 recently weekend stay hotel ; receive usual efficient polite manner . upon arrival , ask pillow towel , receive right away . need info certain type restaurant ; give menu , direction , opinion . ask late check - out , grant right away . stay good one . , two week later , realize leave robe room ( may sound like ' only robe ' , receive gift hotel ) . initially , could locate & quot ; lost & amp ; find & quot ; . , forward Guest Sevice - Center Manager , Jorge Guerrero , take upon follow - up possibility , locate robe . assistant , Karalynn , send robe back . invite contact , need anything else matter . put title review : & quot ; CUSTOMER SERVICE & quot ; ! ! ! 
 oct 9 2009 	 great hotel 	 would not stay anywhere else . friendly staff . clean room . AWESOME location . 
 oct 8 2009 	 room small 	 recent stay find nice , centrally locate hotel Times Square , room small bathroom outdate . compare another hotel location recently visit disappointed room comparable cost . 
 oct 8 2009 	 great location good service upgrade Club Level ! 	 first time take family New York , hotel locate nicely Time Square Central Park . wonderful view . nice service room . upgrade Club level wonderful appetizer drink evening . would stay . 
 oct 8 2009 	 great location NYC visit 	 husband , 9 yo daughter stay weekend trip NYC celebrate 40th birthday . room rate reasonable , include nice breakfast buffet , good deal . location perfect sightseeing Manhattan , find room nice staff helpful . would definitely return . 
 oct 8 2009 	 place horrible 	 travel lot work stay share good hotel bad hotel . far one bad place ever stay . something must leak first room put carpet soak . literally step puddle go close blind . drench carpet , entire room start smell like mold . put different room , tv never work . also could control room 's temperature . whenever call front desk , assistance provide . addition , room small . addition room , hotel always way busy hectic . 3 week work . first week model act convention bunch teenager girl . constantly push people way get elevator . second week dancing convention . People literally dance hallway lobby , care one could walk without danger kick hit someone flail around . third week , group people participate triathalon stay hotel . , elevator take people bike . would wait forever avaialble elevator . understand hotel right middle one busy section city . stay hotels area , though , never many problem hotel . 
 oct 8 2009 	 good location - need overhaul 	 frequently open room find someone else 's stuff ( luckily people room ) . compensation mistake , upgrade we call & quot ; concierge level & quot ; concierge service whatsoever run weekend ( even breakfast ) . room moderately remodelle ( LCD TV , update bathroom , etc . ) yet furniture definitely last century . ask upper floor - reasonably quiet big city . hard beat location . 
 oct 8 2009 	 combination good location amenity service midtown business traveler 	 location convenient whether walk meeting midtown , take subway taxi downtown , look close place grab breakfast , lunch , dinner ... either business meet solo grab & amp ; go . GREAT service .... people make difference everybody hotel aware guest ready go way serve . clean available equipment gym easy access . quick room service delivery . great internet access room lobby . recent renovation improve already great situation . 
 oct 8 2009 	 Superior Service 	 check find room A / c working . call speak front desk Manager duty Jorge Guerrero respond call , personally come 20th floor believe Victor engineer . access a / c find non responsive . quickly move luggage large room also credit account trouble . impressed service book two night Sheraton . make could dissaster wonderful stay . 
 Oct 5 2009 	 GREAT HOTEL EXCELLENT STAFF 	 Beautiful Hotel . joy front desk excellent customer service . go beyond job help we . second visit Hotel would highly recommend . location great , staff wonderful , clean & amp ; comfortable . 
 Oct 5 2009 	 many Bedside Tables Double Room ? 	 usually would find two bedside table double room , room one , make think single room ! bed rather small double , infact small bed get UK hotel room ! New York three night , long would move room uncomfortable ! truth tell single room , see attach photo ! 
 Oct 5 2009 	 Fantastic Hotel Superb location . 	 visit U.K 25th wedding aniversary . after read different review hotel Travel Adviser site , quite concerned book Sheraton 5 night stay New York . trepidation arrive mid Afternoon . ' know worry much totally unfounded . greet pleasant concierge take suitcase we direct we reception area , couple people front we check , turn direct premium check ( even thought ' book premium room ) go formality porter call ' name Robert pleasant chap , chat way room 17th floor . nice pleasant room , clean , nice Queens size bed , view ' much look , centre New York . air con go full blast , soon sort turning . Robert tell we ' choose well Hotel ' centrally locate everything , 5mins walk Times Square Broadway , 10mins walk central park way , 10 min walk Rockerfeller Centre 20 min walk Empire State Building , certainly spot . safe room leave shut previous people , couple call reception security chap come sort we . house keep superb , clean towel face clothe every day , everything stock , bathroom always spotlessly clean , ' fault . run low Tea Coffee one day , soon rectify call house keeping , within half hour supply bring room . hotel free internet P.C guest use stay Hotel , useful sending email back home etc , also dedicate P.C check Flights back home internal one free charge . the Hotel busy hold lot Conferences , ' spend much time ' bother we . like Hotels quite expensive eat drink , find New York general , like big city . we manage find reasonably price place eat drink , lot place happy hour usually 4 7 8 late afternoon early evening , $ 8 beer $ 4 soda always free refill . if want go Broadway show , book go , many top show book week advance , ' get see show . there much see New York , ' probably run time , think manage see want 5 day there . we tell visit Empire State Building day get busy could wait hour get observation tower , ignore advice get ticket arrive mid morning , quite surprised , none expect crowd , bit queue move quite steady . within half hour 86th floor view tower , get , plenty room take photo ' , push shoving ( lead believe ) view absolutely stunning well worth price visit . liquid refreshment lunch , walk Rockerfeller Centre 25 min walk , tell would quieter Empire State , fact much busy , still much queue , go 69th floor view ' quite good , get well view central park . talk central park ' must visit , go Saturday nice warm day , take horse carriage ride around park half hour cost $ 40 include tip , decide walk , beware jogger cyclist think right way time . lot thing going , spend quite hour , enjoyable . would certainly recommend anyone stay Sheraton Hotel Towers . 
 Oct 3 2009 	 Sheridan New York Hotel tower 	 fortunate New York last week United Nations Security Council meeting . Clinton Global Initiative also headquarter New York Sheridan , exciting . side able check concierge level room , event , assume overbooke floor . speak desk , accommodate we room upgrade , nice bottle wine apology . handle well . we give choice stay move upper level , choose stay . write hotel , express disappointment initial check - in addition great gesture , work quickly professionally reach we make right . impressed , ' ve post first review kind , express appreciation customer care . look back , hardly think ready room next Mr. Clinton staff , great experience good possible location Manhattan . will back . 
 oct 1 2009 	 good experience ' ve ' m hotel owner . 	 good way describe experience say everything perfect . ' m hotel owner critical guest experience . entire process great time check till check . ask grade accommodation do charge , go room order room service , food arrive quickly wonderful . daily Internet connection charge waive inquire wireless even offer send bottle wine , decline . staff friendly , knowledgeable always willing togo way help . keep good work , will back .. 
 Oct 1 2009 	 Excellent Rates friendly reservation staff 	 come NYC work . make reservation house reservation . Sharon extremely helpful able accomodate travel budget . immediate response anytime get touch rate great . property great shape . great location easy get anywhere need . would bring family back since 's close theater well . 
 Sep 29 2009 	 dirty Dumpy 	 take two month calm enough comment hotel . sure different room available different people ... can not imagine hotel boast decent review . room filthy , small bug infest . uncomfortable would never ever return . also double bill yet resolve issue management . stay like , do not say do not warn . 
 Sep 29 2009 	 Comfortable Efficient 	 stay Sheraton wife weekend stay New York . room clean comfortable view 7th Ave everything expect hotel . reception process speedily efficiently would stretch friendly . spend bit time around large reception area reception , concierge , tour desk captain desk locate struggled find smile face . look centrally locate , comfortable efficient hotel place come .. look little bit extra customer service perhaps . give benefit busy week ( end & quot ; UN Week & quot ; ) smile two would not hard ... would make feel like meant say & quot ; nice day & quot ; ! 
 Sep 27 2009 	 great hotel awesome location 	 incredible location , right near theater district south Central Park . lobby lead believe might 5 star , 4 star room . great hotel , tell old hotel nicely renovate . flat screen bedroom , pillow . problem . would highly recommend hotel , get incredible rate Hotwire . Beacon Restaurant 3 block north . 
 Sep 26 2009 	 great central hotel stay . 	 great place stay , staff helpful ask subway train local attraction . 3 people stay room request coffee twice housekeeping staff send right away . Jorge Guerra 's team good , get problem immediately . maid 22nd floor always pleasant , sorry get name make sure require . 
 Sep 25 2009 	 wonderful experience great location even well service . 	 kid good fortune Sheraton New York Hotel & amp ; tower recommend we friend . location perfect kid ' first experience New York see Broadway show . service , however , blow away , especially Guest Service Center Manager , Jorge Guerrero . consider & quot ; old school & quot ; could anticipate need even ask , deliver service respect dignity . everyone staff thoroughly commit provide good service make sure family perfect & quot ; New York Experience . & quot ; looking forward stay Sheraton New York next trip ! 
 Sep 24 2009 	 friendly treat ever hotel dimension 	 moment arrive , charm doorman welcome we . reception inside warm , apreciate much travel whith 81 - year - old mother 73 - year - old sister . say anything wonder well situate hotel people make thing nice people 100 % top . 
