good 	 girlfriend spend one week New York celebrate 30th birthday spend four night Carlton remain three Surrey much well choice every way ( see separate review ) . give competition New York hotel price range , would recommend stay Carlton again . Pro 's : - Location , close pretty much everything include two subway line make transport e.g . Grand Central point south ( Union Square , Financial District ) easy- Quality breakfast in - house restaurant Country- well - price ( ny standard ) Con 's : - small room ( deluxe room ) - quantity breakfast ( breakfast include package ) - charge we $ 50 three minute US long distance phone call- Lack customer service . front desk bell boy service expect hotel standard ( give price tag ) . check , ask help luggage point elevator . friendly staff maid porter would always say greet kind manner little chat . 
 Apr 23 2009 	 excellent choice real 4 * luxury 	 ' 37 wife 29 . frequent flyer . love hotel . lobby fairly impressive really need take cover chandelier . get free , detailed map New York concierge . room excellent . would read many review New York hotel people climb bed get side room . hotel spacious comparison . 42 & quot ; LCD wall mount tv . clean , tidy , fresh room everything work . noise outside . comfy beds tea / coffee facility slipper . eat , seem pricey . luckily Dunkin Doughnuts 2 door along ... go , be holiday , spoil . ! Taxis everywhere hard find one empty duty . use , affordable seem go distance rather time , well give traffic congestion . good way get around subway bus unlimited access Metro card purchase $ 25 7 day . near stops green line ( 6 ) yellow line ( NRW ) . manage everything end 6 day . one good show go amateur night Apollo theatre Harlem like Chris rock discover . good fun would long . actually get boo performer stage ! also go Gotham Comedy Club , amuse comedian total rip - off . cost , avoid Katz Delicatessen ( Harry meet Sally ) everything place letdown . one care waiting serve ; 3 queue try work . get quick possible look unhygienic . Harlem spiritual tour worth ' bother meal ... will disappoint . go Circle Lines ferry 3 - hour one quite long pick short one . go central park , row boat , rent bicycle visit zoo . right weather fantastic , 22c sunny . seem warm around 6 pm . impressed one nightclub go ( Pacha ) real dress code , jeans t - shirt seem okay club really get go even 11 pm . return journey concierge arrange super shuttle transfer airport $ 22 . 
 Apr 21 2009 	 Fabulous Hotel Fabulous City 	 first time New York Carlton Madison Ave make really special experience . friend go New York celebrate 30th birthday want stay luxurious hotel pricey . Carlton Madison Ave tick box ! got great deal rate arrive wish Happy Birthday front office staff ( impressed ! ) , expectation continue exceed enter magnificent corner room allocate 2 double bed , spacious gorgeous Molton Brown product bathroom ! breakfast include rate high standard morning . staff time extremely helpful friendly . certainly return . Ps : be big shopping fan like go Woodbury Common Outlet , be amazing ! ! ! ! designer brand really good price ! ! ! especially recommend Coach Shop ! ! 
 Apr 16 2009 	 good price nice room great location quite noisy 	 spend week hotel . definitely well situate Manhantan ( midtown : Madison av 28th str ) really enjoy NY first thing near subway available close hotel . hotel nice deserve 4 * . room ( superior type ) well decorate ( modern style ) , big enough , clean bed comfortable . also 42 & quot ; flat tv screen room . bathroom big enough , well decorate clean . service ok nothing special . like least noise room . outside hear noise street . nothing serious ( depend stand anyway ) little bit annoying . benefit nice price 5 night stay : 50 % = & gt ; great value . 
 Apr 15 2009 	 good location fair room coffee machine ! 	 stay 5 night hotel , like hotel apart fact kettle coffee machine . would order one want cup coffee tea wake ! otherwise nice hotel great location . like : Location , Molton Brown , modern classic , clean . free wifidislike : kettle coffee machine ( good deli call cafe 28 3 min walk . get nice food drink ) 
 Apr 12 2009 	 little room fair service 	 incredible small double room space besides bed . 
 Apr 7 2009 	 Perfect hotel city break 	 husband & amp ; stay 5 night March celebrate 10th wedding anniversary . hotel great location , block Empire States Building easy walking distance top sight & amp ; shop NYC . standard room book via hotels.com get great deal £ 94 per night . room extremely clean , well maintain , modern comfortable , perfect city break . concierge extremely knowledgeable & amp ; helpful give we great tip restaurant recommendation include Houstons ( American ) & amp ; Dos Caminos ( mexican - amazing guacamole ) short walk away . subway short walk hotel , although explore city mostly foot location great getting & amp ; . would definitely stop would recommend friend & amp ; family . can not go wrong especially get great deal like ! love stay think NYC amazing . 
 Apr 4 2009 	 Poor Service loation 	 stay hotel 8 day boyfriend location great ! look place stay care less service , choose hotel ! minute arrive , doorman scold taxi driver not help drop luggage , yelled front we . one night ask laundry bag , one send we one boyfriend come back hotel room lunch time , clean lady ask stand wait outside room busy cleaning room ! ask reception help send postcard tell buy stamp store next hotel refuse help . never experience kind service hotel . Carlton Hotel definitely need re - train staff survive competitive world ! 
 Mar 5 2009 	 still nice use .. 	 husband marry 2 year ago Carlton outstanding experience hotel Country restaurant . wedding guest stay hotel everyone rave service , accommodation , food , etc . truly memorable stay every way . husband return last year year celebrate wedding anniversary . year , noticed hotel lose polish . notably , great disappointment , Country Restaurant ( upstairs ) close , hotel still operate Country Bistro downstairs , menu suffer . food go outstanding merely adequate . stay hotel 5 night dine frequently ( breakfast couple dinner ) & quot ; wowed & quot ; even . breakfast pastry use bakery fresh , completely ordinary . long serve favorite brunch dish ( individual casserole pot poach egg , asparagus ham ) , not find worthy replacement menu . service bistro fine , level come expect . champagne bar upstairs also long operation , another big disappointment . cozy romantic spot nightcap , serve amazing martini champagne drink . room still fine , although not give nice room visit past . right front elevator bit noise . past , treat upgrade , time . staff not seem recognize we return visitor acknowledge anniversary way . stay hotel , try get one corner room , nice view . overall , hotel show little wear tear compare year ago . nothing terrible . overall impression hotel impact bad economy cut corner . not think new visitor would disappoint -- still charming comfortable hotel . take advantage discount rate ( pop Travel Zoo ) , also still great value . however , husband feel little bit sad sentimental favorite use . will probably cherish memory , consider stay elsewhere next visit city . 
 Feb 24 2009 	 Great Hotel 	 first visit NYC , Carlton perfect we . find elegant hotel , helpful staff good location . upon arrival airport shuttle drop bit sidewalk entrance - doorman , Stefan , rush help we bag take front desk check . room nice although bit small , understand norm NYC . nicely furnish , upscale linen , marble bath nice toiletry . within walking distance many restaurant , etc . reasonable cab ride area Manhattan . 
 Feb 20 2009 	 clean beautiful great value would stay 	 stay one night Feb . complaint get room , smaller imagine , immediately call front desk see large room available tell we sell . however , know sell , lobby empty , one around . literally see 2 guest whole time there . on happy stuff : room immaculate , bathroom . enjoy lovely , classic decor room , gorgeous lobby . room service fast tasty , although little pricey . Valet parking take 15 min car retrieval , let we know upon check ok . bed comfortable linen first rate . plenty light mirror , great we , 2 woman get ready night town . location great - taxis go time . nice neighborhood . get good deal hotels.com , $ 160/ night . highly recommend ! 
 Feb 19 2009 	 Classy little boutique hotel 	 historic look hotel , offer newly rennovate room fine Moulton Brown bath amenity , comfortable bed , marble bath , even ipod docking station ! concierge , Front desk , bell service go beyond assist need . restaurant 's food & amp ; service par , hotel guest breakfast include w / their stay . even fresh squeeze apple juice ! 2 small issue : 1 . reservation staff unresponsive difficult deal w .. call 3 time get confirmation send , day still never get one ! 2 . difficulty antique shower handle contact desk , maintenace send wihtin 5 mintue come fix problem . would definitly stay ! 
