everything 	 stay one person , hotel great choice . husband say would absolutely stay ..... long . stay 2 night Thanksgiving 1 year old 2 year old room WAY small 4 we . room stay ( 611 ) much big queen size bed . however , room size aside , hotel great . locate close Subway 6 line . staff friendly helpful . lobby nicely decorate leather couch fresh flower attach restaraunt nice . serve great breakfast croissant , bagel , juice , yogurt , fruit , etc . price , FABULOUS ! find deal internet pay $ 139 / night . however , NYC kill taxis : $ 12.34 / night State tax $ 8.17 / night city tax $ 3.50 / night Occupancy tax . 
 Sep 9 2004 	 Fantastic - can not say enough good thing 	 month since stay Park South Hotel , discover Trip Advisor , nervous booking place not see , amazing . get well list rate website - 150 night everyone else charge hundred ( book last minute ) . Times Square , right subway line , convenient get around . hotel luxurious . decor bedding , pamp minute walk door . even little hershey chocolate bar front desk . ever right idea . want put someone right frame mind , give chocolate ! hallway line old black white photo new york , find linger walk room . artwork room , tacky , cheap stuff . room clean , although small . staff friendly parking affordable ! breakfast provide great also . plenty choose . not supper hotel , drink one night , although pricey , well do . I say enough good thing hotel . future trip New York find book hotel . luxury price pay can not beat . 
 Aug 10 2004 	 smallest room ever otherwise good 	 travel lot luggage plan buying lot want place stay night want unpack hang thing , not even consider hotel . look another one . hotel small hotel room ' ve ever stay . closet nook put suitcase . , however , travel light staying night 2 , nice hotel although not think super bargain $ 159 plus taxis make $ 180 plus . view , room 6th floor quiet nicely decorate understated way . bathroom gleam white tile grout red lacquer - like wall , nice . bfast continental , serve small nice restaurant . subway stop right outside door . much decent many place . 's 3 yrs old ... well , money , go place not redecorate 20 year . 
 Jun 24 2004 	 Loved ! 	 first trip New York , want everything . Park South Hotel perfectly locate first - timer - walk distance Empire State Building , Grand Central Terminus , Greenwich Village , Flatiron , Lower Manhattan , yard subway . room adequate size , ever go place sleep , shower go explore . hotel tourist need - fax room , free internet access , good bar restaurant well frequent local ( always good sign ) , gym , comfortable bed provide good sleep . area busy room always quiet . would stay ? bet ! 
 May 31 2004 	 Impressed 
 Mar 4 2004 	 Noisy Broom Closet 
 Jan 25 2004 	 tiny room amenity Internet promise 
 Dec 15 2003 	 truly wonderful little hotel 
 Dec 9 2003 	 small room great hotel ! 
 Dec 4 2003 	 ok Hotel - would try something different next time 
 Oct 9 2003 	 great think can not true . 
 Oct 6 2003 	 Excellent around ! 
 Aug 20 2003 	 Charming 
 Aug 10 2003 	 Perfect weekend 
 Nov 10 2009 	 ? ? ? ? ? ? 
 Oct 11 2009 	 Ottimo Park South ! 
 Oct 5 2009 	 Hotel muy normalito 
 Sep 10 2009 	 ? ? ? ? ? ? ? ? 
 Sep 4 2009 	 Buen hotel pero habitacione diminuta ruido exterior . 
 Sep 2 2009 	 Tres Bien 
 Sep 2 2009 	 bello e ottima posizione 
 Aug 20 2009 	 Recommandé 
 Jul 15 2009 	 Muy bueno pero atención ! ! ! ! 
 Apr 26 2009 	 molto bello 
 Apr 21 2009 	 Semplice curato 
 Apr 16 2009 	 Rien à redire 
 Mar 3 2009 	 nos equivocamos al elegir Park South hotel 
 Jan 28 2009 	 Bon choix 
 Sep 30 2008 	 Ottima posizione consigliato 
 Sep 11 2008 	 excellent hotel 
 Sep 3 2008 	 Excellent rapport qualité / prix 
 Sep 2 2008 	 Che buon albergo 
 Aug 17 2008 	 Perfecto 
 Aug 2 2008 	 Un hôtel très agréable et familial 
 Jun 22 2008 	 Mágnifica estancia 
 Apr 24 2008 	 Expérience très moyenne 
 Jan 27 2008 	 Gran Ubicación Limpio Seguro 
 Nov 6 2007 	 buon hotel ! ! 
 Sep 26 2007 	 je reviendrai ! 
 Sep 23 2007 	 hotel ruidoso 
 Jun 19 2007 	 Recomendado 
 May 30 2007 	 Ubicación excelente en Manhattan 
 Feb 7 2007 	 Guter Deal 
