wonderful 	 need stay somewhere Jubilee Line watch Tennis O2 . hotel round corner London Bridge Mainline Tube , across road Borough Market .... quiet ! reasonably sized room ... massive , well appoint everything need . staff great . stay , train Gatwick London Bridge . 
 simply good 	 Location hotel , décor quality food highly commend , however truly make stay special service give we Hotel ' wonderful staff . staff unobtrusive yet time manage always available cater every need friendly helpful way . staff London Bridge Hotel credit management owner Hotel family grateful time effort give look we stay . special service play large part make stay London memorable . many thank . 
 friendly helpful staff hotel 	 Excellent location 4 stop tube O2 . smallish well furnish room good storage flat screen tv . friendly helpful staff every dept . reception provide warm welcome . breakfast buffet good plenty choice . good London experience long time . 
 clean comfortable affordable 	 book three room four night August London Bridge hotel . two twinbedde room one double room clean comfortable . get excellent deal six people four night hotelsclick.com . the hotel situate Southbank close Southwark Cathedral lot nice restaurant bar . sure visit Borough market one morning . 's lot fresh gorgeous produce . Restaurant Vinopolis definitely worth visit real treat go Oxo Tower restaurant . view city amazing . underground around corner hotel , nice day 's pleasant walk along Thames side river . founder arm pub along river nice place stop drink . all , want see different side London ( instead W1 ) London Bridge hotel absolutely worth stay ! 
 Jul 25 2009 	 well 4 star hotel London 	 stay London Bridge Hotel although book executive king room month prior visit , give superior double . thing reception staff could offer we free upgrade return visit hotel fully book . room small , bed see well day average . on return theatre , bar facility seem hotel reception area ask reception get we drink ! make bottled lager draught ..................... come , 4 star hotel ! breakfast average , staff average , overall average . 
 Jul 23 2009 	 probably good hotel ' ve ever stay ... 	 husband stay hotel two night , Friday 19th & amp ; Saturday 20th June . receive exceptional service make feel welcome . staff terrific , really friendly ! stay Bed & amp ; Breakfast basis choice quality food available excellent . impressed room hotel whole - ideally situate Tower London , Tower Bridge & amp ; London Bridge , also O2 Arena surround area easily access tube ( see Pet Shop Boys O2 Arena Friday evening ) - can not recommend hotel highly enough - book another weekend October ! 
 Jul 22 2009 	 good place ? ? 	 value money London always issue however London Bridge make stay London comfortable enjoyable . room clean modern comfortable bed . breakfast offer highly recommend prove great start day . transport easy close tube bus within walk distance along Thames variety sight . local market close local pub comfortable . great place excellent value money . 
 Jul 21 2009 	 Fab Stay @ London Bridge Hotel 	 back weekend stay London Bridge Hotel . conveniently situate across London Bridge Railway Station & amp ; round corner tube station . first impression great hotel modern clean , find staff helpful friendly . our room second floor overlook back build nice quiet . room impressive , decorate high standard everything could want . we love buffet breakfast good selection accomodate taste . definitely stay future . 
 Jul 21 2009 	 everything would ever want hotel business / holiday 	 stay London Bridge Hotel visit London . must say overwhelmed service offer . staff friendly , room luxurious excellent value money . breakfast variety option way start day . beat , need urgently re - fill print form internet staff promptly provide we computer , printer internet time could complete form time . 
 Jul 20 2009 	 London Bridge - Good Quality Hotel 	 stay business one night May 2009 . one well London hotel , modern room LCD tv . bathroom also modern good quality fitting . restaurant good selection food typical London pricing . if order room service - please check price minibar compare menu different product . 
 Jul 9 2009 	 Excellent staff great location 	 hotel regularly score highly review weekend stay fully justifie reputation . staff could not friendly moment book . location ideal underground , case , trips river clipper regularly stop nearby pier . also good pub within easy walk distance hotel . would highly recommend . 
 Jul 9 2009 	 Concierges good part hotel 	 teenage son spend week London . stay London Bridge Hotel . apart minor problem ( safe need repair , sink not drain properly ) , enjoy stay . London Bridge small hotel . advantage concierge easily access , friendly ready help . , however , dreadful time book agent . book Roomsnet.com . roomsnet use Jacob Line pay hotel , two day stay , Jacob call hotel cancel reservation , say Roomsnet never pay they . I pay hotel rest stay . fortunately , use credit card pay , credit card company work resolve issue . if never London , amount luggage light bag , would not go Tube get hotel . tube jampack , people rush , room patience much luggage . get Heathrow Express train Heathrow Airport Paddington Station take taxi , service book online call Dot2.com . just patient openminde London . wonderful town , easy communicate everyone , 's U.S . order lemonaide , probably get Sprite . quite hot , ice readily available everywhere . , see & quot ; courgette & quot ; menu , mean zucchini . the difference make interesting , son great time . 
 Jul 6 2009 	 great value money 	 Excellent location , nice room , good Breakfast friendly staff . 
 Jul 6 2009 	 nice 	 hotel great staff tend every request . room nice clean . excellent breakfast . close Underground station . 
 Jul 3 2009 	 great hotel central location 	 stay 2 night last weekend , husband , daughter & amp ; travel parent , sister , brother law & amp ; two boy . fantastic time start finish , check smooth & amp ; reception staff helpful & amp ; friendly . room fantastic , slightly different room great & amp ; picture internet not justice , clean & amp ; bed really comfy . hotel near railway / tube station think might bit noisy surprised quiet . breakfast superb , great choice & amp ; staff could not enough . not eat meal restaurant order room service parent eat dinner Londinium restaurant & amp ; say wonderful meal . location key us book hotel , many attraction short walk away & amp ; transport link right door step . would definately book hotel . 
 Jun 29 2009 	 hotel live review ! 	 stye London Bridge hotel three night start last Thursday . prior book hotel use TripAdvisor first time despite good reveiw reagrd hotel still little sceptical booking . glad say need not ! room nicely decorate good standard immaculately clean . room service day include bed linen change . first night eat adjacant restaurant , Georgetown , lovely . breakfast choice quality not disappoint either . can not write review without compliment hotel extremely friendly staff . great stay would definitely book hotel . 
 Jun 23 2009 	 great hotel clean comfy convenient 	 go recommendation TA . good choice .. cheap great location ( across tube / train station ) , nice room . definitely back next time London . 
 Jun 21 2009 	 great ` ` boutique '' hotel ! grand interior 	 love stay . interior impressive staff polite accommodating . standard room & amp ; bathroom chic . review state room small , many place Europe , find typical european size . breakfast simple elegant . think nice selection meat , egg , potato pastry . hotel also conveniently locate next bus / tube station ; need get around London ! 
 Jun 19 2009 	 good value near London Bridge tube station 	 stay London Bridge Hotel two night . good value , nice room , two restaurant site , close London Bridge Monument tube station . Mixup travel companion ' breakfast include staff able accommodate we . 
 Jun 19 2009 	 nice hotel ! 	 really nice hotel . location GREAT ! 's 2 - 3 min walk nearest underground station . love buffet breakfast , may variety food item everything nice . room well keep new . one thing would like mention ( previous review ) occassionally air con do not seem working room hot . general ' m happy stay , staff helpful friendly 
 Jun 18 2009 	 good 	 book hotel base review TA previous comment mostly true . location excellent . walk across london bridge Monument station catch circle line , take 10 minute nice walk . room small adequate . complaint breakfast food service excellent . one point good transfer Heathrow hotel . take dot2dot transfer last stop car . car travel around central london 3 stop passanger take nearly 1.5 hour arrive hotel . next time would call private car transfer instead pound dot2dot . 
