recommend 	 Hotel really suck ... outside look nice close Times Square , however , hotel deserve 4 star . its old Hotel Hotel Lobby nice , room really bad small .... mother split queen size bed , say do not double bed even King bed receive complimentary upgrade Queen Size Bed anyways .... usually give full size ... even 2 people ... find Kingsize Beds give we ... anyways , room really small dark ... room do not window etc ... get nice room , might ok ... standard Hotel 4 star ! ! 
 Jun 2 2009 	 Lovely lovely 	 husband & amp ; spend 4 night May 2009 . room 800 high back veiw nothing lovely quiet ( request high room booking ) . bed lovely comfortable . room small expect large city . the bathroom pleasant provide necessary hotel age water hot . room could become bit stuffy aircon freshen bit - aircon noisy turn night mean room get warm uncomfortable ( day time temp mid 70 ) - breakfast $ 20.00 continential cafe next door fantastic range breakfast around $ 10.00 per head tip . location - near everything check Jimmys bar 44th b / w 5th 6th cheap drink hotel bar expensive . the lounge great hang often see writer interview thereover , enjoyable business person romatic partner would recommend group young people kid . staff excellent excellent knowledge local event keen stop chat . 
 Jun 1 2009 	 expect ? 	 expect Algonquin ? good , deliver . nab inexpensive room face interior block . view , bless peace quiet . crawl bed cross room . staff course outstanding ; lobby legendary . breakfast next door Red Flame save money Oak Room evening . treat . 
 May 30 2009 	 Algonquin Hotel unmatched New York City treasure trove . 	 moment enter lobby Algonquin know friendly place , desk receptionist Matilda , lovely cat residence , ambience people sit everywhere conversational seating . literary history author whose memory keep intact century old Round Table treasure management continuously appreciate . suite clean comfortable . location , particularly visitor want walk , perfect . landmark Schubert Theater block away , Times Square much . 
 May 30 2009 	 elegant Hotel good location 	 stay Algonquin 5 night first ever visit New York . location Theatre District good . far metro ( although stop really close either ) . reception consistently friendly helpful . room large perfectly comfortable . good double bed , flat screen tv , nice little walk cupboard large room safe . bathroom decent size , clean bath & amp ; shower lot powerful hot water . overall hotel bit elegance . standard box standard box room . quieter street good diner - red Flame - breakfast couple door . several restaurant near hotel too . I think really good choice hotel . 
 May 28 2009 	 great hotel 	 room elegant clean , service great , wonderful staff . also great location 5th 6th Ave . far enough Times Square away noise crowd , walk distance close subway attraction . historic hotel victorian style . highly recommend . 
 May 24 2009 	 hotel character 	 stay Algonquin one night blow away whole experience . first , staff wonderful . guest warmly welcome every attempt make satisfy requirement . moment stop car outside help luggage , help parking car ( across street deduction stay hotel ) lot friendly conersation interesting anecdote . particular , christian bar produce mean cocktail , two , provide amount advice local attraction . room , although small clean comfortable 's piano beside internet computer want surf net musical accompaniment . throughout hotel decor immaculate , interesting decorative iron balustrade marble step stair . public area hotel amazing attractive furniture seem pretty busy business meeting guest take tea . matilda hotel cat rather aloof mysterious , appear disappear quickly . although enjoy hotel , one word advice . nice waiter . lunch restaurant , pay bill credit card , intend tip dollar bill . leave table , however , waiter come back , front guest , remind bill include service charge tip . get tip , ask one food service high standard . 
 May 16 2009 	 Great Location 	 Chose hotel , main due recommendation give site . Got say , bang money ! five night time , can not comment food , not eat - many option around ! plus side follow : find staff talk , friendly helpful . room clean , - small , comfortable bed . state review , bathroom bit ' tired ' , , clean . hotel 's location fantastic , 200 yard Times Square , close main theatre shop . although ' in thick thing ' , hotel , not hear noise generate outside . also , free WI - fia downside : ask room away lift . ' ping ' every time stop floor . room opposite one , intend spend time hotel - think get annoying , quickly ! also , air con noisy - could not sleep still run . basically , use hotel base jump every morning sight see / shop etc , use sleep / shower - get massive thumb . 
 Apr 21 2009 	 well expect 	 book room incredibly low price Priceline ( name price option ) . read review , expect small room might quite noisy . basically , be get . yes , room small , not really matter day room never felt cramp . yes , hear noise outside ( siren , etc ) , dinge elevator , toilet flush room either next we . not really bother we either able sleep fine comfortable bed . despite thing , Algonquin well expect . staff friendly not get rude remark book Priceline like read 's review . room looked feel clean even though bathroom old . location great easy , short walk Times Square , Empire State Building , Rockefeller Center . actually preferred staying stay Times Square hustle bustle people get annoying . Algonquin locate right next pricier hotel look , Sofitel Hotel Mela , be look hotel , consider Algonquin save money . also love give complimentary bottle water room apple front desk . house cat adorable well . : ) overall , impressed hotel , especially give great rate get . 
 Apr 19 2009 	 Nice ! deep tub good location v good service food pricey overall B+ 	 & quot ; Grande Dame & quot ; hotel , often prefer . overall would give B + price pay . stay standard King pay 169.00 per night ; special internet rate find discount site , credit , Algonquin willing honor rate via direct booking . pro : good service . friendly , personable , professional . location great seeing Broadway show easy access Penn Grand Central Stations well west side subway . nice & quot ; feel & quot ; decent sized room . first give tiny room- mean tiny- ask move something bit large , request cheerfully quickly honor . happy second room . deep ( long ) soak tub , love . nice architectural touch room old - timey cornice , etc . AWESOME bed . first - rate bed pillow . very attractive , warm lounge great bartender . pricey drink , well mixed , although somewhat overprice even New York ( $ 18 - 20 martini ) .very , good soundproof room throughout hotel . con : food much expensive . $ 70 breakfast ? give break . 2 elevator one service elevator . the first room give unacceptably small ( room 703 ) .I happy stay price pay . would satisfied pay rack rate $ 280.00 per night . 
 Apr 19 2009 	 Algonquin Hotel 4 day stay NYC 	 come NYC celebrate 10th wedding Anniversary . hotel would Algonquin ( book Hotwire ) . location perfect ( near Times Square ) .The hotel really clean people nice . first 2 day difficult room queen bed , back hotel , face construction really noisy ( start 6:15 ) . ask king give room nextdoor ( still construction , noise not come A / c ) .room small ! elevator ( 2 ) slow , especially morning . hotel clean . breakfast next door . Next Times Square . I would recommend , room 504 ... 
