can 	 come London Heathrow , can not beat location . take tube airport , get Green Park , come tube station . stare Hotel Ritz , 5 minute walk Fortnum & amp ; Mason 's , Royal Academy , Picadilly Circus , walk 5 minute across Green Park , Buckingham Palace . , fine hotel world ? nope . like buy house , location , location , location be about . we stay 6th floor , feel like stay different hotel people ' ve leave complaint website . bathroom perfectly modern clean , lot fresh towel ( extras closet ) . room look like American Holiday Inn ( small ) . two double bed , desk , small table 2 chair . stay place London , recognize difficult find room two double bed . the furnishing , include bed covering drape , new . notice , however , carpet room stain dirty . negative comment come abroad stuff suitcase , beware . luggage rack one one suitcase . room anything else . closet big , however , stow suitcase there . if want stay hotel big , fancy lobby , lot meeting room super exercise gym .... place . however , want clean , modern room smack dab center London , not think could find well spot . 
 Disappointing ; 2 star 	 book 4 room , evaluation fair repesentation 6 night stay . math property : rate @ 4 star @ 60 % price = 2.4 star may little high establishment . positive : location , staff helpful . poorly maintain , cleanliness , poor HVAC system , uncomfortable experience . 
 Dec 9 2004 	 good value great location 	 be look middle road american influence accomodation , great hotel . 's certainly way & quot ; tourist & quot ; budget hotel stay Europe . even provide washcloth ! ! 's Ritz ( be across street ) feel comfortable , secure , easy access London offer . wife friend stay October 2004 well pleased entire stay . hotel quiet staff efficient though overally friendly . wife London ( picky ) please loved location . ask room overlook Ritz well view . oh , try go Ritz sure dress appropriately . jean ask leave ! ! imagine ! will comfortable Holiday Inn Mayfair . 
 Dec 8 2004 	 good reasonable price 	 spend 5 day hotel . everything ok ! room second floor quite , clean , beautiful exellent bathroom A / C . staff polite helpful . problem car parking unusual central part London . nothing compare price London . stay Holiday Inn Mayfair visit London next time . good luck staff ! ! ! 
 Nov 26 2004 	 perfect okay 	 great location . room clean well decorate . 2nd floor one floor must renovate recently . construction noise problem . quite frequent sound drill noise entire day 6pm . check - in staff seem rather confused time lobby definitely renovate forever . 
 Nov 16 2004 	 Disappointing ! 	 travel throughout Europe ( currently live Italy , ) see share hotel accomodation . excellent , good bad room experience . although Holiday Mayfair EXCELLENT location , room ( Room 508 ) give horrible . mildew shower bathroom wall , tile break stack tub , fan AC / Heating unit rattle non - stop , blanket sheet hair still , etc . ask another room tell one available . least change sheet complaint ! sneak suspicion since Priceline customer , receive quality service . first time disappoint Priceline acquire hotel . also , add bonus although request non - smoking room , non - smoking floor . person room next door smoker . sit room like sit bar , smoke come room night . sorely disappointed hotel , especially read rave review November 4th trip . hope clean act ! send priceline hotel email poor quality service four star hotel . hope help future traveler ! 
 Nov 6 2004 	 need REFURBISHMENT 	 read wonderful review prior stay Holiday Inn Mayfair November 3rd two night . find staff attentive helpful , hotel DEFINITE need refurbishment . lobby furniture wear room definite disappointment long trip get London . bathroom small , although two double bed nice comfortable . way could give property excellent rating due quality room . people write rave review must travel often . 
 Oct 28 2004 	 Excellent location 	 husband 18 month daughter stay October wonderful review state . centrally locate everything well clean quiet . would highly recommend hotel anyone come London . 
 Oct 19 2004 	 Loved ! ! ! 	 husband stay 5 night October great time . 's close Picadilly price get Priceline , can not beat . walk town location major sight . be across street Green Park entry Buckingham Palace far parliment Big Ben . staff polite helpful restaurant , Nightingales incredible . everything London expensive currency conversion place comparable carry wide variety alcoholic beverage , find not easy London . room decent size London standard cozy . would definitely go . 
 Oct 3 2004 	 nice 	 return home 8 day trip Scotland England , include four day London . stay Holiday Inn Mayfair quite pleased accomodation . location terrific getting around Green Park Tube station block away Victoria Station short bus ride away . staff treat we well room nice , two queen size bed lot hot water shower morning ! price breakfast hotel steep , thankfully starbuck right across street , terrific muffin go coffee ! also sainsbury local store ( grocery ) well Mark 's Spencer Green Park tube station snack , pop , sandwich , etc . we get great deal website , make stay even special enjoyable ! would give Holiday Inn Mayfair strong recommendation . 
 Sep 28 2004 	 Perfect Location 	 stay Holiday Inn Mayfair Sept / Oct 2003 . hotel downtown district call Mayfair close proximity Hyde Park , Green Park , St. James Park , Buckingham Palace . surprisingly , find area quiet evening . access public transportation could not easy Green Park Tube station 20 metre hotel entrance . like escort around town , also bus stop Original London Sightseeing Tour right entrance Green Park Tube station . as far hotel concern , find staff attentive . room large european hotel find decor bit tacky out - of - date . nevertheless , room well maintain . breakfast include hotel package good variety pick ( hot cold ) . take factor consideration ( location , service , facility , etc . ) , will say hotel also reasonably price . 
 Sep 9 2004 	 one good London ! ! 	 get home 10 day central London stay Holiday Inn , Mayfair second time . outstanding hotel , relatively large room , perfectly locate tour London , good food drink excellent service . want place walk almost everything , place . great time take good care we . can not wait go back . 
 Sep 8 2004 	 Location Best ! 	 pass Labor Day Weekend , Sept 4 5 2004 , adult son spend couple day London . use review give book hotel . right ! hotel locate minute Green Park Station . two stop tube Victoria Station . arrive early room ready , worry change clothe bellman store luggage . pick tour right across street . room nice roomy . hotel staff friendly . yes would reccommend hotel yes would stay ! son 's first trip London yes , hotel always add trip . 
 Sep 2 2004 	 really good place stay 	 way back USA hard month work , decide spend two night London walk around favourite city mine . Mayfair Holiday inn great hotel choice . say Location , Location , Location . close everything time walk place instead take tub . staff excellent upon departure porter really helpfull bag . downside room . executive room lovely king size bed power tub however old look bit dark . excellent choice good rate . 
 Aug 30 2004 	 Great Location - Good Families 	 stay Holiday Inn Mayfair August 2004 3 night . excellent location exclusive Mayfair district central London . take Picadilly subway line direct LHR & quot ; Green Park & quot ; stop walk 1/2 block Hotel . room bath compact , comfortable adequate family 4 give affordable price get holiday - inn website . walk distance Buckingham Palace ( 10 min ) , Picadilly Circus Regent Street shopping ( 15 min ) double deck hop - on - hop - off touring bus begin round Green Park tube stop front Ritz Hotel . highly recommend hotel visitor London , especially child . 
 Aug 24 2004 	 Loved Holiday Inn Mayfair 	 Excellent hotel . pay 73GBP / night ( without breakfast ) family room . stay 5 night . first trip London location make easy sightseeing . Piccadilly circus Leicester square walking distance hotel . Green Park tube station opposite hotel . room comfortable . incorrectly charge minibar item call front desk immediately fix we . definitely stay . 
 Jul 28 2004 	 love 	 family bit hesitant stay holiday Inn could find many room London nice area family 4 . read review tripadvisor make reservation glad . stay hotel June,2004 - two adult two teenager . love . location great . everything - attraction , restaurant , eurostar office , train station , etc . within short walking distance . the staff friendly helpful . restaurant nice . room clean spacious - trust , family picky hotel room , especially bathroom . know check hotel see room . really enjoy hotel would stay . 
 Jul 15 2004 	 wonderful surprise ! 
 Jul 15 2004 	 could beat ! 
 Jun 30 2004 	 will not stay anywhere else london 
 Jun 16 2004 	 Wonderful Hotel 
 Jun 8 2004 	 Perfect location 
 Apr 25 2004 	 Location Great Price 
 Mar 2 2004 	 location ! ! Location ! ! Location ! ! 
 Feb 1 2004 	 great location reasonable price 
 Jan 5 2004 	 Fantastic Location - hard beat ! 
 Jan 5 2004 	 ? ? ? ? 
 Feb 22 2009 	 ottimo albergo qualità prezzo e ubicazione 
 Jan 18 2009 	 ? ? ? ? ? ? ? ? ? 
 Jan 16 2009 	 ? ? ? ? ? 
 Dec 17 2008 	 Situación inmejorable 
