bad 	 Stayed Trop October . Room call & quot ; garden room & quot ; . Checked take elevator ! room ground floor . slide glass door lead parking lot . question safety staying room . old hotel room ever stay ( stay seedy place ) . bed disgusting , sleep clothe . bed old sink middle . stain mattresse . mold bathroom . be upgrade next day tell would check ( stay 2 night Vegas ) .Magic show Trop circa 1984 . Buffet good . would stay . 
 Oct 22 2008 	 cheap ... cheap reason 	 ' ve go Vegas 25 year like way many hotel update new , Palms - inspire look , flat screen tvs modern decor . like many other want save little money , economy head toilet ! want go first Barrett - Jackson Auto Auction know rate top hotel go high . shopping see Tropicana rate $ 45 , beat $ 70 NYNY $ 129 want nice place mid - week rate . miss $ 7.99 room fee ( plus taxis ) add bill day . return get easy check We d check we d ? real problem get room . way back Island Tower , good 5 - 7 minute walk desk . slot machine near lobby , prepare long walk forget something room . elevator plentiful 2 outside , glass elevator cool view . the room straight 1970 's , tacky wood - frame mirror outdate bed , old tube - television clock radio . look like decor day Inn ! bathroom layout not much well , thin , rough towel , big round tub corner weak shower head 5 foot high . prepare stoop ! also notice BLACK mold tile shower . central AC fine actually would like one little noisy cover sound aircraft take ! wake 7 am end stick noise - cancel headphone iPod ear ! also wake several ambulance siren , ' ve never happen Vegas . glass room need thick face airport , not think ? also , drape would shut way , let much light middle edge . prop couple pillow drape order dark room ! not Vegas room decade ! hotel impressive like say , want try save $ $ $ . go buffet $ 9.99 breakfast rip . not want wait 5 minute get omlette prepared try scramble egg , think fake ! thing well french toast . like pool area , get little sun half block half day . I would say parking probably high point , enter right side street plenty space cover parking area . expect hotel fill weekend though , would not want deal crowd top problem low quality issue . slot machine loose , much loose place Strip , hit small jackpot suggest cash get good meal one many place across street ! 
 Oct 20 2008 	 Dump . well Stsying Motel 6 Road 	 wow say trop . get back vegas stay tropicana hotel casino . can not express bad hotel . first call confirm reservation thursday check sit morning . arrive trop around 3 & quot ; 30pm , tell room be not available go to search find another one . wait 20 minute say ok room ready . get room key head room ( 1555 ) Island Tower . could not believe walk make get room , casino escalator mall part , ppl try see time share . finally long walk elevator leave . exit elevator like ok hotel be not bad . go room 1555 open door find room not clean . piss walk much use phone call front desk , tell nothing could , would wait . lady really rude do not seem care pleasing customer . wait finally room . get dress go drink , elevator realize forget wallet room . go back get room . key do not work , try numerous time , whiie try nice asian couple checking room next , try open door problem . already furious call front desk complain say security would shortly .. wait wait 30 minute later security show . open door , tell we go talk manager , get wallet procide manager desk . get , already people line key hand , becuase there s be not work either . speak manager tell situation be not willing anything , even nerve tell we & quot ; well select paradise tower room might happend & quot ; . like hell ... do not think , tell reveleance , explain could issue we new key , ask well anything else could inconvenice say ! ! , attitude . tell would like transffere another room say none available . get mad started raise voice , speak supervisor that s say one room available paradise tower Room 729 ( newly renovate ) could give , say fine leave happy . room paradise tower remodel 2003 ? everything look early 80 's . upon check wait huge line , get desk lady get room number , rude thank , attitude , ask could get bellman help luggage , say rude tone & quot ; sir sunday , go to long help & quot ; roll eye . never treat bad guest hotel . hotel need tear replace new casino / resort . probarly would get well service motel 6 street . 
 Oct 13 2008 	 not go 	 tropican one night ( luckily ! ! ) . expect five star hotel , find less perfect . everything room outdate , look dirty . sure dirty carpet , air conditioning noisy . bad bathroom : never update since 70 's , look dirty black , disgusting mold around bathtub tile . warm water sink , almost impossible use , vintage shape faucet . anyway , bed comfortable , location OK . money , please pick well , newr or / and well keep hotel ! ! 
 Sep 29 2008 	 never stay ! 	 many problem . 1st upon check , room occupy , go back ask another room . get another room , shower not work new room . phone not work either , go ask plumber . one hour , plumber came fix . plumber leave , water damage carpet neighboring room 's AC . bring machine dry floor . leave day , come back evening room smell bad wetness , machine still . loud still run . could hear outside door . also , plumber use towel , not bring new one . go back , ask machine remove , new towel bring . would recommend one ever stay , even good deal . 
 Sep 27 2008 	 hard hard love 	 get back third stay Tropicana . ' ve always love ; be never nice place town , love tacky , 1970 porno luau theme Island tower . Kitschy Vegas . love take elevator right pool , right parking lot . love sprawl tropical pool , location , price . but be sad every time go , 's little run . time , everything break , burn , wear batter . place much potential , can not put little money ? maybe new carpet good cleaning ? not get wrong , overlook shortcoming , be still good value . $ 50 night , get huge room great spot view strip really nice pool . staff nice . , will continue ignore wear carpet dead lightbulb . continue run , next stay may last . 
 Sep 25 2008 	 Tropicana could bad . 	 get back 5 night Tropicana hotel . ok place expect five star accommodation Las Vegas . would book hotel go Las Vegas first time . place old , old dirty carpet room full stain . clean staff make effort take away urine stain smell elevator stairwell . walk stairwell see homeless man sleep . call security , leave see two security staff take care problem . front desk staff firm , point without hint smile . would stay another hotel ensure something fond look back . would stay Tropicana last resort knowing would wear sandal room . 
 Sep 23 2008 	 well expect 	 reading review really worry stay here.but everything turn fine.check fast room clean pool great.we even get marry chapel.would go back heart beat . 
 Sep 20 2008 	 Hotel comp rip . 	 stay tropicana 5 day spend lot money , get ready check go collect comp . discover good use resturant , bar towards pay extra day hotel . as flight catch way use comp . redeemable store shop . could even use towards room pay credit card . we end get breakfast hotel restraunt pay $ 390 comp voucher , could not even use toward tip waitress . we stay hotel vegas several trip comp always redeemable gift shop full value . never stay Trop . 
 Sep 15 2008 	 dump ! 	 horrible place . dirty , smelly . stain wall , stain carpet , door not always lock ( even & quot ; fix & quot ; ) , ceiling tile miss , door handle miss not work get stairway . yuck ! bad experience ! 
 Sep 13 2008 	 okay would stay elsewhere 	 wife stay Tropicana September 5th - 12th , 2008 . come attend wedding two friend hotel book . 15 we stay hotel . rent car airport , plug Garmin direction hotel spot . kind unsure park though . park ' self park ' lot . 's big cage valet parking . 's also cover nice plus . though even shade 96 degree ! bit walk parking lot main entrance hotel unmanageable . kid suitcase etc . see could issue though . checking go smoothly though think stay Paradise Tower tell book Island Tower . proceed lengthy journey far side property , casino , hall vendor past pool finally arrive tower . room clean bathroom spacious . laugh bamboo trim mirror ceiling - right Poison video something 80 's . ask fridge early within 15 minute arrive room knock door brand new fridge deliver plug . stay two night tower pay upgrade $ 20 / night stay Paradise tower rest wedding party . much new tower toilets jet assist scare hell every time flush - especially forget . : ) one complaint iron brand new white shirt leave iron deposit fabric . take shirt iron manager quick get drycleane next day well order new iron . hour pass iron . call iron quickly deliver yet dirty steam hole . ( check surprised see charge bill , apologize removed charge ) . big deal . glad take care thing like . nice see . room date - yes . smoke everywhere something one get use guess - 's Las Vegas . though nice hotel casino separate room . walk front door blackjack table dead center walk around get front desk elevator . carpet need replace . hear be plan impode building 2010 ( ' ve hear ) . hope build big well Tropicana . name around since 1957 first build would nice ' rebirth ' . lot different machine play well normal table . find penny machine pay well without big initial loss . average win $ 150 . low $ 90 high $ 280 . pool amazing wish spend time decide 5 trip outlet mall well choice - haha . waitress near pool repeat phrase ' Cocktails , drrrrinnk ' Southern accent grow old quickly . always lot chair towel give freely without hassle . buy drink Target Von 's ( Safeway accept Safeway card / phone number ) - juice , pop beer / drink . guess be cheap get expensive buying hotel premium price - especially 26 rye Von 's $ 12 case beer - 18 can $ 13.the $ 8 charge use pool / weight room ( never even notice one ) /parking joke hey , know go . not understand not include nightly rate . Hookers/ Drug dealer ... yup . right outside front door well walk hallway / casino . hard notice appear management not mind . whatever - never bother we except love stand way . what else .... room clean maids good job . think come 4 7 night not need daily service . wife call paranoid . safe closet nice work last night . enter number use credit card - would use credit card ? ? seem like another way identity theft wait happen . ( yup ... paranoia ) be look cheap meal , Garden Cafe inside restaurant place go . $ 5.99 special be huge . chicken caesar salad almost comparable taste anything offer back home $ 5.99 . anyway ... good experience though would not stay many hotel well amenity price . be plan go back watch crumble little bit concrete , paint dust . 
