expensive 	 extremely expensive consider state . public area beautiful , however room terrible . stay two night previously Harrington Hall ( 4 * ) far well half price . room need total renovation . tea coffee make facility . bathroom poor shower gel shower attachement tap therefore could stand . corridor extremely noisy well . great location . 
 lovely building great location beware ` ` extra '' 	 first qualifi : stay Starwood point . lovely hotel great location - walker runner , Green Park , Hyde Park , Kensington Gardens doorstep . also easy walk Underground West end theater . beautiful area serve tea day drink night . grand space . pay privilege . one gripe layout hotel nowhere lounge sit lobby . health club nice - nothing special certainly adequate . this old building , room type size vary . room clean spacious - London - nicely appoint . bathroom especially nice . service good , great - find level concierge service unpredictable . one thing one qualifier & quot ; extras & quot ; really overprice . ok , certainly great breakfast restaurant 23 pound ( be $ 40 today 's exchange rate ) . Starbucks street Marks & amp ; Spencer wonderful pastry buy less pound . also , Internet Access 18 pound per night - huge ripoff . nearly $ 500 / night hotel , breakfast internet access cost $ 75 . 
 excellent service 	 stay three night great period hotel service give staff excellent ! ! ! stay many london hotel past twenty year would problem recomende , breakfast one good london ! ! , bed heavenly want take home staff helpful I ve happy time 
 Jun 27 2009 	 A+ Location B Room Decor / Size B Room Service 	 stay Park Lane Sheraton Hotel June 20 - 26 . booked accommodation use starwood point . first , agree contributor review hotel location hotel major selling point . 's 2 - 3 block away Green Park Tube underground station . 's 10 minute stroll across Green Park Buckingham Palace . PRET Starbucks 3 - 4 block away hotel basic breakfast lunch , cafe call Henry 's ( http : //www.allinlondon.co.uk / clubs_bar / review-515.php ) also 3 - 4 block away serve delicious breakfast pretty reasonable price . hotel also restaurant serve breakfast . try Citrus ( http : //citrusrestaurant.co.uk/ ) . food good , bit pricey . 's also Marks & amp ; Spencer 's Simple Food ( http : //www.allinlondon.co.uk / directory/1160/21715.php ) 4 -5 block away also . 's Green Park Tube underground station . finally , be also 20 minute walk along Piccadilly Piccadilly Circus catch play neighborhood theater . room decor / size could well . friend originally place Classic room two single bed fourth floor ( 436 ) . room small , little room maneuver . first time , end call front desk within minute see get large room . executive room available , front desk ask inquire next morning see large room . next morning , able secure large room 6th Floor ( one Starwood Preferred Guests floor ) . room still small compare room U.S.A. , definitely room Classic room . one thing notice coffee maker room ( classic large one ) . bathroom room also narrow . decor room definitely need update . room service also satisfactory compare hotel ' ve stay . one evening , order two scoop strawberry one scoop vanilla ice - cream . come two scoop vanilla one scoop strawberry ice - cream . also order bottle evian water . instead , first room service staff forget bottle water go back get . bring back bottle water Scotland . question evian water ( list room service menu ) , say not . also , another situation could not figure come air condition large room 6th floor . night room service Guest Service department say would send engineer check . well , wait one show . decide press since room get less warm / stuffy open window . well , next day much warm call engineer . time someone show explain air conditioning entire hotel shut prior day complaint guest cold . maybe friend misunderstood , find explanation quite strange . room service acceptable , staff front desk pretty nice helpful . similarly restaurant staff Citrus Palm Court . 
 Jun 22 2009 	 plus point need come 21st century ! 	 hotel brilliantly locate , look grand oustide lobby , well design bar restaurant far less card slip room door . shame ! room like holiday inn sadly , style luxury fade look bit sad ; date , modern , stylish touch real hint thoughtful creativity deisgn . basic office style swivel chair sit table- cold unromantic/ basic could get ? ! majority guest stay hotel like for- stylish , comfotable luxurious room . previously stay Hilton park lane room , tiny bit less price wise , pale comparison . add new bedside table / modern chair , stylish accessory light fitting would trick start ... well colour style coordinate throughout really . I m amazed many review say . room , let stay current state long . gradually bathroom also update ! gym plus point stay one night can not comment mcuhl else room ! 
 Jun 17 2009 	 great location service ok 4 * 	 location great , food hotel cafe ( Citrus ) excellent . room ok , old - style . definitely 5 * , mainly service , ok , great . consider good 4 * , dissapointe . 
 Jun 16 2009 	 amazing experience 5 star hotel 	 stay Sheraton Park Lane June amazing experience celebrate anniversary girlfriend . staff professional helpful stay answer query regard stay make sure satisfied room upgrade stay . Mr Igor Buercher Sheraton extremely helpful make sure stay memorable . service location excellent allow get around London easily . the attention detail stay excellentI look forward return Park Lane Sheraton 
 Jun 11 2009 	 good stay 	 find incredible deal Expedia hotel . cost we $ 300 ( usd ) junior - type suite . prepay hotel receive deal worth cancellation policy feel secure . suite large ( queen bed , 2 desk , couch , coffee table , 2 easy chair , fridge , 2 closet , etc . ) plenty room pad around . bathroom large compare standard London bathroom - separate tub shower . stay Chesterfield Mayfair 2 year ago $ 475 ( usd ) room bathroom would fit inside junior suite . GREAT location ( Green Park across Street tube station 3 block away ) staff friendly accomodating . purchase time pass use computer room lobby use minute time computer problem give we additonal pass free - question . there be wonderful small & quot ; local & quot ; pub couple hundred yard back hotel ( can not remember name ) concierge recommend great fish chip meal . we never eat hotel Afternoon Tea look delicious . Buy Oyster Pass tube station not plan take taxi . ride around London ( tube bus ) 5 day cost we around $ 40 usd . day maximum deduction reach amount stop deduct pass . GREAT deal ! ! 
 Jun 11 2009 	 4 star perhaps 5 . 	 stay Sheraton park Lane weekend 4th & amp ; 5th June starwood member , enough point get one night free . I london week business stay 4 - star hotel Marlebone previous 3 night , look forward husband join weekend move 5 star Park Lane . unfortunately really disappoint wished stay Marlebone hotel . positive Park Lane course location , wonderful . food wonderful also , Afternoon tea particular amazing . leave wonderful part hotel go room , different story . the disappointing thing , besides fact room extremely basic badly need refurbishment , robe , slipper tea / coffee facility - basic 4/5 star London hotel . 1 shampoo , 1 conditioner 1 soap ( small size ) leave husband .... shower gel / bath lotion . walk reception express disatisfaction , girl pleasant immediately send room . feel poor ask simple basic thing 5 - star central London location . I fill comment card hotel , mention point hear nothing since . this hotel definitely 5 - star hotel , surprised rank . 
 Jun 8 2009 	 5 star would hate see 4 ! 	 hotel pit ! room not update decade , air conditioning room view unless like look window seeing escape ladder exhaust fan . lobby non - existent real choice restaurant far formal offering hotel . positive thing say place staff accommodate give deal . great hotel far expensive get ; small , outdated , ugly , hot room . 
 Jun 3 2009 	 excellent hotel location 	 recently stay hotel sceptical follow bad review however , say visit hotel see lovely .. stay last weekend book go concert O2 get great deal . location could well , great tube although never need everything walk distance .. leicester square , buckingham palace , piccadilly circus , knightsbridge , marble arch .. could not ask . hotel grand room allocate lovely .. quiet clean .. staff extremely polite.the downside hotel drink bar expensive expect . I m snob enjoy good quality fault hotel anything .... great little pub / cafe call Henrys 5 min walk hotel serve day food great breakfast etc ... , worth every penny ... 
 Jun 1 2009 	 Nice hotel great location room tiny 	 normally get upgrade large room due SPG status . however , hotel fully book due garden show , assign & quot ; regular & quot ; room . the room clean , tiny . even european hotel standard . hotel lovely , especially lobby cafe area . service impeccable . the location beyond amazing right beside Green Park close Piccadilly Circus . 
 may 27 2009 	 nice old - style hotel convenient location 	 agree much be already say previous review . hotel well - situate , 's main selling point . close walk distance tube station , several bus stop outside also close walk distance restaurant , coffee shop , attraction , etc . also big convenience 's Picadilly tube line - one Heathrow . take tube Heathrow r / t easy , cheap convenient . use Starwood point can not really speak value room price . room clean large . huge , marble bathroom tub large seperate shower . also walk - in closet . bed huge comfortable . front desk well - staff courteous . one minor hiccup - arrive early tell come back 1:30 2:00 room would ready . come back 3:00 pm , room still not ready , 10 minute work fine . one downside ( previously mention ) cost internet business center . outrageous . end browse guidebook bookstore need specific info , definitely find another place use internet save money . internet cafe around see sign advertise 1 pound hour ( rather 5 pound 15 minute hotel ! ) 
 May 26 2009 	 stay HOTEL ! ! 	 annoy stay sheraton park lane hotel sign trip advisor website write review . I stay 2nd May 2009 sister wedding . check take 2 hour send occupy room dirty room even apologie.2 week later check bank statement charge twice amount - could believe ! ! ! big dump hotel ever stay entire life , save money stay hotel ... repeat stay hotel ! ! ! load RUBBISH - 5 star ..... laugh ! ! 
 may 25 2009 	 great hotel need work 	 stay hotel past stay future . room fine , could update little bit . room ( # 711 ) oversized overlook green park . night could sit bed look London Eye Big Ben . service first rate something request , thing request , sometimes overlook . example , give one bar soap 5 night stay . quickly fix ask . food charge room make , bring attention front desk , quickly take room . hotel great location meet need . one thing enjoy free bottle water give front desk . 
 May 24 2009 	 perfect location excellent staff lovely room 	 little nervous stay Sheraton Park Lane read bad review go week pay two night use point 5 . pleasantly surprised exueuctive room look park large king size room marble bathroom . staff excellent thing need immediately . would recommend highly need lille update would keep go back course Green Park good location . 
 May 19 2009 	 great location not - so - great hotel . 	 husband spend three night Park Lane hotel vacation London . hotel well locate edge Green Park ; 5 minute walk park Buckingham Palace , 5 minute walk Green Park underground station Picadilly Line . absolutely complaint location perspective . a bit disappointment hotel . dire need renovation ; room definitely show age lack luxury feel normally associate Sheraton hotel chain . one - bedroom suite , room oddly set - up ; enter middle hallway ; turn leave go bedroom , turn right random sitting room area end hall really serve purpose . furniture awkwardly place look though since hotel 's beginning . save grace king bed Sweet Sleeper bed comfortable . overall , location great ; hotel so - so ; certainly disappointment consider rate per night . 
 May 19 2009 	 great location 5 star hotel 	 hotel wonderful , pay anything close rate offer on - line service , would unhappy . my big complaint internet access . hotel change ~ $ 10.00 hour extra internet . reduce rate purchase long period ( per day per week ) , include base rate unacceptable . addition high additional fee , pay 's good single computer , travel spouse machine , pay twice ! Ta . Steve Porter 
 May 18 2009 	 real skinny .... 	 Hotel review base personal subjective opinion . what may acceptable , may , vice versa . Sheraton Park Lane London . 4 * rate . Fri + Sat night . Starwood Gold status use starwood point . location : Piccadilly close Hyde Pk Corner . close West end shopping center . great bus /tube link . tube : Green Pk Hyde Pk corner . 5 min walk bag . enter main reception Brick St rear property , although enter Palm Court entrance Piccadilly . Buckingham Palace 5 min away . opposite Green Park . lovely place walk time day . property : old style . list building 1700' . check : 7/10 - easy good natured . International Staff . Status recognize offer upgrade exec room - assign 8th floor . first room noisy , wear bed Sheraton Sweet Sleeper come first place . change room quiet wing Rm 654 ( see photo ) starwood preferred floor . well room - clean , quieter , nice bathroom , well bed . really pay reject poor room . architecturally impose public area . Mini Bar . not open door review , trigger charge hassle remove . work desk , + seat area room . bathroom : lock solid door - nice marble 's thing - powerful rain shower . various middling quality personal care product . towel : nice fluffy - Bathrobe : - bidet : get one ... closet : yes , hair dryer , iron etc . view . overlook Piccadilly Green Park . many overlook interior court , adjoining building . smoking : not think smelled smoke hallway . I ask twice kettle tea make facility . fail show . 1/10they add unannounced ( 1 ) one pound ' voluntary ' charitable donation bill . not understand pull stuff like ? not , nothing say except - REMOVE . 0/10what be nearby : transportation link . mark Spencer food store 3 min away . excellent Prêt Manger sandwich coffee shop two block Hotel Piccadilly . update : Prêt feature free WIFI . valuable convenience visitor . hotel charge outrageous amount slow Broadband . 2/10 . Ritz Hotel road , small fortune experience famous british afternoon tea . little Piccadilly side ' Patisserie Valerie ' Excellent coffee outrageous bakery . Direct Bus tube access West end shop Theaterland - walk 10 min away . safety : good 7/10 . although Big City common sense always apply . conclusion : property need modernization upgrade compete US 4 * standard . some upgrade , new flat screen , marble bathroom . many mixed review property . good location base tourist activity . get good room 's fine , not - complain . stay ? probably notu rating : currently 3.5 / 4 star . value : reasonable London $ $ . 6/10 
