Rude 	 location hotel offer little . stay . front desk staff consistently rude unhelpful exception far . concierge , maintenance cleaner friendly helpful . good way describe room patch . let photo website deceive . walkway room smell old carpet . room next vend machine make noise switch complain . towel bathroom old two tear use . hot water problem 07:00 08:30 morning . end shower time . also often flush toilet once . but override memory hotel rude front desk staff . time threaten completely ruin stay . 
 Fantastic Hotel ! ! even well staff management ! ! ! 	 stay 6 night recently honeymoon hotel perfect ! ! ! ! upgrade amazing suite 21st floor . could see Times Square bedroom window ! ! hotel perfect location access New York offer .. staff always extremely helpful concierge help we question day trip etc .. small problem heat within two minute maintenance guy fix ... lobby really welcome food gorgeous ... hotel perfect brilliant value anyone travel New York staff really make feel welcome .. would highly recommend hotel friend family ! do not rip overpriced hotel keep money holiday ! stay Park Central ! ! ! ! Great Hotel ! ! ! 
 Sep 10 2009 	 great location ... 	 hotel great location , hotel need help . arrive late , tell King room reserve , would give room 2 bed . reserve non - smoking room , room give smell strongly like smoke - fact , entire hallway . button phone not work , manage call front desk tell definitely non - smoking room unable move . People clearly smoke adjoining room , smoke come right door . floor appear vacuum . order room service , cost $ 53 salad , grill cheese , bottled water , food horrible . morning , take shower , discover forget put towel room . furniture wear dirty . pay $ 400 night stay ( know extremely high New York standard ) , definitely worth . 
 Sep 7 2009 	 Great Location 	 hi get back six night stay Central Park Hotel . location great , close Times Square Central Park . room suprisingly spacious great comfy bed . lift hotel bit slow stupid system mean - say go floor 11 lift set go floor 10 , instead press 11 go 11 would stop 10 return Lobby go back 11 . ( make sense ) get hang . hotel charge we store suitcase day departure bit cheap trick apart I d highly recommend place . 
 Sep 4 2009 	 Best Value Money . 	 good location , excellent service . good value Manhatten offer resonable price . 
 Sep 3 2009 	 Fantastic Location ..... great price ... thoroughly enjoy stay 	 stay 5 night end August . get great deal internetstaye Concierge King room . keep look website price change virtually every week ( cancel first two reservation rebooke price keep change ... almost 50 % reduction original price quote ) .Ideal location sight . all staff great problem lift . overall great value would recommend hotel ! ! ! ! 
 Sep 1 2009 	 Great Location 	 reading review bit worried go hotel , get happy gotthe room good size , staff help fullWe trouble heating call reception send one fix straight away ! hotel 10 minute walk time square , central Park 5th AveWould definitely go back hotel ! 
 Aug 28 2009 	 Fantasitc location 	 plus : subway entrance , front hotel etrance . 3 min walk Central Park.5 min walk Times square.7 min walk 5h Avenue . starbuck next door : pminuse : bad elevator service . ( many floor often get floor foot ) expensive breakfast . ( 25 $ per person ) 
 Aug 26 2009 	 Abysmal Quality waste money extremely rude staff 	 ok , story . front hotel get drop bad consider location , however still lack drive way would get road quickly luggage . family arrive hour early check , really annoyed find store luggage storage $ 3.5 . finally check , give we corner room 4th floor hallway extremely dirty smell like mold . make thing bad , give we room mold everywhere , non work Air conditioner , whole room smell like armpit ( literally ) . get room change , find wireless internet $ 14 day . overall , stay absolutley abysmal considering amount pay , would never ever recommend hotel anyone branch connection . not even wan na tell guy fight manager . I disappoint . 
 Aug 23 2009 	 Great Location - Poor Ventilation 	 surprised size room , little large expect New York . service varied , staff professional helpful , one young lady check extremely rude another customer line . room humid , smelly , hot look service space litter garbage . view never miss . ask drain air fix drain work . air work okay day likely could keep humidity heat . book internet special - include breakfast . buffet good - include . $ 25 breakfast . take stair morning ; get elevator long , long wait . 
 Aug 21 2009 	 Great Location good price 	 overall stay hotel good , be NYC not spend much time room sleep ! ! elevator bite weird run quickly problem . room could use update , water - mark ceiling wallpaper peeling , carpet come etc , tv nice flat screen bed comfortable . walk distance Times Square even walk Gerswhin see Wicked -- -which HIGHLY reccommend ! :0 ) 
 Aug 21 2009 	 Great Location 	 stay 5 night end July find hotel good . one issue do not explain properly guest use elevator . leave see lot review issue although be not tell front desk , pretty much work explain procedure quite guest use . overall happy place . 
 Aug 19 2009 	 great place walk distance Time Square ! 	 Nice hotel , could well . overcharged credit card , bit problem ... seem kind usual state . hotel 's situation really great , though , near everything . great view Manhattan , although room could bit noisy . like . 
 Aug 18 2009 	 great location 	 hotel great location close time square staff friendly elevator small room little smelly carpet dirty stain . though pretty nice hotel little pricey 
 Aug 18 2009 	 avoid place ! ! ( overflow toilet people sleep lobby hallway ... ) 	 stay Park Central New York 3 night August part family vacation 2 kid . hotel book via Expedia . find hotel absolutely bad value top dollar charge . find well service 1 star motel charge $ 40 / night place . this bad hotel experience ever life follow issue : - overflow toilet : last day morning , toilet start overflow dirty water spill bathroom floor . despite repeat call , nobody show room almost 40 minute . 40 minute , plumber show simply plunge toilet nobody come clean bathroom . finally , house cleaning show another 30 minute carry cleaning supply . since catch flight simply pack leave room without step bathroom . understand plumbing malfunction , management 's response absolutely pathetic . manager front desk simply want deal situation spite repeat call . - hotel bench lobby guest elevator . find people simply sleep bench day pass go room . people sleep tourist hotel guest look like homeless people street simply want rest nice bench . evident nobody hotel management bother sleep people . pay top dollar stay good place area look like old Greyhound station.- check , receptionist simply tell we non - smoking room available . explain need figure provide room , receptionist simply go inside come back give we non - smoking room . clear hotel non - smoking room receptionist simply want dump smoking room we . location hotel good , place many problems- non responsive management , lack customer service , small room . please avoid dump ny cost . simply worth it- especially price paying . also surprise Expedia recommend one recommend hotel . 
 Aug 18 2009 	 fantastic location good round 	 Stayed two night 12/13 August . room clean . bed excellent get two great night ' sleep . have good corner view 7th Avenue . reception staff seem litte unwelcome initially arrival , check - in do , welcome friendly . cleaning staff lovely give we extra towel . think bag leave service great not mind pay convenience . once understand lift work get right set floor , not problem all . if be travel airport , tip would check car outside hotel get concierge book shuttle bus , much expensive party . the hotel arrange ticket Empire State Building charge we price have buy elsewhere . I would happily stay . 
 Aug 17 2009 	 completely satisifie 	 Michael helpful check - in , even though could get room 4 pm , store luggage minimal fee . 14 year old daughter 8th floor ( Room 806 ) great view request make reservation several month ago . take elevator to / from 8th floor breeze . think Lobby funny smell ( musty ) . room nice , king bed plenty room bag . nice safe room . Michael give we suggestion convenience store could buy bottled water . drink water restaurant actually good . not eat Lindy 's -- 's expensive food average . restaurant great 9th Avenue ( 56th 44th ) . excellent food , less expensive , frequented & quot ; local & quot ; . enjoy Mangia e Bevi ( italian ) Eatery ( contemporary ) -- 9th , near 53rd ? ? ? Da Nico Little Italy also good . shopping Chinatown blast . purse , jewelry sunglass steal . use subway get around city . fun explore Soho 5th Avenue . Top Rock great within walking distance . Ellis Island / Statue Liberty interesting , would recommend buying ticket ( online ) exact day want go . purchase flex ticket allow we go anytime 3 day period , wait line hour get ferry . got 40 % discount Mamma Mia TKTS love show ! Winter Garden Theatre close Park Central . first trip NYC amazing ! satisfied Park central location visit . 
