maybe 	 let say hotel not really bad thought going get little . room good size . room really not update clean matter ( least not ) . family two room hotel room much well update compare . room & quot ; non - smoking & quot ; room , find cigarette butt floor living area leave see cleaning person would ever pick . unfortunately , answer & quot ; & quot ; . many maintenance issue room address obviously overlook . one think probably important metal handle tub faucet extremely hot even turn water . cold water come , scald water . hotel personnel always personable complaint . even fact travel teen ( boy ) overabundance teen throughout hotel , especially casino behave way hope son never . ' m hotel snob guess like little well . 
 Staying Orleans Hotel 	 strip cheap fun ! room nice huge variety place eat . fun atmosphere ! 
 May 1 2009 	 great find thank tripadvisor ! 	 stay Orleans last week trip Grand Canyon . find great deal hotel website ( $ 115.00 + tax 2 night ) well good review . room large king bed , large bathroom , & amp ; nice furniture also clean quiet 11th floor . impressed , sound good true ! problem room safe working need completely replace first morning . right go breakfast . ( $ 5.00 per day mandatory & quot ; resort fee & quot ; cover stuff use safe check get make sure be work go door ) hour wait get irritable HUNGRY . finally go front desk manager kindly offer buy we breakfast ensure meanwhile safe issue would resolve time finish , . fabulous breakfast Courtyard Cafe , hotel also Subway , Sbarro , Fuddruckers , foodcourt ( cheap eat ) , also $ 7.99 buffet good next breakfast . couple restaurant hotel . also important know : & amp ; Burger far away either- yeay ! obviously not big & quot ; fine dining & quot ; not bring attire . find Orleans , plus hotel strip- large hotel several . giant bowling alley look like fun , 18 ( ? ) screen movie theater pool do not even take time go see lack time , close early think odd . casino not nearly crowd strip not go LV gamble anyway can not comment gaming . parking hotel free could park place want , valet service also available . Shuttle ok get strip 's loooong hike back one & amp ; stop ' ve walk distance . completely wipe get blister sandle favor wear tennie Vegas . will ALOTof walk .... be tourist anyway will never see people care ! ( least will not black sock & amp ; sandal ! ; ) choose drive strip , parking casino strip pain 's road construction go too . each staff person deal Orleans pleasant pass employee hallway , etc- greet we think really nice . much place day ! would definately stay come back Las Vegas . 
 Apr 27 2009 	 good value lack location 	 room well average keep clean . would nice fridge room keep water cold , big deal . one lamp not work . bathroom nice room safe iron & amp ; iron board . hear casino loosest slot , not experience . pool area adequate , good casino / hotel like MGM , Mandalay Bay , Flamingo , etc . trick overly hot . pool close daily 7:00 pm . Hotel also 10 Pin Bowling Center 70 alley multiplex movie theater . room price overall good value , orlean away everything . either good bad depend float boat . when go Las Vegas ( least 1st time ) want Strip . Orleans Strip 's $ 10 cab ride use complimentary shuttle leave every 30 minute ( shuttle not run 24 hour ) . although Orleans decent hotel / casino value , find stay strip inconvenience probably would not . 
 Apr 27 2009 	 room ! ! ( hotel ) 	 come back frm road trip round USA husband & amp ; stay Orleans 3 night . good hotel trip . 1st wedding anniversary , give room upgrade executive suite extra $ 75 night , definatly worth ! ! end 20th floor ( hotel go uo 21 floor ) complete view strip bedroom & amp ; lounge room , yes , lounge , include big t.v ever , 6 seater glass dining table , bar ! ! ( buy achol ) room 4 t.vs , & amp ; huge tub . large room ever stay . hotel 1.5 mile away main strip , offer free shuttle , honest , stay hotel time casino lot relaxed centre , tourist & amp ; time , 9 restaurant , & amp ; 1 swimming pool . frnch market buffet always popular , pay 1 price & amp ; eat want , set section different food different country , Mexican , chinese , american etc , well worth thr money . overall , hotel excellent , would definatly stay . 
 Apr 25 2009 	 genuine gem 	 Orleans mid sized hotel / casino mile west strip . Valet parking prompt efficient . Checkin also . room large offer small sit area adjacent bedroom . everything neat clean . Maid service good . bed linen great . restaurant good reasonably price . buffet generic good . try Canal Street time , ( steak house ) good food service . price can not beat , ' ve stay Orleans number time never pay $ 40 night . always seem promotion sort . worth little searching ! meet travel website price . ' m go Las Vegas couple week already look book Orleans . 
 Apr 25 2009 	 Hurricane Katrina Las Vegas 	 never Orleans . be well find someplace else go . not want go place avoid . might well stay FEMA trailer parking lot , would nice people host . good luck ! 
 Apr 24 2009 	 great usual 	 4th trip Orleans last year find hotel outstanding time . front desk staff helpfull get good room . give two room smoke . cordial give we compe buffet trouble . food cafe , buffet , TGIF 's fuddrucker quite good . find slot tight VP good payout . not drink alcohol CW be always around beautiful friendly ever . pretty good band lounge area . always feel extremely comfortable hotel would recommend hotel anyone 
 Apr 22 2009 	 could not well 	 husband spend 9 day past November . summer crazy we get away together . second time stay Orleans . love location . easy access anywhere go yet middle everthing . everything need . great place eat , house entertainment great . room clean , comfortable need anything , like extra pillow , always right , not ask much already take care . love valet bell staff . take great care . everyone make feel right home . become first choice stay Vegas ! ! 
 Apr 20 2009 	 Great Place stay 	 hotel locate Strip . block behind NYNY offer affordable rate . pay $ 34 night , plus give we coupon restaurant , bowling , slot . second time stay love hotel / casino . Orleans huge atmosphere lively . hotel 21 floor room clean spacious . bed comfortable . great view Strip distance . free shuttle Strip , use rent car . many restaurant Orleans . buffet huge reasonablely price $ 8.99 breakfast , $ 9.99 lunch , $ 13.99 dinner . price dinner buffet strip high $ 29.99 . casino huge , arena show , large bowling alley , gym , spa , business center 10 minute free internet per stay . movie theater . pool area pretty , not think pool heat . look elegant hotel Orleans , want affordable lively , clean hotel / casino Orleans great choice . one negative thing notice smoke Orlean 's casino noticable casino Palms , TI , Mirage , even still would hestiate stay . 
 Apr 15 2009 	 well stay time around 	 stay Orleans 2 night , April 6 7 . second stay . also stay October 2008 find staff rather uninterested slot tight . time , however , enjoy stay much . registration desk lady friendly helpful . arrive early , 11:30 a.m. pleasant surprise , room ready ! room spacious quite nice , bit date . room clean bed comfortable . far restaurant go , find Courtyard Cafe breakfast not seem tasty last time ; maybe we . dinner , eat TGI Friday 's , reasonably price server friendly . also nacho appetizer plate , quite good . one night decide try Prime Rib Loft , ever glad ! terrific dinner special Easter week , filet mignon Maine half lobster w / salad , huge baked potato , glass wine , dessert coffee tea $ 20 pp . absolutely delicious - salad beautifully prepare , cold crisp main course item perfectly cook . service good also , restaurant spacious . see movie upstairs theater complex , $ 7.50 pp . nice theater surround sound . , please experience . want good quality reasonable price , nice quiet location away hustle bustle Strip , Orleans excellent choice . back ! 
 Apr 11 2009 	 good use 	 nightmare stay Primm glad Orleans . Bowling league hold final ever since open , ' ve stay last seven year . well change ownership , service change , friendly service orient staff mediocre corporate minded one , still place good one . room large , clean , start show age , food good , specialy Prime Rib Loft Cannal Street , buffet tipical , good price tough , courtyard café use feature great graveyard special , great food , specialy breakfast , much well buffet , sadly , special , service marginal good food good . overall seem great value turning & quot ; get pay & quot ; , hope , see original owner ( Mr. Gaugahn ) opt get place , still , say ' still bar place , ' m probably nostalgic miss frinely staff use work . 
 Apr 5 2009 	 happy stay Orleans 	 get back 4 night stay Orleans . happy everything hotel . room large nice bed linen . food good Courtyard Cafe . buffet excellent reasonable . shuttle service strip great , never wait long 10 minute . great stay strip , not regret decision . look forward next visit would highly recommend Orleans anyone . 
 Apr 3 2009 	 stay 	 first time Vegas would highly recommend & quot ; Orleans & quot ; everyone . room spacious well keep staff . anything extra need hotel willing supply within minute . bed ( King Size ) comfortable slept year . love idea safe room code lock anything away . feel safe whole time . even though strip , access strip free shuttle . take one day strip decide glad stay strip hustle bustle Orleans , everything need . never even leave hotel unless choose . excellent place stay affordable . thank staff make first visit enjoyable holiday ever . food Market excellent come away know excellent meal . 
