recommendation 	 book executive room 3 night Friday - Monday give room face interior yard hotel find nice realize room next engine room - hardly possible sleep since hum machine come wall . book special rate expect good room category clearly one able sleep without disturbance noise come ventilation system . bathroom need renovation 100 % clean spacious . ask another room next morning tell pack luggage Hilton staff would move belonging newly assign room . return afternoon luggage still old room finally move suitcase . second room 6th floor , Terrace Floor , must recently refurbish since decoration much nice rest floor / room . room small first one quite . however one could hear guest room next door talk bathroom . ( smell smoke bathroom non smoking floor ... ) one bathrobe room even two . orderd room service , average hotel food . leave evening tray , put outside room still . return hotel 11:30pm want take night cap bar . first thing waiter advise , bar would close 30min . ask drink menue bring wine list wait impatiently next table . actually want whisky never give we menue finally leave take drink . outside room still tray room service , quite surprising since turn service room . maid assume one guest room well . tray still outside room - 24hrs order food - come back next afternoon leftover start smell . 4 employee room next we , seem issue condition guest leave , none remove tray finish cleaning . come back night tray finally remove turn service realize 2 guest room . breakfast executive lounge good table never really clean scrambeld egg old cold . check clerk ask we enjoy stay neither wish we nice day . location hotel great attention detail really strength staff find particullarly friendly helpful . certainly recommend hotel friend avoid book Hilton future business leisure trip . 
 good stay not look hotel give ' experience ' 	 good choice hotel want somewhere convenient stay Paddington , step away Paddington tube / rail station . hotel experience average , staff fumble check mood generally impersonal need . base explore London , Paddington convenient tube station well connect important line . room spacious give London , decor date room smell cigarette even though suppose non smoking . internet access expensive , internet cafe dot surround street . overall , good stay be not look hotel give experience . 
 Jul 20 2009 	 nice hotel especially convinient be travel to / from LHR 	 get great deal hotel - $ 87 usd Priceline , book day , two night . quite pleased one . the hotel fairly grand old railway hotel fully renovate Hilton year ago . connect directly Paddington station , indoor access food court , Boots pharmacy , Marks & amp ; Spencer , Sainsbury grocery store . could need ( especially travel kid ) .The room great - high ceiling , quiet , room great view right railway station . nephew love feature ! room good size London , one big double bed , room rollaway ( housekeeping bring fairly quickly ) . bed typical Hilton comfortable bed , bathroom good size . Nice LCD tv , good wireless signal choose . check - in staff really downfall hotel - not friendly , try tell would charge room even though make pre - pay reservation . explain pre - pay , discussion colleague , agree tell would not charge . guess ? check - out , bill charge night . go back front desk , woman ( luckily ? ) work , explain situation roll eye say would refund . strange experience , especially since staff - include concierge , offer print boarding pass us computer , friendly housekeeping staff - nice . overall , hotel great place stay , despite minor issue front desk . would stay , price even bit need . 's easy get around London airport hotel . ( FYI , take Heathrow Connect -- Express - Paddington LHR . highly recommend - though take 10 min long Express stop times enroute , 's half price Express much easy Tube LHR . be stay nearish Paddington take . ) 
 Jul 15 2009 	 Location say 	 apart location , pretty run mill quality business hotel . really can not say & quot ; apart location & quot ; talk Hilton Paddington . location whole thing ! 15 minute Heathrow express train , 's essentially airport hotel middle city . literally front desk 90 second walk boarding train Heathrow . sure sound like must noisy , , trust , hotel world away . remind step hustle bustle travel world peace airport airline lounge . almost like enter parallel universe . as far food go , enjoy dessert port lounge include breakfast morning . nice . it be likely would pick hotel vacation destination venue . however , planning fly in / fly meet London , Hilton Paddington would choice venue ( judge event calendar hotel , would alone . ) certainly become hotel choice London night morning departure America . 
 Jul 12 2009 	 finally get quiet room 	 stay hotel freqently business finanally find quiet room . north side , internal facing . first time able leave window open get solid night 's sleep . 
 Jul 11 2009 	 ok hotel nothing special quite value price good location 	 room hotel quire large . well , least one stay . not think hotel right value price . staff opinnion bit cocky guess typical London . location hotel excellent . next Paddington station excellent connection airport ( something like 20 minute train ) tube . 
 Jul 7 2009 	 great location comfortable ! 	 stay boyfriend one night begin July come watch Blur Hyde Park follow bit sightseeing next day . perfect location within 5 minute walk Hyde Park also right next tube station train station great go travel around London . get bargain book hotel pay £ 69 we book top secret hotel last minute.com definitely get excellent value ! room immaculate go contrary comment , air conditioning work perfectly - one hot day year London air condition nice cool . room can not comment food find overall good hotel . 
 Jul 5 2009 	 bad 	 partner stay two night end June 2009 . little doubtful location though conveniently situate right platform station worried might noisy . room floor two lovely . extremely spacious spotlessly clean . look side hotel absolutely silent . could not hear thing two lovely comfortable night sleep . breakfast great service good . there one downside , refuse early morning call keen get good rest . woken 5.30am early morning call two call . eventually phone reception cancel repeat . retire room second night ask receoption check early more call place could not remember room number accuse ' book hotel ' . even book ws locate receive bit frosty stare receptionist ! never mind , can not everything ! get customer care training Hilton ! ' ve stay many hilton always receive exceptional service . 
 Jul 4 2009 	 great 	 Carpets smell musty , air conditioning , bed sack worn , sink clog , makeup mirror , vanity mirror dry fix hair 
 Jun 30 2009 	 great hotel cool 	 fantastic location . Hop Heathrow Express train less half hour be hotel ! friendly , helpful staff . room well - equip comfortable . only one warning , apply day year London ; hot warm day . whilst room appear A / C , fact not cool . weather prediction today 30 luckily ' m check morning . finally , irritation find upper - end hotel . outrageously price internet service , daily rate thirty time expensive fast service get home . 
 Jun 29 2009 	 great stay 	 really pleased stay hotel - staff polite - great service , room location - would definitely stay especially price paidthe breakfast buffet also excellent 
 Jun 29 2009 	 Location Location 	 standard moderate business hotel London poor 's tempting rave hotel . however , be win virtue really attach Paddington station basic room huge London standard . good restaurant well . bad news bit tired perpetully crowded . long wait lift , check - in , conceirge assistance odd crazy person shoo along remind virtually inside major railway station . despite madness , staff great highly efficient , note other . room amazingly quiet , odd little dead end corridor overlook standard dirty London courtyard feel million mile station . pack patience stay ! 
 Jun 28 2009 	 Best Hilton Hotel London ! 	 stay many London Hotels , Hilton Hotels London , without doubt good Hilton Hotel London ! Hilton Group ensure staff visit hotel set training programme base upon excellent unpretentious service level Hilton London Paddington brilliant afford guest . location hotel convenient , locate directly London Paddington Railway Station , station London Underground Bakerloo Line , Hammersmith & amp ; City Line Cirlce line directly station , line give easy access point London . Paddington Station also direct train line London Heathrow Airport , service call Heathrow Express operate every 15 minute Heathrow every day journey take 20 minute . hotel great , previously say staff amazing , professional pleasent can not enough , absolute pleasure speak . hotel restaurant , bar Casino , also fitness centre use . budget allow would definitely recommend book King Bed Junior Suite request room Balcony 6th floor , room amazing , balcony give superb view surround street London great sit balcony evening drink morning Breakfast room service . room number 654 definitely good Junior Suite room , large balcony could ever London Hotel , think room must penthouse suite , balcony split level 4 table 4 chair around , also several sunbed , fantastic sit balcony morning fantastic breakfast room service , truly unbelievably amazing London Hotel . please note King Bed Junior Suites balcony , one 6th floor balcony , room 654 large balcony . also , booking Junior Suites give access Executive Lounge , lounge give complimentary alcoholic drink , canape snack 630pm 830pm also get free continental breakfast lounge . return London Hilton Paddington soon , can not wait , hope get room 654 ! Book stay hotel disappoint . 
 Jun 23 2009 	 Best Hilton Service ever 	 Hilton Diamond vip member , wish Hilton would run every one employee hotel training ! fantastic . standard room huge , bathroom . issue HVAC still & quot ; heat mode & quot ; try cool room . call next morning hot night , maintenance room & quot ; lickety split & quot ; switch & quot ; A / c mode & quot ; . , could frozen ice cube room want . I come one night maid switch A / C ( sure ) request fan . next day front desk manager see walk across lobby return fan , right heel make sure everything room ok . explain maid staff note file . get back room eat breakfast , head housekeeping maid stand outside room go & quot ; list & quot ; & quot ; like / do not like & quot ; .The hotel run like hotel run . location wonderful , access major tube line downstairs . 
 Jun 22 2009 	 avoid 1st Floor cost 	 stay hotel number previous occasion location terrific come Heathrow Airport . however realise simply lucky previous occasion escape horror first floor accommodation . window double glaze front onto busy street . approximately 4.30 a.m. unbearable noise delivery ( bottle rattle etc . ) , noise bin removal rev bus . contact reception could unfazed complaint . think genuinely outrageous charge overnight accommodation circumstance impossible sleep . disappointed little angry . 
 Jun 15 2009 	 great time Hilton Paddington 	 book weekend away pay Hilton Tesco voucher . would expensive use voucher . room book Executive however email , prior arrival , ask chance upgrade celebrate 18th wedding anniversary . upgrade we Queen Suite , separate room sofa bed 16yr old son . ideal we . bed huge extremely comfy . executive lounge ( go stay executive room ) - highly recommend , overlook commuter Paddington Station - great place complementary drink , 2 , sight - see day . alcohol hour 6 pm 8.30pm accompany hot cold nibble . we find staff extremely pleasant helpful . breakfast great - lot choice plenty . go see & quot ; Rock & quot ; Dominion Theatre throughly enjoy - although extremely hot theatre , not know cast feel ! .Tower London ( Beefeater tour recommend - guide extremely entertaining ) crown jewel must see . enjoy London Eye - extremely hot inside capsule - side shade hot sunny day like sunday . great entertainer around Eye area well . Charlie Chaplin look - a - like mime artist brilliant . all great weekend love hotel . would stay . 
 Jun 10 2009 	 Perfect location . perfect service . 	 's perfect fly Heathrow get Heathrow Express . 's direct access Paddington Station Hotel . unfortunately fly Gatwick , Paddington undergraund Circle Line , wich take Victoria Station less 15 minute . hotel service excellent , also room . beware automatic minibar , charge automatically every item touch . problem lot sign explain outer side minibar also inside door . concierge service make enjoy full day check - in early first day not leave city late last day . 
 Jun 6 2009 	 convenience luxury 	 reasonable idea expect hotel stay 4 - star property London , far good one yet - plush public area , friendly courteous staff , somewhat unusually London , surprisingly large room ! mine standard double , every luxury need - flat - screen tv , full en - suite , mini - bar , music system , minibar , iron board / iron , tea / coffee make facility ( include coffee percolator ! ) air - conditioning . do not put fact actually part station building - never think anywhere luxury hotel , end thoroughly enjoyable stay - 'd hesitation return again . tip - go room - only need breakfast , good alternative hotel pub call Mad Bishop Bear , inside Paddington station ... full English orange juice come £ 5 . 
