hotel 	 hilton downtown , lot history , film make , build large hotel world , call steven . 
 Jun 1 2009 	 Grand business hotel 	 one grand old hotel seem like around forever . grand entrance high ornate ceiling sweeping staircase . 12 elevator seem go different floor only . we room 2 queen bed 2 bathroom equally fully equip . reason , could pay internet ( non US billing ) credit card . could sort problem . get one room lake view , absolutely spectacular ! service average , would expect 1000 room . breakfast include la carte much cheap buffet . 
 May 28 2009 	 grand old hotel- charge much internet ! 	 old hotel well maintain property . room large , many two bathroom , probably due combine old small room . surprisingly handy . the staff friendly cordial . complaint : high internet charge , $ 20.00 & quot ; premium . & quot ; 
 may 20 2009 	 superb stay great hotel 	 friendly check , wait although obviously busy time .Rooms immaculate fabulously comforable bed .very quiet , least stay , hear nothing 4 night . superb situation Grant park opposite buddy guy right next door . Blackies breakfast drink local flavour easy walk Field museum . Taxis outside day evening expensive get mag mile navy pier night . must romantic evening dinner cruise Navy pier .Buddy guy blue lover , busy crowded brilliant . do not take notice doom merchant , stay Hilton . 
 May 18 2009 	 something steal ! 	 $ 200 Gucci sunglasse steal bag 16th . file report hotel security anxious hear back . disappointment , like hotel great time Chicago . room really nice , 2 bathroom . 2 double bed comfortable hideaway bed . great view lake park . hotel charge we $ 25 check early ( 10 am ) . 
 May 15 2009 	 Second trip terriable experience 	 hotel twice , first time okay nice facility , recently go . phone electronic steal room house keeping , hotel yet help . terriable service , terriable view price tiny bed lack coaperation . 
 May 5 2009 	 dirty outdate 	 mold shower corner . plastic tiny tub hard stand in- springy flat bottom .. unravel carpet . slow internet despite $ 16 service . towel replace . glasses- use styrofoam coffee cup want drink water . shower - bath soap holder grungy- lose brass coating . tiny bathroom ever encounter . outdated furniture old carpet- despite pay suite . good location great- far magnificent mile close Art Museum , Milennium Park , Grant Park , Columbia Universtiy . 
 May 2 2009 	 Classical Elegance 	 stay ten night February 2008 . winter time Chicago inevitably mean spend considerable time indoor , be surely nowhere well Hilton ! 's huge property still manage maintain intimate feel ; staff particularly friendly attentive . locate Michigan Avenue , 3 minute walk Art Institute close Field Museum , Aquarium Planetarium . ten minute stroll heart ' Loop ' Theatre District . also , ` ` Buddy Guys ' - authentic celebrate blue bar locate directly across road Wabash Avenue , run behind hotel . restaurant hotel good standard , especially breakfast , decent business centre donwstair two bar - lively faux - irish joint salubrious lounge big bay window front onto Michigan Avenue . fitness room pool look decent . room spacious convenience would expect 5 star , bath perhaps disappointment - 's smallish uncomfortable contour . capacity hotel times low occupancy , amazing deal may offer 
 May 1 2009 	 enjoy stay . advice : go thru Hotwire may pay little $ 79 	 previous writer correct price , variety nearby place eat reasonably . location great ! walk many place easily hotel . check offer room two bathroom view lake additonal $ 25 , take . view nice , room nice , roomy one bathroom bathtub shower . really park elsewhere one adjacent block $ 25 parking . 
 Apr 29 2009 	 quick pleasant stay Hilton Chicago . 	 stay Hilton Chicago one night boyfriend girlfriend mine . give room two double bed two bathroom , nice , see girl could share one boyfriend ... bed super comfy ! check quick give early check ( around 12 noon ) extra cost . woman check we polite friendly . the room decent size 17th floor , look onto train pass every 10 - 15 min . think noise would disruptive end sleep right , want hotel right Loop ? usually near train anyway ! not stay breakfast pretty pricey . think $ 19 continental breakfast , yeesh ! nice breakfast cafe call Yolk 4 block away , right pass best western , huge breakfast great price . really enjoy there . we quick drink Kitty O'Shea 's leave like hotel bar pretty expensive . $ 10 rum coke ! also leave bag bag check little extra time kill go airport charge we $ 2.00 per bag , past , free hotel , head kind pricey stay be careful ! location great , right across street Grant Park short walk Millenium Park , Shedd Aquarium & amp ; musem back train station bring we Midway Airport . might bit trek want shop Magnificent Mile , end take 10 min cab ride . Buddy Guy 's legend jazz club right around corner well , much fun ! cheap eat great music , really worth check ! end get hotel amazing price , $ 100usd room 3 , big factor choose . end get lot bang buck , not think would stay full price ( hear $ 200 's ) still really enjoy find good place stay . enjoy Chicago ! : ) 
 Apr 22 2009 	 happen Chicago Hilton ? 	 recently stay stellar hotel . mean hotel favorite . boy happen ? property staff seem beat .. big time . wake hot water , hotel not even sell . dozen ring guest service line , tell lot people take shower time . ok ... wait , adverse cold shower . lucky not business . parking whopper , $ 40 / day . 
 Apr 20 2009 	 tip get rip ...... 	 ' ve read review hotel , already wary expensive place , charge everything ! relative work Hilton , get deal could not refuse stay , know hold tight wallet walk base previous review . 's thing learn : Rip Offs : 1 ) drink - $ 10 drink house wine well cocktail , bar hotel absolutely control . not food hotel experience drink . TIP : sport bar one block west hotel get reasonable drink . call SLC think . 2 ) parking - Parking hotel around $ 50 day , even valet . lot parking around , wide variety price . find parking lot one block west ( across street & quot ; L & quot ; Sports Bar ) $ 6 night , $ 13 next day . TIP : unless need get pretty far city , mass transit system comprehensive , cheap seem safe . rent car , really hinderance.3 ) Business Center - business center , around $ 1 minute use ... another rip ... tip here.4 ) anything room drink - vitamin water regular water like $ 5 - 7 piece ... asinine . mini - bar drink similarly price . leave stuff alone . 5 ) gym pool - pool close , hear complementary ( would check , hard believe ) . also gym , cost $ 18 / day use . $ $ $ .other con : - room somewhat small , fine . bed comfortable , bathroom cramp somewhat dated . maybe , & quot ; gold & quot ; gaudy instead beautiful . so would anyone stay ? make sense follow important : - stay historic hotel . one point large hotel world , every President stay , etc . historic.- Money object vacation- need Grant Park area ( though imagine similar hotel cheap area ) , not bad stay , can not stand people try rip every corner , would not probably stay . 
