mediocre 	 good thing hotel price receive Orbitz ( $ 160 / double inc vat ) . location near tube keep mind tube extensive renovation , extremely crowded day , may run weekend . , take tube hotel Heathrow . easy trip -- hotel directly across Gloucester Rd tube station -- virtual nightmare due overcrowding tube . literally stand one foot part way insufficient floor space . District Cicle line -- also across hotel -- close weekend . hotel particularly close many tourist attraction exception Kensington Palace south Kensington museum . look like straight shot th Tower London require we ride 4 different train . beware review extoll easy access tube . also could find satisfactory breakfast spot nearby . hotel want $ 25 continental breakfast nearby spot mostly bakerie coffee shop . want reasonably price , old fashioned English breakfast close hotel , good luck . room small , par course London guess , although recently seem trend toward large room . apparently trend yet reach Baily woefully inadquate drawer space . husband use small drawer availiable live suitcase . hotel claim room service idea two people could eaten room . floor ? plumbing also issue . husband force use public bathroom would decide flush day . occasionally wonder pay private bath take lift 4 floor use lobby facility . hotel ok price fine guess , although always deal available stay much nice , convenient hotel price . 
 Excellent hotel miss extra touch 	 Bailey 's excellent hotel , authentic english atmosphere charm , great location across street Underground . give four star , be really four star minus . time little extra touch miss : one receptionist make line short , one maid room clean would thorough instead leave something day , one doorman would actually someone door , etc . room nicely furnish quite comfortable , unmistakably English . way , hotel difference room category really make difference , avoid really small entry category room spring high category ( top category non - suite room huge , even american standard ) . buffet breakfast quite good room rate include ; otherwise try starbuck dozen place across street . 
 Felt like home ! 	 return 7 day stay Bailey . first , say , location great ! wonderful walk underground hotel directly across street . could easier get back Heathrow . splurge Deluxe Room ( L119 ) include internet stock wet bar . nice additional item purchase local Waitress Grocery . room spacious comfortable . want feel Old World exactly get . bathroom quaint wonderful deep tub towel warm ! room , 322 , end long hallway quite entire stay . cold , wet day always nice get room feel right home . staff check , concierge , maid service pleasant efficient . question answer smile ! could please stay . even receive special desert upon arrival celebrate 20th anniversary . area around hotel wonderful . family orient within walk distance many resturant , grocery store , ATM . husband go Cafe Forum every morning coffee free croissant . , location underground perfect get various part London . we would highly recommend hotel one strongly consider get chance visit London future . 
 Jun 2 2009 	 wife return 	 Bailey ' Millennium Hotel – London – TripAdvisor ReviewMy wife London many time since son live . first stay Bailey ' Millennium . we decide try hotel mostly base location review other Trip Advisor website . I glad choose hotel certainly book next stay London . we stay 6 night able take advantage " leisure long " package hotel website . there many reason we want book hotel . however , let start short list thing hope hotel consider order make customer even happy choose Bailey ' s . the website clear room / rate available . book room type describe Club Room . however could find photo room hotel ' website . able find reference price would also include full english Breakfast website . go several email back forth Bailey ' reservation satisfied go get pay . side note , check receive Room card show specific reservation . make sure look amenity include Breakfast ( Continental / Full ) list Room Card make sure indeed include price . the thing room ( 206 btw ) item wall paper , rug couch look tired . sure hotel want guest positive first impression work even hard build good impression afterwards . now thing like hotel . first travel almost 17 hour close 24 hour , bed ( two twin ) really comfortable . part , sure , due maid take care room . really fine job make room comfortable . it ' also good thing able set wake call 37 " flat screen tv get morning . location hotel another definite plus . fly Gatwick take Gatwick Express ( also highly recommend ) Victoria Station . from quick taxi ( 10 min ) hotel . Gloucester Rd . tube stop across street hotel . also couple supermarket nearby well . Tesco across street next Tube stop Gloucester Road arcade . there find several restaurant Waitrose ( Fresh Market equiv . ) supermarket . on several occasion also try Pret Manager shop right across Gloucester Rd hotel quick free - range egg bacon sandwich Scottish raspberry breakfast bowl . also across street Stanhope Arms Pub english wife full English breakfast ( £ 4.95 ) . vegetarian version prefer real thing . well worth price consider hotel want £ 16.50 Full Monty . may also suggest fine English ( organic ) restaurant Old Brompton Rd . street hotel call Bumpkin . moderately price restaurant , wife Roast Beef Yorkshire pudding ( £ 17.50 ) Sunday Road Lunch . make sure try bread jam well . ( yummy ! ! ! ) communication side , Internet Café across Tube stop north Cromwell Rd get Barclay ' Bank ( BofA folk ) .It ' basement make sure look cross Cromwell West side Gloucester Rd find it . there Internet Café ' place offer internet service one everything look plus least expensive . I mention room ( Club/ Superior ) good size room certainly London standard . even though 2nd floor ( actually 3rd we colonist ) face Gloucester Rd , quiet . doubt due extra window casing subdue sound city . compare other write lack hot water , never problem temperature pressure water bathroom . even late afternoon , use bath one time , water warm comfortable thank much . there quiet heating / cool system room . say wife ask different room / hotel previous stay hotels noise system acceptable ear . case Bailey ' . make contact perhaps ½ dozen hotel staff courteous helpful make stay even pleasant . ' back . : ) 
 Jun 2 2009 	 excellent 	 beautiful hotel . 's locate opposite Gloucester Road station many restaurant bar around area . one walk upto Earl 's Court variety bar etc . hotel good Indian Restaurant London know Bombay Brassrie .. hotel minute away Hyde Park , Knightsbridge .. famous store like Harvey Nicols , Harrods ... overall service , room everything hotel excellent . 
 Jun 1 2009 	 good value great location lovely hotel 	 book weekend stay Millenium Baileys LastMinute use ' secret hotel ' option . mean get considerable reduction price room , confirm booking , not know sure have stay ... not disappointed . location absolutely great - right next Gloucester Road tube station surround lovely bar restaurant . fact , not book thing part london , could easily go every night local area never visit place twice . the outside hotel look stunning reception & amp ; bar area equally grand . agree reviewer corridor could redecoration clean tidy job fine . room far corner hotel , window two side . large london good sized , comfortable bed . bed big might find american hotel big bed home , two us sleep , enough room we spread ! bathroom also large over - bath shower . agree reviewer floorboard upstairs room ( 4th 5 floor ) noisy build 100 year old , creak floor expect . reviewer want homogeneous , sanitise disney - style hotel , probably go somewhere else - place something far interesting ... history . our room - rate include breakfast serve nice , compact dinning room . never problem get good window table dish contain wide selection food ( cereal , fruit , continental full english ) always available always full . staff pleasant helpful rare treat english hotel find receptionist native english speaker - not think ' ve experience number year . I could point little thing would change run hotel think would nit - picking would pretty unfair . lovely stay spotlessly clean , comfortable , great value money hotel fantastic location . could asked - definitely stay next time london . 
 May 28 2009 	 nice location - decent deal 	 book room hotel use lastminute.com . clean , spacious , well locate , comprable price Hilton Marriott States . give normally pay normally get , may find cheap hotel London , not think expect much well value . I would particularly recommend spot go spending time Museums Hyde park . 10 - 15 minute walk hotel . good feature tube . circle , district , picadilly line across street . Heathrow within 35 minute , Harrods 2 stop line , Picadilly Circus Covent Garden less 20 minute ride . 
 May 24 2009 	 Affordable Hotel Convenience 	 stay 6 night May , 2009 . book reasonable deal Londontown.com . Got non smoking room , double room 5th floor . room standard size bathroom . good shower pressure . flat screen tv variety station music channel . elevator . mini bar safe plus hair dryer iron room ( look closet ) . negative separate hot cold faucet bathroom sink . pillow could also stand replace thin . hallway quite worn find affordable option London . hotel could convenient tube . right across street Gloucester tube line serve Circle , District Piccadilly line . direct tube line Heathrow ( stairs luggage Gloucester station otherwise stair free Heathrow due elevator ) . hotel internet outrageous however . go across street either two internet cafe 3 pound get hour 's use vs. 8 pound hotel . starbuck across street well Burger King KFC be hungry US fast food . be also nice , upper scale hamburger joint across street well . street 24 hour small grocery market convenient ready make sandwich , snack , food item . 's also large supermarket locate strip mall attach Gloucester tube station open typical business hour . be also nice pub across street feel safe area night single female . book tour Golden Tours , pick point Millenniumn hotel locate door convenient well . overall , pleased stay . staff nice . price something could afford London tube convenience something need . 
 May 23 2009 	 Fine London 	 Back States , would give hotel much harsh review . however , stay much dodgy place London come realize get quality level comparable get States , would spend sum money can not justify . , price location , Bailey 's good choice . stay superior queen fifth floor . request quiet , smoke free room , pretty much get . floor crazy squeeky , ' m glad top floor . otherwise , would frustrating . room size large London standard , understand standard queen room small . the heat a / c effective , shower good figure use -- guess game every morning total four . bathroom clean . floor tile loose due flex surface tile , make move around bathroom little strange . internet access outrageous , wireless internet access , go across street Pret Manger cup coffee will hour 's free internet access . tap Pret 's internet service London , matter ! front desk personnel relatively professional . complain concierge , however . prior trip , call confirm would willing keep large bag we travel Lake District ( stay Bailey 's first night London , take three day trip L.D . ) book three night Baileys . phone assure would fine . check , however , concierge duty state allow . time come we depart L.D . trip , then - on - duty concierge happily take bag we . seem like get different answer depend deal with . the hotel lobby lovely , get hall lead room , age wear hotel become obvious . carpet wear stair part hallway . room , carpet fine . all say , hotel good value London would recommend basis . eat restaurant , nothing add topic . 
 May 23 2009 	 excellent british experience hotel reasonable price . 	 excellent value -- hotel right across Tube station 's super - convenient get around , easy walk distance Kensington Gardens . 's british , look service . lobby stunning ornate curving staircase , 's good bar right lobby , nice breakfast room great buffet . room large european standard . thoroughly enjoy . ' ve stay dozen London hotel like good ratio value amenity . excellent choice . 
 may 21 2009 	 consistently good 	 stay London quite lot business . stay variety hotel Millenium Bailey 's one favourite . excellent location , right next Gloucester Road tube , find consistently quite good . one occasion give tiny room poor soundproofing . general , room adequate size clean . room super - luxurious price good hotel stay tend know be go get - something appreciate . the breakfast ok , good selection , although pret manger across street think 's usually cheap get room rate get breakfast . 
 May 18 2009 	 positively brilliant 	 snag deal lastminute.com stay 2 night . love convenient location . minute away Gloucester Road tube 10 minute away Chelsea bar ; also several grocery store block . room decent size , immaculate , well - present . would definitely stay . 
 May 17 2009 	 Perfect location poor service tired old hotel 	 stay Bailey 's Hotel 3 day May base recommendation Tripadvisor , rate newspaper forum . experience mix . first , location perfect we . stay east area early trip , like convenience Bailey 's . pay breakfast part rate . check , offer 20 GBP upgrade free internet minibar . check clerk trying help someone could connect internet . warn tome , accept upgrade . however , internet work , despite 3 visit tech support . argue front desk get voucher access lobby . son working web site development throughout trip , access important . hotel never fix connection , offer we another room . find could hack onto unsecured wireless connection someone area , use , nixed room change . end 11 day trip not want waste time pack move . minibar almost nothing fail restock 3 day stay . room probably big room , upgrade basically ripoff . room lot window , one shade . sun rise side room window break window shade . hang jacket window keep sun wake we crack , come early London time year . other note , step hallway hotel . elevator slow , small . floor creak . overall hotel appearance old , tired building overdue rehab . I pay one night 's deposit reserve room , hotel charge full remain amount stay checkin . week checkin credit card account still show temporary charge full amount stay . fortunately high credit limit , 's problem , business cancel temporary charge within day receive full payment . the Gloucester tube stop across street , be perfect get around . go directly theater district shopping Harvey Nicks Harrods . hotel terrific area London , posh interesting neighborhood , world class dining shopping short walk away . staff efficient , particularly enthuse guest . experience well staff attitude Holiday Inn Express middle night North Carolina . that say , London expensive city visit . hotel rate good basic rate . stay , would get basic room , skip prepaid breakfast turn offer upgrade . number restaurant close coffee roll full breakfast need . would consider stay short stay . not high expectation . 
