good 	 well would like start think staff early check . must say complementary upgrade room would nice . however , normal room fine . great service throughout stay . valet , bellhop , server Coranado Cafe , everything great . always stay Vegas . 10 minute strip , everything need . strip mess terrible traffic . even see Floyd Mayweather play blackjack great casino . hope come back December . could however drop need charge $ 15 night use internet . 
 doctor order . 	 first , always confuse people downgrade property something could easily research . south Point frequently criticize far Strip . think point , far ' m concern 's strength , weakness . late trip take early morning drive Strip . thank . taste , sp perfect size distance action . rental nothing 10 - 15 minute away anyway . I also would prefer charge internet exercise room , fact norm LV . not know property offer complimentary internet gym access . criticize sp something everyone else not make sense I . so not , offer . money , little need spend stay SP , well property Vegas . recent stay pay $ 100 3- night stay . reasonable price get stay large , clean room would put shame many room high - end hotel . casino perfect size well . big enough offer variety game , large different zip code . during visit two fantastic meal - one primarily Prime Rib Silverado ( pretzel bread absolute good ) . stay SP , try buffet , also decide give whirl . satisfactory . nothing either overly complain compliment . in lead recent trip hard time decide stay . ' m happy choose SP , would happily . happily . 
 cheap NHL 	 cheap room bad sport book ! never see NHL Hockey game play sport book . 
 Aug 8 2009 	 really good customer service 	 place beyond expect . since hotel build recently , everything clean new . bed comfortable bathroom large w/ bath & amp ; body product . check - in easy every worker run helpful nice . would definitely stay ! 
 Aug 8 2009 	 great value ... far away ! 	 South Point pretty hotel . travel 6 year old 7 month old , not really gamble . appearance matter we , since matter daughter . everything clean attractive . bed comfortable hallway room quiet . pool nice , different area swim sunbathe . the Casino pretty smoky , appear rule Vegas . not eat South Point , Seattle 's good in - house really nice ( picky coffee not want use coffee maker bathroom ) . drive Vegas , think waaaaaaay Strip would not issue . not count difficulty navigate around Strip , next time probably stay little close action . drive South Point find way around ideal , turn out . I wish free wi - fi free high speed internet . cost $ 12.99 per day . overall , really nice place stay price . 
 Aug 7 2009 	 good value 	 stay South Point two night find room nice large . problem bed not well pillow awful - feel like stuff chunk foam . need car stay , one , 's quick trip I-15 strip downtown . pool area nice well . 
 Aug 6 2009 	 Good Value Great Hotel Poor Location 	 Typical Las Vegas Hotels , ground floor restaurant locate around noisy casino . food adequate , good value money . hotel good standard , clean , pleasant . pay less $ 40 per night per room - good value money . hotel room quiet . problem location - though strip , 6 mile south heart action ( TI , Venetan , Mirage , Caesars ' , Ballagio , etc ) . mediocre Outlet Mall 2.5 mile north strip . much well outlet mall 40minutes drive south Interstate 15 Primm Nevada / California border . on plus side load free parking space good access I15 , be useful not consider stay ' out - of - town ' location without car get around ! 
 Aug 3 2009 	 BUGS PENTHOUSE 	 decide stay local place first 2 day trip avoid weekend party people . gamble like give try . usually stay skyloft mgm . well room nice morning get big surprise . bug bathroom bad part bug inside new towel . not go stay . go really not want cause stir say low voice bug ' m leave . guy not even look say normal voice TYPE BUGS without look . already tell wife offer discount not take paying room . happen morning . not see towel use bed . ( guess luck pick 2 clean towel ) . not even offer sorry anything hand checkout form never look . get good laugh . thing say would send house keeping . like casino seem clean bug 2 bedroom penthouse top floor inside towel say beware . continue visit casino could never stay . 
 Jul 27 2009 	 late stay Vegas Great ! 	 travel Vegas 2 3 time year , time ( well last december ) , stay South Point Hotel Casino . let tell , first , charge group , need 87 room . sale department helpful understanding , even case last minute name change cancelation do . complaint . self , first , surprise room compe , upgradded suite ( 7 year ' ve stay Orleans never happen ) . suite nice , fancy say Bellagio Wynn , expect , less , great view . room service fine complaint , th e hole staff friendly . food good , Silverado Steakhouse bargain , primarily Prime . not chance eat Vito 's , mabe next time , let tell , Michael 's great old school restaurant , extensive menu , quality great , expensive great ! . Coronado Cafe well average good graveyard special . play , slot lot well ( loose ) place visit time . overall good experience , seem guy South Point try hard please teir customer , something use happen Orleans , lately . ' m plane return next Augus , time will Orleans compare . 
 Jul 26 2009 	 ' m never return ! ! ! ! 	 1 . poor shuttle service , $ 50.00 everytime want go somewhere , hour wait airport want wait shuttle . shuttle strip2 get room toilet paper arrive , 2 towle 2 people wife long hair , get ask come ! 3 . hot water 7 ; 15 4 . premium channle , ( super 8 , everyone gamble ) 5 . smoke fill hallway nasty , need smoker stay . 6 . food not bad , South point lack basic service high price hotel . 
 Jul 23 2009 	 great deal ! 	 stay two night weekend great stay ! coupon book give check - in great deal . not overlook $ 25 slot credit ( free money ! ) . wait 5 minute check - in . gift certificate free 2 night stay problem use it . hotel : standard room king - sized bed . Beautiful HUGE ! view pool area another building . Bath & amp ; body work toiletry ... nice ! bed comfortable room quiet ... although admit , not stay room much . try night eatery ( forget name ) price good food edible . 's gourmet not expect gourmet . disappoint promise 2 free meal one pit boss not materialize . CASINO : really like casino really good luck play roulette 3 - card poker ( except drunk guy walk take husband straight flush ! ! ! odd 40:1 ) . seriously , great dealer ( sorry not name ) . like casino much although stay Flamingo rest trip , come back South Point gamble . check nearby Resort be ... be really nice great restaurant . not go movie ... personally not go Vegas see movie ! also not check bowling alley . definitely buy alcohol store hotel ... price well around ( check ) .ISSUES ( well really ) : 's far strip like crowd deal . rental work great . 
 Jul 22 2009 	 say other good hotel strip ! 	 review long overdue try convey much remember . first , plan stay hotel , car rental must ! price car rental hotel , stay South Point still come less other strip . room exceptionally appoint plasma , large bed roomy . food great service good other . hotel / casino nicely appoint , awesome pool , convention center , nightclub , etc . comporable high end hotel strip ! 
 Jul 21 2009 	 South point good deal 	 negative say South Point far away strip . we problem room key card incredibly frustrating . replace time either became demagnetize defective lock . know . other , easy navigate conference nice walk 2 mile get hotel room conference room . Buffet leave much desire , Deli restaurant good . find hotel room comfortable spacious like toilet shower separate rest bathroom , come handy 3 girl share one room . because strip , less expensive . go Vegas strip , stay hotel close vehicle . otherwise prepare take bus pay expensive cab ride . 
 Jul 19 2009 	 sure hotel take money deny service floor 	 husband sit Black Jack table , literally 5 minute , wait friend . lose $ 350 5 minute , dealer told not allow play black jack South Point anymore .. allow play game available ! ! ? ! kind business run ? plan let everyone know give casino money ! ' m appal 
 Jul 19 2009 	 nice room decent property 	 actually stay south Point couple time . room top - notch nice four - star property Strip . love big plasma t.v . 's large bathroom large room . the drawback hotel good vehicle get around since several mile everything . buffet good all . other , plenty amenity , like bowling alley movie theater . cafe decent couple restaurant good . I would definitely recommend stay not need stay Strip . 
 Jul 19 2009 	 pay get ! 	 stay 3 night hotel . check fast . room nice clean . complaint standard pillow uncomfortable bathroom shower head pressure low take forever rinse hair ! not recommend eat restuarant ! big disappointment especially stay hotel want convience eat . food great ! well eat outside hotel . plenty restuarant 1 mile 2 hotel 's plus ! plan hang strip , recommmend stay strip , want drive not mind pay $ 25 taxi bill travel back forth hotel . nice place sleep not think book another stay .... 
 Jul 18 2009 	 Great Hotel Great Bargain 	 book room two night June $ 35 / night . read great review decide take plunge price could beat . we excellent time . room huge ( 500 square foot ) large bathroom . shampoo lotion Bath Body work , nice touch . bed comfortable room , quiet . never hear peep room either side , hardly see anyone hallway . lovely . thing would like see room would mini fridge keeping drink cool ( instead use ice bucket ) . , room fantastic ! room face freeway pool , fine . although not spend time pool , look really nice well keep . plenty towel morning staff hustling get clean ready . during time SP , bowl cheap coupon give we check - in . fun , crowded . also partook breakfast buffet buy one get one free special , think $ 9 we . food not super fancy , fine service prompt pleasant . hotel bar happy hour special 4 - 10pm , $ 1 drink . , not partake ( be huge drinker ) 's good deal . the gym facility cost $ 15 / day believe . rather pay , drive 24 Fitness right street use membership . plenty grocery store chain restaurant nearby want purchase dinner get water snack room . parking hotel , course , complimentary . be go back anniversary week , $ 35 / night ! will hit pool movie theater time . 
 Jul 17 2009 	 great place smoke unaviodable King bed 	 need place close rental car drop airport South Point good choice location . see Hotwire $ 39 grab . course South Point run special 50 % could room $ 35 . either way be still bargain . check - in 10 - minute wait complaint . big issue South Point smoke distribution . right away smoke hit walk inside register . really unavoidable , one need walk casino reach elevator , travel parking garage , use one restaurant . tell ' m east coast everything smoke - free . we love room , king 20th floor overlook pool mountain distance . roomy include bathroom . must pretty thick wall hear nothing sleep night . , elaborate tv 's offer hd channel . yes hotel distance strip . however lot . pool complex nice big . second floor offer movie theater , 60 lane bowling ally , bingo center arcade . course casino sport book . say tolerate smoke participate little gambling . grab bite eat deli . kind ironic many restaurant open casino floor , ask smoke . guess never hear drift . I see charge internet access many hotel , charge $ 15 use fitness center ? totally disagree decision . get coupon book checking . save little cash deli . 
