nice 	 okay , will start say teenager travel often , know fair share hotel . go New York mom great aunt visit family see city . choose Novotel picture website ; be modern , clean , white colour . get , lobby nice , like website show , white accent colour granet counter . service good , pretty average . soon get onto floor ( 12th ) , drastic change . wall orange blue accent mark . get room , turn light almost cry . expect nice white room , feel step dingy motel Arizona Mexico . drape bedspread generic hotel print , wall odd splotchy orange , green metal windowframe . almost expect cockroach spider come wall . add , bed uncomfortable lipstick smear pillow . time upset , special trip birthday , beginning not expect . make thing bad , buy wireless internet not work . the bathroom , however nice . part room modern nice lighting makeup , shower not nice . shower floor bumpy , come away floor . veiw also nice , good ; overlook top dirty building , crowded city not shocking . food service good ! one good in - room meal ' ve have . I ' m mean turn hotel people , comfort level . many people say come city see city , hotel sleep . hote one important thing ; 's place feel safe get good sleep long day . feel safe hotel . stay 2 night , switch hotel . 
 Professional friendly staff beautiful hotel 	 Chose hotel due excellent impression make senior hotel manager later staff encounter . room quiet , clean beautiful view Times Square . location convenient everything midtown Manhattan , especially theater district . stay base upon satisfy experience . 
 Jul 1 2009 	 great location overlook Broadway play Times Square right around corner . attraction walk distance 	 visit New York city first time October 2008 fall love ! beautiful city , everything close . walk everywhere . stay Novotel New York Times Square hotel great location . right corner Broadway ( theatre ) block Times Square . couple block Firth Avenue shop Rockefeller Square . people New York friendly polite . also helpful . anyone see map , ask help . tip - see Statue Liberty take city bus Broadway ( $ 2 ) end get Staten Island ferry terminal . walk onto ferry ( free ) sail across island . go right past Statue . walk ferry get back side see Statue second time . go across still sunny , come back sun setting . get great photo . spend lot money harbour tour Liberty . great area sto explore Canal Street , Greenwich Village , Soho , Macy 's take bus Broadway area $ 2 . ask transfer use get onto another bus go back way ( another location ) within 2 hour , believe . great way get around New York quickly cheaply ! take bus Central Park one day walk back along Fifth Ave visit Plaza Hotel along way also . beautiful . definitely visit New York . love weather great entire week visit . 
 Jun 30 2009 	 good hotel room need update perfect location 	 stop hotel honeymoon find good value money . perfect location times square . room clean need update . 
 Jun 26 2009 	 ok NYC 	 average hotel good location . clean enough , staff friendly , job . offer porter help luggage example . room ok , clean enough , need refurb . poor tv channel selection . 4 elevator 33 floor mean sometimes frustrating wait . 
 Jun 21 2009 	 avoid hotel horror staff hell 	 back 3 - day trip New York mum . we enjoy city like central location hotel . when arrive , guy door shout fellow group member bring luggage along quickly enough . , whole grope squeeze two tiny elevator reach check - in . staff really rude Tour Leader , tell " get group way " tired tourist crowd front desk … hey , ? cow ? room get look modern ( like 80 ) , clean . get call TL look suitcase miss . find two hour later , elevator ! staff put suitcase wrong room guest get put elevator ! owner , course , happy get suitcase back , experience anything pleasant . moreover , even get WORD excuse STAFF ! ! ! sleep well breakfast ok , . second evening , member group want drink hotel dinner sit one small table next bar , wait … and wait … and wait . finally , TL get walk bar ask one 3 staff member stand watch tv could something drink ! LOUSY SERVICE ! ! ! … but ' tell worst yet : last morning , mum finish pack suitcase go bathroom one last time leave . then … it happen : flush ' stop , water start creep toilet floor … and , course , phone reception work ! run ( 26th floor ) reception call help . get back , whole room flood – nobody . think take seriously … my mum rescue thing room , run second time . time , try make clear EMERGENCY needed help . come back , water already come door corridor , FINALLY , someone arrive , walk , slowly . , word we , excuse , look … you surprise tell never hear word excuse staff , get free drink apology direction . avoid hotel . expensive , old bad staff Hell ever see … 
 Jun 17 2009 	 Great Location 	 hard beat location , room 22nd floor directly overlook Times Square look Broadway - find hard believe would well view anywhere . room quite tired obviously smoke room past smell quite unpleasant . closet door break room safe work intermittently . say , bed comfortable reception service excellent - manage check 2 hour early . also well soundproof undisturbed get good night ' sleep . service restaurant average numerous occasion , staff would argue public , detriment attention customer . addition , constant , sometimes explicit , pressure tip staff - even buffet breakfast irrespective quality service ! fair though , staff member good receive tip we . food generally good overall ambience . overall , would recommend stay hotel downside minor niggle oppose significant issue . 
 Jun 16 2009 	 brilliant location - comfortable hotel 	 travel New York daughter 20 . arrive Novotel hotel Times Square early check - in , lose track time . however , room 12th floor ready . reception staff friendly approachable felt welcome . the room perfectly adequate two large king size bed ( book twin room ) . room almost overlook Times Square air - condition . flat screened tv free internet access tv surfing net . want send e - mail home charge $ 9.95 24 hour internet access . ice machine couple door away room useful . iron full ironing board also not expect . nice comfortable bar area outside terrace 7th floor sunbed outdoor sofas . drink serve evening really pleasant , although bit expensive . dining room / breakfast room ( Nicole Cafe ) lovely . like conservatory 7th floor directly overlook Times Square . not evening meal restaurant , American Breakfast Buffet really good something everyone much eat - although cheap . room service excellent sample two evening . food arrive within 20 minute portion huge share meal second evening . concierge staff front door staff look luggage extremely friendly helpful . I would hesitation recommend hotel stay . well place Broadway show show Broadway . enquire see show price ticket $ 124 far exceed London show decide . find last day temporary cash booth sell discount theatre ticket Times Square step use take photo Times square . long queue may well worth wait . 
 Jun 15 2009 	 great hotel - come back ! 	 return 2 night Novotel fantastic . last minute trip - price right , staff freindly helpful , location perfect . would definitely stay ! 
 Jun 14 2009 	 Fantastic hotel 	 stay Novotel Thanksgiving 2008.after long flight Ireland , delight arrive warm , clean , centrally locate hotel . pay little extra view Times Square - well worth ! view wake ! bed SOOO comfy ! downside Novotel not want get early start - much pack short trip . the staff friendly , reception door . hotel great location - close anything want Manhattan . bit pricey , admit , anything decent top location . would DEFINITELY recommend hotel friend would return ever lucky enough visit New York . 
 Jun 11 2009 	 comfortable ... convenient 	 centrally locate .... facility would need available ... staff good .... else good 
 Jun 6 2009 	 Best Times Square View 	 i´ve stay family last march 2009 . first we´ve stay 12 floor , problem one bed , need move 16 floor . staff take complete day solve problem relocate we . in room stay front Times square , magic . the location perfect , near Rockfeller Center , Madame Toussaud , central park . if good leg walk go foot empire state build Natural History Museum . 
 May 28 2009 	 Hard Beat Location 	 Hotel locate north heart Times Square . convenient subway station , Broadway theater , Central Park ( south end ) , Fifth Avenue , Rockefeller Center , Columbus Circle , Carnegie Hall , etc . check 3 pm luckily room ready . view not want pay extra one . room bit rundown ( wear carpet & amp ; upholstery ) acceptable . find someone 's old sock underneath couch . least room large give toddler son space run around . 's happy , be happy . friendly front desk staff helpful concierge . enjoy pricey dinner Cafe Nicole - hotel restaurant - view overlook Times Square . toddler five - course meal . great service wait staff . free internet access room . spend 4 night . think room drafty noisy notice last morning pack leave window slightly ajar entire time . check window carefully , stay probably would comfortable . still , noise not bother we toddler sleep well . , be happy , . 
 May 26 2009 	 Excellent Hotel great location 	 great hotel tourist want see NYC . great location 10 minute walk Central Park . right Broadway great view Times Square . we travel young child ( 2 year old time ) . room great spacious clean pay extra view times square great night light . pay extra breakfast lot place around hotel serve great food day far well value . 
 May 21 2009 	 Greeat Location ! 	 hotel nan ideal location visit New York ! Broadway perfect shopping , sightseeing definately take show ! ! ! West Side Story world , total highlight trip ! not expect anything flashy hotel room really clean big bath shower exactly look 5 day trip ! ever room sleep quick shower go dinner ! extra perk hotel doorman look bag day check still go enjoy day late flight home like . charge dollar bag well worth ! 
 May 21 2009 	 great location - love 	 first trip ny great central location touristy stuff . tour bus outside , time square outside , central park 5 mins.room nice clean , 30th floor view times square squashed face window : ) .check in / out problem . the bar excellent balcony outside , expensive $ 6 beer + tip.would defo return . 
 May 19 2009 	 Loved ! 	 stay 4 day Jan , good hotel ever stay . room big , big taught would . bed comfortable soft . location great , staff really friendly helpful . would never stay else , rate great , book website . Defo go back , would look anywhere else , recommend friend . 
 May 17 2009 	 Novotel adiquate 	 book stay Novotel read report 's trip advisor little worried , however suprise @ close everything . times square literaley round corner , central park five min walk away theater district doorstep shopaholic .. well get back may need time rehab . hotel well expect , food know nothing eat time find price beer bite much $ 8 , room clean enough somebody mention noisey elevator hear nothing . quiet like layout cafe . hotel fine return New York one day need four day see everything wan na see 
