fine 	 quality room service expect Hilton : average . location make perfect stay . right edge China Town 10min walk many good restaurant Columbus Avenue . much well location Embarcadero around Union Squaire . defintely would stay . 
 Jul 7 2009 	 low key clean decent location 	 Hotel meet every expectation . check - in staff friendly professional . room one king bed clean roomy . room face North give we nice view Coit Tower partial view bay . window extend across entire wall room give panoramic view outside . not like room contain unmovable wall - to - wall desk front big window prevent stand close glass get well angle 's outside . bed extremely comfortable ... fact , well bed ' ve ever sleep . one surprising thing miss refrigerator mini - bar . high end hotel ' ve stay case . lobby area hotel quiet simple ... near big dramatic big Hilton near Union Square . lobby area Low - key not feel like & quot ; big city & quot ; hotel . even restaurant lobby level tad boring . sense style pizzaz ... fact , even separate room ... open lobby area . expect something little upscale . location Hotel pretty good . couple block China Town . Union Square North Beach also walkable distance away . Coit Tower nice uphill walk away well . overall , want clean , comfortable , place stay near downtown not care little boring , place . little noisy other say not seem bad . Sunday night , garbage truck make round result lot metal banging last 20 minute . 
 Jul 6 2009 	 great view location ( like walk ) . 	 pro : ( 1 ) staff helpful courteous . ( 2 ) panoramic view Coit Tower 17th floor beautiful . ( 3 ) bed comfy pillow comforter . con : ( 1 ) bathroom slide door , door shut ; fan . ( 2 ) mother eat dinner breakfast on - site restaurant . wait long time serve receive dinner order . breakfast service much improve , food overprice ( tip , $ 50 two ) . take prior reviewer 's recommendation eat nearby Garden Restaurant , serve ordinary breakfast $ 20 two . ( 3 ) refrigerator . a hotel urban city noise . problem exterior noise . interior noise hear neighbor adjust shade . we experience long wait time elevator like other have . the location great , want take public transportation , would take quite hike . hop hop tour bus , however , pickup / dropoff right front hotel . 
 Jul 5 2009 	 clean professional efficient 	 always great stay . bring professional investor time . always business perfect . thank - you . 
 Jul 4 2009 	 nice complaint 	 weekend package otherwise could afford within walk distance chinatown union square able rent car excellent service even respected privacy sign call later check need anything slightly noisy outside use buffet coupon AAA treat like star impressive lobby 
 Jun 28 2009 	 well do hotel - neighborhood 	 Hotel well do . mark improvement sister hotel ( San Francisco Hilton ) . beautiful lobby , large salt water aquarium decoration . staff go way refer name . concierge staff well average . room spacious ( SF ) beautiful view harbor . neighborhood leave bit desire . hotel really periphery Financial District , number run - down , low class restaurant shop . encounter rather low - class prostitute ride elevator night beg use key card unlock & quot ; friend 's & quot ; floor . only side hotel 's three elevator insufficient hotel size / height . overall , beautifully do . block southwest . free WI - FI ! ! ! 
 Jun 27 2009 	 nice loud 	 Room fine , standard Hilton fare -- exclude tv not upgrade LCD yet . real issue noice level . even window shut 19th floor , could hear everything street . make Doubletree Times Square soundproof , think could make little effort upgrade window . say , still not find quiet hotel SF . 
 Jun 13 2009 	 pretty nice hotel noisy time . 	 complete 3 night stay inaugural trip SF . hotel nice spotless , appear pretty new renovate . standard double room 21st floor , find adequate . thing room lack small fridge microwave , otherwise fine . free WiFi huge plus ! bed comfy , bathroom fine . bathroom door slide outside , not lock , seek ultra - privacy . nice crisp linen towel . I use fitness center day , be pretty good hotel . enough cardio machine , well free weight LifeFitness machine . my big issue hotel noise . 's big construction project next door , noise go past midnight 2 3 night . hear earth move equipment 1 am ridiculous . 's insane city like SF allow construction take place late night . well , firehouse nearby , expect lot siren . also , wall hotel thin , could hear people next door speak , well person use bathroom . one thing .... sure call financial district Hilton Chinatown . fact , Chinese Culture Center locate hotel ! overall , nice hotel , wish quieter . 
 Jun 7 2009 	 bathroom door not lock fan 	 title explain . book hotel pay little club level get rid club level perk economy . also pool close upgrade occur financing . Club Level - Hilton never inform we long honor club level even reserve online still offer club level reimburse we additional cost inconvenience . fan purposely book club level ( additional privancy ) end take time make additional stop elevator goin . complimentary Breakfast continental could pay $ 5 upgrade ( egg / bacon / sausage buffet , etc . ) omlette . 7 we stay stay Hiltons disappoint . disappoint receive complimentary drink per Club Level description even diamond member . Wine Bar - online indicate & quot ; club & quot ; 's area ( like bar ) lobby level right walk closed time . serve coffee not open early . Decor - modern staff friendly professional . location great - close chinatown north beach ( little italy ) .Free wifi nice apparently fitness center free - check . nice know exactly hotel sight seeing next TransAmerica tower . we fabulous time , despite negative aspect accomodation , company travel . 
 Jun 6 2009 	 interesting part town ... 	 King Bayview room 16th floor two night . great view city bay . excellent location chinatown close restaurant , club late night food . staff friendly helpful . get complimentary champagne fruit basket anniversary . annoy $ 70 phone charge os call last maybe 10 second . 
 Jun 5 2009 	 amazing hotel heart SF 	 stay part busy trip west coast love . location fantastic , plenty parking room be brilliant . pay extra room view well worth . room feature huge desk stretch across enormous glass window , watch city light amazing . we 2 day SF not spend much time check hotel feature staff friendly whole building spotless . nice water feature , bar lighting really help make place stand . ' ve stay several Hilton hotels east coast place really put shame . stay soon possible ! 
