view 	 grand hotel . size current standard , ' high location result view provide . hotel host US president Hoover Ford , earn status top hotel San Francisco ~40 year . the hotel maintain classical elegance , keep good balance old look modem functionality . unbeatable feature hotel view beautiful San Francisco city . stay room 12th floor face Union Square ; view room already impressive . although many people afford set foot presidential suite 18th floor , one ' need rubber bank spend couple hour Top Mark restaurant top floor building . near 360 - degree view good part San Francisco city really breath take . may convenient hotel business traveler . hotel locate top Knob Hill . street lead towards hotel steep bus line go . form public transportation serve hotel cable car , tourist attraction reliable transportation . parking space limit cost $ 55 day park . besides , convenient go place city like San Francisco driving . taxicab easy find rush hour many cab want cruise steep Knob Hill spot available cab stand . hotel provide complimentary transportation service financial district union square district weekday , first - hand experience . ideal hotel tourist fit enough climb couple hundred yard steep hill . hotel serve three cable car line , take Market Street , Van Ness Ave , Fishman ' Wharf , Ferry Building Ghirardelli Square . 10 - 15 minute hill walking take China Town Union Square . cable car crow early morning dark . even busy hour , California Street cable car less crow , case one need go back hill afternoon take rest . major part enjoyment stay Mark Hopkins visit Top Mark restaurant bar , , ever - change San Francisco weather cooperate . opinion daytime view well nighttime one . extremely luck stay : marine layer clear strong wind early morning , bright sunlight illuminate Grace Cathedral building low angle , clear blue sky Golden Gate Bridge back drop . million dollar view we stare enjoy breakfast . ' high expectation food , turn much well expect . OJ good ; coffee ok ; fruit fresh plenty choose ; pastry good . top usual suspect hotel breakfast buffet , array cold meat , 10 kind cheese variety smoke salmon choose . even several kind chinese dim sum respectable quality present bamboo steamer , remind people San Francisco hotel . price breakfast buffet reasonable $ 28 per adult , $ 17 per child 12 year old . thing strange bill 15 % " service charge " another 15 % " service gratitude " . since total bill inline expectation satisfied view , ' bother ask two service item bill . thing cross " tip " line bill . little bit outrage ask tip charge 30 % service already ? give 5 value get good deal , probably bad economy . 
 Jun 9 2009 	 good location confortable stay 	 stay Mark Hopkins honeymoon February 2009 . arrival chocolate cover strawberry champagne await we lovely touch . the room great fantastic view . location good right near tram line . go may stay bit close Union Square e.g . Sir Francis Drake Hotel . the bar Big Four round corner nice cocktail . Cheesecake Factory Union Square good . jack bar Fishermans Wharf cool . 
 Jun 6 2009 	 Beautiful luxurious treat like queen entire stay . 	 look style city place ! bit pricey worth every penny . room upgrade wonderful night manager & quot ; Aldo Martin & quot ; amend past problem . place huge , elegant , room bath spa , beautiful decor ... awesome Anniversary gift ! view Alcatraz , Bay Bridge golden gate room ! incredible ! hotel within walk distance shopping , China town many restaurant . eat room food incredible reasonable compare outside restaurant . classy place stay staff accommodate ready fix problem , take responsibility make thing well right ! ( describe ) . already back go . 
 Jun 5 2009 	 great place 	 Mark Hopkins fantastic hotel great location . read people ’ complaint street noise first realize big city noise expect . 6th floor room hear single car , anything vacation ruin . walk around area rather hilly , hotel nob hill ... hill San Francisco , prepare walk regardless . bad walk good , especially food eat . hotel amazing . ' beautiful , picture describe . reserve standard room . nice , great view city , even 6th floor . maid service really good ; really quick superb job . top Mark great . staff friendly , even though order coffee . Waiter seem always aware coffee low fill cup . the front office people bell staff efficient rather cold . work hotel hope level friendliness . my Girlfriend work concierge Las Vegas email concierge staff local information . receive general reply several web site , nothing even remotely helpful . the front office agent efficient seem interested anything finish check . doorman ask cab became fluster even though one request one . one open door we , several bell / door / valet stand watch we carry personal conversation , even bother say helloall explore city , hangout hotel , nice . despite employee general cold feel enjoy hotel much . hotelier i d suggest property anyone ' needy tendency want ask several question . it comfortable bed , great location , ' need . 
 Jun 4 2009 	 3 day Mark Hopkins ok hotel good location 	 stay Mark Hopkins 3 day begin June . on check tell two bit news we . first upgrade great view . excellent thought . tell we next news smoking floor not non smoking room leave . great ..... pay $ 99 per night hotels.com not go kick fuss . pay full price probably would complain . we vallete car , way $ 53 day headed room . the hallway stinky smoke worried room . get room not stink smoke old musty hotel smell . the room nice . old , stinky , rot wood bathroom toilet not seal properly tank refill every 10 minute . one good thing bed . go top mark one night . bar topof hotel , local landmark . ok drink price crazy . the location close large hill main Union Square area prepare . well locate hotel square . overall , ok $ 99 . not think worth . 
 Jun 2 2009 	 overprice stingy luxury 	 locale super : cablecar cross front beside hotel Nob Hill address . corporation own Holiday Inn Express provide breakfast free internet , surcharge everything almost deluxe hotel . okay , free breakfast not go happen place menu list prix - fixe offer 62 $ , 's 21st century : internet free 365 $ room , additional 13 $ per day . smarmy staff Intercontinental Club , exclusive room 60 $ per day buy room sort class - drive snootiness arriviste enjoy , grate boot - lick willingness whatever take make feel superior everyone else , except course , hotel . country prides equality democratic principle , throwback class - drive , oligarchic model unpleasant treacly . Business Centre joke , slap - together response need leave largely unfilled , though unbille , everything , except elevator ride room surchargeable . 
 Jun 1 2009 	 Top Mark - top ! 	 great deal room . Nice Room . friendly front desk terrible hostess Top Mark lounge / restaurant . rude ! ! ! ! ! ! ! ! surprised facility allow staff . 
 May 31 2009 	 right top nob hill - walk distance everywhere .. 	 walk distance everywhere interesting .. do not mind really steep hill course : ) wonderful old property , historical landmark too . great view Top Mark restaurant ( chef tell french - explain cold cut really fresh croissant find along usual bagel egg bacon sausage american meal .. take frenchman make really tasty croissant , somehow ) : ) ' ve stay four five time far ( regular venue conference attend ) . can not wait go back ' m vacation rather work . even fly way san fran India .. do not mind , hotel relax . 
 May 31 2009 	 even think stay Mark Hopkins 	 stay Mark Hopkins special event . usually stay Interconti hotel around world without doubt hotel deserve part intercontinental brand . service lousy room show sign lack investment care . inform check - in order cut cost , management decide cancel room service 11am till 5pm 11PM ! ! ask second chocolate square turn service cleaning lady tell demonstrate wife really stay manager count chocolate square number guest end day . management concerned count chocolate square treat customer right front desk . ask talk manager , never hear . mess bill check . top charge 50 dollar park car . summary , hotel use luxury one , new manager take cost cutting mission run intercontinental like cheap motel . go San Francisco go Freemont choose real cheap motel . 
 May 26 2009 	 Great Value Right 	 spend four night Mark Hopkins Memorial Day weekend . good choice , location - wise , although typical touristy sightseeing . 's locate top Nob Hill , everything find downhill hotel , afterwards , find way back somehow . good view TransAmerica build hotel . Nob Hill location windy , particulary night less early morning . cab plentiful hotel throughout city ; 's doorman hail . also hail cable car front hotel use whistle . underground parking hotel ( be expensive approximately $ 50 per day ) , well small lot outside lobby pick - up drop - off ( rather busy street ) . lobby area attractive , 's business center , café , fitness center floor . gift shop close month ago , need anything , must walk across Fairmont Hotel use -- slightly annoying hotel renown . mini - mart type store immediately surround hotel , walk block . top Mark popular hotel guest other . peek Sunday night , drink dine . believe prix - fixe menu certain night week , along live music later evening $ 10 cover charge . room nicely decorate small size ( upgrade deluxe room ' m Priority Club member , ' m sure standard room like ; deluxe category may floor location rather size , however ) , bathroom well - appoint large . decent toiletry , towel , sheet , iron , umbrella , alarm clock , minibar , hairdryer . room décor modern completely -- cd player ( iPod docking station ) regular tv ( flat - screen ) . internet $ 12 24 - hour , could use entire stay , necessarily concurrently course one day . cab airport $ 45 take approximately 20 - 30 minute ( without traffic ) . get great rate approximately $ 120 per night , certainly due bad economy lack traveler . would not hesitate stay , especially price ! 
 may 22 2009 	 Skeptical pleasantly surpise 	 like many , read review time time wonder be real simply hype . fascination Mark Hopkins date back movie & quot ; Bullitt . & quot ; find have travel San Francisco business , decide stay hotel . would good review hold ? check hotel around 11 p.m. Friday night . book King Bed Room Executive Club Floor . call early day inform hotel would arrive late . deal promptly professionally call . upon arrival , drive directly small parking area California Mason St. valet attendant help bag way . I greet friendly attendant front desk . good news . upgrade Deluxe Terrace Suite . entire transaction take less 5 minute . way room 15th floor . first thing first , historic hotel old . get . place mean run . enter room , find nice couch , computer desk , television , fax machine one room . separate dining room along enclose terrace room provide amazing view San Francisco . , dining room large bathroom ( hot tub style bath ) large bedroom read chair table . on scale 1 - 10 , rank size suite 8 . perfect size . feel like apartment . amenity , would give another 8 . suite include hairdryer , shaving kit , bath robe , even turn service night . good , suite elegant design . now negative . other report , definitely hear noise street . apparent late night day . could hear car alarm go , cable car go street , even loud conversation 15 floor . yes , people shut door hotel room , hear room . noise neighbor , problem . could hear people talk hallway night , noise neighboring room issue . downer parking . Valet parking expensive , town parking spot , be expect . as room service , fast , people friendly , food good . unfortunately stop service night 11 p.m. course , stay recommend drink Top Mark . sunset Saturday evening . view ! see Golden Gate Bridge distance . place bit crowd , yes , people reception desk bit snooty , place worth visit . waiter great . favorite drink Snow Cone Martini follow Jack Manhattan . in , really enjoy visit Mark Hopkins . suite amazing view PERFECT . make street noise noise hallway . would definitely stay . course , would opt suite view really want experience hotel well . 
