beautiful 	 book hotel June November read TripAdvisor review . read particularyly disturb story shabby bedroom poor service even lady night go business hotel would tempt book elsewhere friend pay full booked option . receive e mail hilton concierge service prior departure reply tell concerned standard room read bad review request refurbish room . recieve reply state request note refurbish room available time check would comply request . arrival check two hour early tell room ready go straight 12th floor . room absolutely fine clean overlook quiet courtyard extremely relieve ! explore public area hotel absolutely beautiful . really impressive hotel fascinating history . everyone hotel helpful , service staff first class could ask . barman mixed cocktail delicious nothing much trouble staff anywhere hotel . trip 50th birthday present friend hotel put bottle spark wine lovely welcome letter room considerate touch . conclusion would thoroughly recommend hotel anyone . lovely time would return future . 
 would not put dog 	 offer & quot ; luxury suite & quot ; compensate previously substandard accommodation e.g . peel paint ( probably lead ) , unclean room , furniture miss part , etc . picture already site pretty much tell story . & quot ; luxury & quot ; suite nothing like brochure would believe . Old 60 's era furniture , utterly unclean . kitchenette still spill coffee previous occupant stove ? not look like clean year . grunge leftover food . downright gross . ruin anniversary . 
 Aug 31 2009 	 great room great service great location .... 	 opulent hotel lobby wonderful decor meet expectation . plenty bar resturant although quite expensive . room clean , well equip bed comfortable . ultra modern hotel charm lie history architecture . location walk distance major attraction would definately visit . 
 Aug 28 2009 	 miss top rating 	 everything hotel exceptional . , afterall , historic reputation cater rich famous . give room ( mini - suite ) 16th floor window two side . interesting see one time two room remodel & quot ; mini - suite . & quot ; pleased size room , view , bed - comfortable . couple problem : 1 . bathroom could clean - hair notice floor . 2 . balcony - expansive - obviously repository smoke . see photo . inexcusable . cursory glance around balcony staff would take care issue . -- - expensive , anniversary . 
 Aug 26 2009 	 Great experience definitely stay ! 	 stay Towers room great ! amazing view well ! definitely stay . normally stay Sheraton New York even begin compare two ! staff really friendly unlike Sheraton rude really interested ! staff breakfast room could little nice ! almost like we favour ! 
 Aug 26 2009 	 experience New York stay Waldorf Astoria ! 	 would deffinately recommend hotel anyone want ultimate New York experience . 's location fantastic first time visitor experience traveller . nestle perfectly Park Avenue stone throw away Grand Central Station must see , make easy get around , impossible get lose . also within EASY walk distance central park , rocker fella centre many attraction . tap address google map see ! ! ! within hotel greet helpful staff credit hotel . everywhere spotless . room huge come facility iron , hair dryer satelite television offer decent range programme . although find power output electircal appliance hair dryer straightener weak use , lady may get little early perfect hair ! ! ! food amazing variety suit taste . although cheap , necessarily expensive consider expertise chef cooking ! ! ! every day say award win chef prepared lunch ... well stay Waldorf . you get impression Waldorf attract & quot ; type & quot ; traveller , always range people wander awe around lobby business associate family , couple . hotel cater need 's guest individual basis , make feel invite part hotel family ( fish water ) partner would never contemplate stay anywhere else back soon possible ! ! ! ! 
 Aug 25 2009 	 good value ... trip zoo 	 Waldorf grande dame New York hotel . joke . swarm ill - dress tourist slouch around once - famous clock central lobby . anyone wear suit tie feel desperately place . however , appear lobby business attire , realise reserve NY hotel Hilton dumbe property beyond redemption , thing look . likely single staff member extricate maddening horde , whisk private room lobby check super politely super promptly . Waldorf 's way apologize former clientele welcome touch . I find junior suite Waldorf one good value New York , price regular room Regency across street .. hold nose elevator would never consider go hotel restaurant linger lobby . , behind locked door bedroom , spread large , comfortable space relevant amenity .... though bathroom still small old - fashioned . 
 Aug 24 2009 	 Waldorf amazing piece history . 	 stay Waldorf past weekend unforgettable experience . service , staff accomodation excellent . hope upgrade request Tower level room make husband birthday surprise top unfortunately one available . corner room nice large . concerned small room three people . hotel quiet clean architecture impressive . single column without detail . pride craftsmanship truely make hotel must see nest trip New York . 
 Aug 22 2009 	 elegant hotel excellent staff 	 book double double Waldorf booking agency assure would large enough family group . one adult , two teen seperate gender . on arrival check rollaway bed room tell size room would accommodate rollaway . one look tired face reception staff swung action , time instal two roomed suite . one king size bed bedroom one double bed setee one rollaway bed room . room beautiful , clean fresh sign wear tear . the daily staff accommodate helpful time . lobby course grand every sense word . locate near Central Station find hotel ideally place easy walk distance shop , restaurant Central Park . the thing miss ability make cup tea wake 5 morning , small niggle . 
 Aug 21 2009 	 bring pant 	 make quick two night trip NYC wife 's birthday . book on - line take offer upgrade available check . agree three upgrade option wound get two bedroom suite . rate $ 329 / night . clearly part stay Waldorf story past . indeed , lobby ooze old time class . although ' m sure strictly enforce , ask man wear slack collar shirt 6 pm . room comfortable , bathroom kind small . also wireless internet room . ( room wire lobby wireless . ) hotel close subway stop easy walk Radio City , etc . , really not whole lot shopping place restaurant right nearby . 
 Aug 21 2009 	 Classic Luxury 	 hotel undeniably gorgeous luxe ! probably elegant hotel ' ve stay . although must remember old . stay plumb small problem , helpful staff fix right away . boast well brunch New York City psssttt- see famous people ! ! expensive though , usual business class hotel . 
 Aug 21 2009 	 good place stay 	 return three night Waldorf . stay tower room , regular one . due varried review , must old redecorate room . looked recently redecorate . nice bathroom real medicine cabinet shelf . plus . bed comfortable clean . old hotel , keep nicely think . staff extremely helpful . only problem encounter book ( web site ) . realize put wrong info ( change price way ) . call customer service number update info rebooke $ 100 ! call back speak numerous people , manager Waldorf correct error . also decline minibar key checkin ( make note account ) . hear numerous problem minibar not want argue . 
 Aug 19 2009 	 real dump ! ! 	 room appal , dirty small . book 4 adult give room 2 small bed tell nothing else available . place really live 's name need million spend bring date . room dark dingy , bathroom dreadful dirty . lobby nice that s thing spend money . restaurant extortionate even good . recommend . location ok though . 
 Aug 15 2009 	 Waldorf Astoria - great location 	 Stayed Astoria , find great hotel excellent location . the Greyline bus tour stop door , handy frontThe hotel one ofthe historic one NYC , 49th Street , quite close Rockafeller centre 5 min Broadway , Times square 10 min walk . room clean , spacious 's really need , eat meal think breakfast expensive . if be flag outside flagpole , check country flag . mean senior official country stay , since UN close by . hotel staff efficient , like business centre 10 min free airline online checkin site , great help . would def go back ! 
 Aug 14 2009 	 Happened Waldorf ! ! ! ! 	 use pinnacle luxury disappointment . arrive wait long check line ever see travel every week work - first time hotel . entrance grand room drab , wallpaper pealing bathroom wall , room outdate carpet weird feel room . RM 2528 corner kink delux room . disappoint worth money . 
 Aug 13 2009 	 elegant wonderful ... old style NYC 	 reading review Trip Advisor change reservation regular Waldorf Astoria room Towers . soooo glad . difference amazing ! almost seperate hotel 's & quot ; Private & quot ; entrance street private entrance hotel lobby . special private check desk Towers . get really great deal Expedia excited upon check find upgrade Executive Suite Concierge level . room huge ( NYC standard ) beautiful marble foyer seperate living room bedroom . large walk closet + coat closet foyer butler kitchen full size refrigerator , sink , etc . nice size flat screen tv living room one bedroom . room elegant feel & quot ; old style & quot ; New York . stay modern hotel NYC beautiful accomodation however feel like NYC definitely elegant . concierge level offer special room serve light breakfast include cereal , bread , fruit , boil egg . coffee , juice , water available . afternoon service concierge hospitality room experience room always crowd . one travel companion turn away one morning offer voucher lobby breakfast main level . although crowd staff make every attempt keep thing stock always helpful polite even guest . ask everyday expectation meet leave . one staff say & quot ; want leave happy & quot ; . consider crowd rude guest staff , impressed attitude . staff wonderful service exactly would expect Waldorf . issue floor really slick fall foyer one evening . call ice take 30 minute bring . ( self serve ice machine concierge level ) truly wonderful experience . 
 Aug 13 2009 	 huge impersonal hotel 	 visit hotel twice , October 2008 Christmas 2008 . although stay nice time , will not stay . hotel miss something special make stay unique . huge impersonal . ( perhaps hotel NY ) .Upon arrival December , upgrade Towers suite . check , realize complimentary upgrade , although front desk employee failed notify we would charge extra . ( Hilton Diamond member ) . lot complain hotel finally accept charge original rate , employee tower reception hostile border rude . 
