great 	 husband stay Hilton London Kensington stay London last week . fabulous hotel ! give corner room large room clean comfortable . near tube Shepherd 's Bush walk distance hotel . Westfield Mall nearby shopper 's heaven ! high end regular store ton place eat . husband eat Byron serve burger . food service great . little pricey everything London pricey ! would definitely recommend hotel anyone travel London first time . easy access tube bus , taxis everywhere safe neighborhood ! one negative thing inter 
 small clean . good location . 	 overall , decent hotel . room small side family 3 . clean . good breakfast . location ok , good . 10 min walk tube shopping basic ( well upscale mall ) . 
 wish not bother 	 wife stay Hilton Kensington last weekend ( 27 - 29th Nov 09 short get away busy job . decide stay ta Hilton excellent stay one Hitlon hotel Glasgow ( get engage ) . unfortunately extremely disappointed several aspect stay . select non - smoking room , however room ( 2063 ) receive corridor smell badly cigarette smoke . rang duty manager pleasant offer we two solution - room freshen and/or move room next day hotel fully book . book 2 night stay breakfast one eveening meal . go restaurant ( busy ) show table completely set . Glasgow experience anticipate buffet style meal variety choice . however disappointed find extremely limited unexcite set menu ( need highlight Hilton 's website would probably book without evening meal include ) . option upgrade meal , however supplement question quite exagerate ( example 13 pound go grill chicken dish 15.50 approx al carte menu ) .My wife opt vegetarian option set menu ( vegeterian ) . spinah ricotta tortolleni extremely balnd disappoint feel tesco brand fresh pasta sauce would exciting . wife choose bread butter pudding custard desert . highly disappointed . bread butter pudding dry nothing compare make week previous . custard taste school dinner like certainly powder base . starter bland water ' fresh ' pea soup . main 8pound supplement ( 21.50 la carte menu ) West Eleven ( restaurant name ) fish chip . plate arrive mountain chip , 2 small piece fish ( apparently turbot ) stne cold mushy pea . chip nice tartar suce , whole meal boring . choose set menu lack good choice . dessert mean white choc cheesecake - however available opted stoffee pecan nut cheescake . also bore . summarise meal would say waste money service certainly 4 * .That night go relax room plan busy Saturday . however , sleep 12.30 heard group girl bang door enter room next ( 2061 ) shreke screaming . understand noise , however girl continue get loud intermittent screaming , loud laughter , music , slam door run corridor . continue approx 40 min feel choice ring reception . agree speak rowdy guest . 5 minute later hear member staff knock ask girl kindly keep noise . obviously do not care door close start louder ever . 40 minute later another staff member knock door ( have not make second call assume someone else complain ) . staff member ( introduce manager ) ask quiet . must wait outside room soon knock door inform would leave ahad warn . unfortunately , gril continued ruin supposedly relax stay . end get sleep well 3 am . follow day extremely tired wife decide speak manager disappoint unrelaxing night . duty manager ( female ) helpful understanding say unfortunately unable deduct anything bill pay advance , tell would speak manager could compensate we lose night sleep . return hotel long day give key new room ( 7061 ) size previous room ( relatively small ) , mention make time would compensated previous night . follow morning , relax night 's sleep , go breakfast tell could avail executive lounge , obviously do previous day way compensation unfortunately communicate we , although enjoy relax breakfast lounge , know access previous evening could make use could enjoy complimentry drink canape would feel adequate compensation previous night unfortunately due poor communication feel poorly compensate dissapointing night . on second night go restaurant recommend concierge ( Edera ) - good overpriced lack adequate portion . the hotel situate well original tour bus stop directly opposite hotel . hotelw close shepherd bush tube stationa nd large westfield shopping centre . we come home trip without relaxed overall stay disappointing do not think could could risk book Hilton hotel clearly consistency . 
 good location great service small noisy room 	 Hilton everything right except guest room door slam shut loud enough wake sleep . return London shortly stay repair . this short walk Shepards Bush underground station new mall . 
 Jul 22 2009 	 nice hotel nothing special 	 hotel literally two minute away Shepherd 's Bush tube station convenient central line take Oxford Street . couple change require want go Heathrow tube generally easy get . also huge shopping centre tube station worth check out . the reception area nice staff pretty efficient . concierge look case etc room available take advantage check out . the room small - stay small room big city . perhaps 30 cm foot bed squeeze past . little floor space opening suitcase anything like . flatscreen LCD tv honestly doubt could fit tv flatscreen attach wall . bathroom equally small quite low ceiling . not bath - not bother we perhaps would expect bath price . we food hotel can not advise . quite place along Holland Park Avenue - not try plenty option . also Vue cinema area . the thing hotel London average hotel extremely expensive . would say hotel case point - £ 100 per night pretty small room without breakfast . we room much would nicer little space - although not ruin stay . 
 Jul 20 2009 	 Nice hotel slightly outside central London easily accessible 	 stay hotel one night upon arrive London . actually pretty good place stay . the hotel border two interesting area : Holland Park / Kensington area relatively quiet , leafy street , Westfield London shopping centre , easily one opulent mall ' ve see outside Las Vegas . the hotel appear renovate past year . room small , well lay quiet . although not think room renovate , acceptable condition will grudgingly admit good London standard , price pay ( 57 GBP ) .The location near Shepherd 's Bush tube , though bit walk around mall , would suggest slightly long far pleasant walk Holland Park tube hotel . also number bus route front hotel , often easier cheap alternative central London . really stop Tottenham Court Road station , good starting point tour London . overall , recommend hotel , especially people London time may look slightly different area stay . first - timer , may want stay somewhere bit close central London . either way , good bet . 
 Jul 9 2009 	 another Fantastic stay 	 second time Hilton London Kensington , another fantastic stay . front desk personal extremely friendly , fast . able check early complaint hesitation front desk . last time visit hotel , middle renovation , noisy day ( partner ' mind actually , since city anyways . ) trip , really please update refurbishment , quiet room . room nicely decorate , bathroom extremely clean ( love shampoo way . ) bed also clean comfortable . hotel near Tesco Express , great want quick walk breakfast hit town . sheppard ' Bush tube / bus stop short walk also . area safe , feel comfortable walk sidewalk even middle night . if one thing could change , control A / C . really like room cool ( even winter ) kind hard , otherwise major disappointment stay long . return , soon , stay Hilton London Kensington . 
 Jul 8 2009 	 ok suppose 	 stay partner overnight Birthday treat , combine trip Westfield , walk distance . book standard guest room , ask smoking room check upgrade executive room 2nd floor ( smoke room 2nd floor ) room clean , b ut tiny , mean really small . bathroom equally lilliputian , though nice shower . Breakfast include , ok would like non pork sausage . very , noisy , traffic , police , ambulance siren , night long . ambience disturb see couple physical fight outside room . hotel 's fault obviously ! friendly staff , quick check . toothbrush kit would appreciate ! 
 Jul 5 2009 	 lovely hotel easy transport link would return . 	 friend recently stay hotel 4 night . twin room clean necessary facility , tv , safe , tea coffee , etc . ( kettle could actually get 1 cup tea nice ) . not use hotel amenity , choose majority day , can not comment restaurant bar , etc hotel . however plenty cafe , restaurant , etc . , couple minute walk hotel , choose go explore . come hotel , right 5 minute walk large modern shopping centre lot restaurant open late . leave hotel 5 minute walk local cafe , restaurant etc . eat local Bombay Bicycle Indian Restaurant one evening , serve lovely food pleasant staff . the location good , nice area , far Shepherds Bush Holland Park tube station central line . although shepherd Bush slightly close Holland Park ( 2 minute across busy junction ) , choose use Holland Park station , lot quieter ( escalator case , thankfully lift even well ) . station 5 10 minute walk hotel , along pleasant tree line street . also Tesco tube station find handy . continue another half mile tube station leave , head Nottinghill famous Portobello Market ( saturday ) . basically follow crowd can not miss ! wear comfy shoe though , market huge . we certainly complaint hotel serve purpose nicely would recommend place stay nice area . 
 Jul 1 2009 	 London break- great location average room 	 Hilton Kensington great location , close two tube station bus route front . the Restaurant Staff courteous food great . the Reception Staff time difficult get assistance room small need refurbishment . clean housekeeping team encounte pleasant professionable . if room length stay , bed place stay . 
 Jun 30 2009 	 Great Hotel ...... ..... 	 really nice hotel , great staff , nice area , close westfile shopping centre , Hop Hop tour bus start road , ..... massive wait evening meal , eat evening hotel make sure hour spare ! ! ! kid second night could not even wait dessert , go without , already hour ! ! ! shame complaint . 
 Jun 27 2009 	 fine 1 night stay . 	 usual standard Hilton , central location near tube , room ok , could hear next door tv talking , sound proof adequate . breakfast slow , fine 1 night stay . 
 Jun 26 2009 	 avoid 2095 - restaurant 	 arrival allocate room 2095 , shoe box size room bath . way would stay room size 3 night . small walk round bed get room tv wall mount due lack space . Hilton proud manner accommodate Silver vip hhonor member ? return reception room change mere formality . Laura trot twice confer manager delay grant alternative room 4th floor . appear standard room least bath tiny bathroom beg question room 2095 could describe . our restaurant experience also dire affair . dull , windowless room understaffed extent ask twice water , twice re - fill wait long time order take also course . point finger wait staff respect . staffing level adequate cope . unfortunately sorry story breakfast . table clear , side plate , hot breakfast serve cold plate - could go avail ? Hilton name use guarantor quality , Kensington fall far short standard . 
 Jun 24 2009 	 LOVE LOVE LOVE ! 	 find ! kind beat path oh worth . locate cute little street seem picture . little gelato place street towards underground absoultely fabulous ! would stay heart beat ! thing not like fact toilet work well . oh , also charge large fee use internet . not foget visit Nottinghill ! literally ten minute walk hotel . cute ! 
 Jun 24 2009 	 Mega breakfast lack one thing 	 great location , excellent transport place . second time hotel , last single person . twin room claustrophobic 2 people . smoker companoin non smoker , o.k . wish area outside hotel sit comfort drink cigarette pollute bedroom non smoking friend . usual buffet breakfast incredible could set whole day . cleanliness room could fault . ask small fridge room check provide . know possible get 5 * accommodation last minute booking London discount bother take risk ? book ahead know sure get good option . 
 Jun 23 2009 	 Loved ! 	 return 5 night stay end trip much enjoy neighborhood hotel . although one lucky one room upgrade make space standard room manage quite well . keep spotless tea / coffee cookie replenish day . concierge service always helpful pleasant one meal eat ( tired go elsewhere ) good . would definitely return . 
 Jun 21 2009 	 Guest orientated hotel 	 stay one night wife . generally , pleasant commendable stay . hotel stand staff treat guest respect - prepare / have train give little bit extra nobody indifferent attitude . also greet talk guest helpful positive way . pro : straightforward check - in ; attitude staff towards guest excellent ; bus stop outside hotel ( direction ) ; ten minute walk Holland Park tube station ; locate pleasant tree - line avenue ; brilliant upmarket Westfield Shopping Centre within walking distance ; large executive lounge plenty choice breakfast pre - dinner nibble drink also free internet access ; plenty area sit relax ground floor ; good breakfast large restaurant ; hotel provide value money Central London . con : evening meal hotel restaurant ( dinner b & amp ; b basis ) offer limited choice although service good , food satisfactory ; bedroom ( even executive one ) small- black paint area bedroom bite downmarket . would recomme hotel look good value good quality guest relation part London . 
 Jun 16 2009 	 reasonably price location outside hustle bustle . 	 stay Hilton Kensington April 2007 please . flight US Europe get check - in hotel . staff happy secure luggage closet room available . plenty bag closet , apparently not one . staff also assist contact airport leave bag ... ugh . hotel staff everything short driving airport . when check find room good condition . would not even consider bedroom small . bathroom bite petite size , serve purpose . our 9 night stay not tempt we eat restaurant site , stop bar couple drink . staff pleasant concierge top notch ( forget name , remember Algerian ) . hotel locate Shepherd 's Bush Holland Park tube station . bus stop right outside front door , public transportation beck call . hotel locate main road take Notting Hill , north side Hyde Park , Marble Arch , shopping district Regent Street . the conierge arrange taxi pick we 6:30 morning departure . taxi actually wait US ! ! ! would recommend hotel anyone want save buck London not need high cost amenity . 
 Jun 15 2009 	 round great 	 lovely welcome nice room . excellent service bar quickly accomodate 20 we drink snack . staff could not enough we . 
 Jun 12 2009 	 great stay - wonderful area ! 	 stay one night disappoint . typical large Hilton , still attentive service - pleasant check staff waiter breakfast . clean , comfortable wonderful trendy location . complimentary wine lovely touch . 
 Jun 10 2009 	 enjoyable stay 	 family stay hotel 5 day trip England . room okay size , clean quiet . room face roundabout outside hotel , could barely hear noise street . complimentary tea / coffee / cookie refresh daily . hotel staff polite , friendly helpful . location excellent ; be 5 min walk new Westfield Mall close Underground station ( Shepherd 's Bush ) , 30 min Heathrow Airport taxi . also bus stop right front hotel . price room reasonable . ' ve already decide return England next summer , definitely stay hotel . 
 Jun 9 2009 	 complaint 	 stay 4 night would come back . clean spacious room , attentive service , 24 hour lounge . close two tube station lot shop within walking distance . greek restaurant across street good taramasalata ' ve ever . check , discover leave favorite dress room . call say worry , could pick whenever . week later , stop head back US quickly bring dress . internet access whop 4 pound half hour , skip head many internet cafe past Shepherd 's Bush station . 
 Jun 9 2009 	 Fantastic Stay 	 stay hotel three night 5th-8th June fantastic stay . from minute check check hotel great . first give upgrade excecutive room complete lounge access big bonus . room spotless mean small , 6th floor massive comfy bed problem get good night sleep . all staff meet professional , also friendly helpful , could'nt enough we mean staff . next food , good DBB eat night well breakfast . the food good limited selection diner , hey still fine three night . breakfast usual Hilton ' one ' great , excellent selection quality . would recommend hotel problem ever return London shall hesitate book again . a BIG thank staff make break special . 
 Jun 8 2009 	 exemplary service 	 stay hotel many time since daughter live neighborhood . visit , overlook retrieve american money roomsafe leave , , upon inquire , pleasantly surprised learn purse turn . hotel seem much busy usual -- perhaps Westfield Shopping Center practically doorstep , responsible . reviewer comment hotel bit way London attractiion . however , neighborhood lovely - very enjoyable stroll around Holland Park Notting Hill -- give differerent aspect London trip . 
 Jun 5 2009 	 one kind ........ 	 stay two night , room big verry clean . the buffetbreakfast verry nice everything like there . a wonderfull place good service . worth money pay . 
 Jun 3 2009 	 simply love 	 great hotel 
 May 29 2009 	 exactly want 	 daughter use hotel five day base tour university outside London . perfect we : light , airy clean room , enough counter space bathroom , nice view leafy tree large window . walk Holland Park tube station lovely , charming shop supermarket along way ( Sheperds Bush close , enjoy walk , bus service outside front door ) . check Westfield shopping center ... lot retaurant well , big boot drugstore universe . con : expensive internet access room ( 15 pound 24 hour run noon noon , though cheap different term lobby ) ; keep window open instead use air conditioner quite bit traffic noise ; weak shower pressure , dealbreaker . admittedly hotel center action ... plus we ' ve London time , would recommend first - timer well be look value money . 
 May 24 2009 	 will back sure ! 	 complete stay total - include weekend away country - two week . say great choice . course , arrive 9 .. m. transocean flight checkout 11 , 's chance will not room available . stash luggage go walk bus ride ! yes , room small , north american standard , small comparable London hotel , - least clean , well sound - insulate , everything work ! location could not well : true , 's dead - center London , be real London neighborhood , short walk Shepherd 's Bush tube ( 10 minute Oxford Street , max . ) - even well - several bus route central London stop right hotel door ! ( use Oyster Card bus get free tour London every ride ! ) plenty local restaurant - sumptuous , brand - new Westfield shopping center ( opposite direction ) along Holland Park Avenue . well : breakfast ( include room , easily worth £ 15 per person ) - never see buffet rival : make - to - order omelette , fry egg , scramble egg , yogurt , fresh fruit ( pear , melon , orange slice , ) , porridge dry cereal , pancake , sausage , fried tomato , croissant , wholewheat bread , smoke salmon , cheese , . simply snaffle roll , apple cheese buffet rarely buy lunch ! Lukacz , favorite maitre ' , make sure get coffee tea , plus choice juice , deliver within second seat . two complaint : overly - soft mattress second - post weekend - room : biggie . truly rip - off charge something like £ 6 hour high - speed internet use ! ( find several place minute away Shepherd 's Bush charge £ 1 hour , many Cafe Nero Prete cafe free wi - fi . British Library Euston . ) say , will back sure ! 
