room 	 would highly recommend hotel - fantastic spot Manhattan ( walk distance 5th Ave subway etc ) be neat , tidy decent price . our room 2 single bed inside , must admit much small expect , not bother we one bit - be New York , be go spend extend amount time room , be crazy ! tiny room suit we sleep . clean comfortable within budget ( $ 1000 5 night - book expedia ) .I highly recommend hotel would definitely stay . 
 Aug 21 2009 	 service please 	 stay six night Thirty Thirty July 09 . & quot ; family deluxe room & quot ; really nice - big spacious great place come back walk street NYC day night . get good deal booking ( 40 percent ) , pay full price , would downright disappoint . mainly extra amenity people expect nowadays . travel two teenage boy need internet - acce ... charge two dollar ( feed machine lobby ) minute , be good enough . charge internet - acce room ridiculously high - worthy hotel like Thirty Thirty present modern trendy hotel ( many way - people 's expectation different compare year ago ) . moreover experience couple time message leave reception night pass manager - internet - machine eat dollar without give access , put bit pressure change check - out time 11 12 ) , 's bit work management respect . location hotel okay , great . be couple nice sandwich - place area store 's open day night corner - Empire State Building 5 min walk away ... be look bit NYC - action area might bit quiet . stay successful , general service hotel need improve . 
 Aug 19 2009 	 great setting 	 enjoy stay 30 - 30 ... location can not beat . 's value attractive part Big City . room small , rug bit fray , AC noisy ... external ( outside ) noise level quite higha well , 's city . staff attentive equipment working order . hotel run value day competitive . cousin always stay 30 - 30 's town truly value hg opinion . 
 Aug 18 2009 	 Perfect Hotel 	 great location , within walk distance times square empire state building . room 1004 good size 2 we . view window be not great people expect new york ? ! staff would bend backwards make happy conceirge spend day search vegetarian restuarant us manager always time stop ask day even midnight slightly bad wear . problem carbon monoxide alarm beep 2 day row sort promptly maintenence manager respond call . would definately stay return new york ! feel like 2nd home ! request would tea coffee make facility room gasp cup tea arrival . 
 Aug 14 2009 	 cockroach - alot - big small 	 like animal - cockroach - hotel ! stay june cockroache placein bathroom bed - nice ..... like animal hotel ! don´t recommend hotel ! ! 
 Aug 12 2009 	 fantastic hotel/ great location 	 first holiday Mr & amp ; Mrs want hotel almost center everything choose Thirty Thirty locate close subway quick travel & amp ; central walk around , opinion good way see & amp ; experience New York foot . hotel fantastic modern , clean & amp ; staff great always smile & amp ; helpful . room good size , clean & amp ; comfortable . wil definatly return New York & amp ; certainly stay . good piece advice anyone go New York & amp ; want see sight book everything go save much time quee , also get city pass definatly worth buy book ticket Empire State Building , Guggenhiem Museum , MOMA , Statue Liberty Circle Line Cruise , American Museum Natural Histroy & amp ; Met Museum . go natural History Museum would deffinatly recomend Hayden planetarium amazing . also worth buy Metro card stay hop & amp ; please great value money . go book photo tour marc Samuels take around New york place want go 2 hour & amp ; take photo get picture both / all people together pics fantastic & amp ; worth every penny , anyone interseste e - mail ( -- -- -- -- -- - ) website www.phototrektours.com also book ticket Yankees game brilliant experience get ticket allstar ticket e - mail : ( -- -- -- ) Mike Fassio delt . 
 Aug 8 2009 	 excellent location good value money 	 room quite large , perhaps family room . clean , nice cotton sheet bed . plenty coffee make product replace day . good location . get weekly subway ticket go everywhere although not want get bus Harlem . guide tour would well . go Statten Island ferry , be free get good view Statue Liberty , plus Manhatten skyline . would definitely recommend hotel stay . 
 Jul 30 2009 	 generally good value money great location 	 somewhat worried stay hotel reading rat infest room bad ! reception staff , especially young polish woman , extremely helpful especially give complicated request . location great - walk distance many attraction ( Empire State Building , Times Square ) close subway access area afield . bad thing room - small scruffy need redecoration . bathroom well high quality towel , good hair drier etc weird smell . fill breakfast include price serve nice bar / restaurant site . would definitely stay would demand choice room . 
 Jul 29 2009 	 home away Home Thirty Thirty 	 unless wealthy -- we -- think book hotel room New York City depressing . land $ 300 night , tiny , tiny mousetrap hotel room try make happen behind door opulent lobby . 's opulent , like lobby Thirty Thirty Hotel . contemporary functional . , like hotel , everything need price afford . get one King room travel spouse home away home getaway spot really comfy bed , high - end bed , lot light want ( total dark want ) nice seat area desk really cool bathroom . love bath . marble glass shower fantastic shower head . nice soap great lotion , . high -- end product budget price . relax end hard day NYC tourist . 's Ritz . suppose . thirty Thirty neighborhood lot deli family own restaurant little cafe standard issue starbuck nearby . really close sight , like NY Public Library Empire State Building . right subway line take anywhere want go . also highend restaurant close Park make perfect special night someone love . end day , will enjoy come & quot ; home . & quot ; staff intrusive always someone around say & quot ; hello & quot ; offer help need something . be great little restaurant right downstairs serve everything cheap filling breakfast late night eat night cap . 's free internet service . pay room go communal pay station lobby . stay three time ; daughter teen interview college , alone business , recently husband attend convention . always complaint something . honestly , say anything bad place . time , Thirty thirty perfect spot . 
 Jul 26 2009 	 worth try 	 hotel mixed review certainly complaint . room bathroom clean well appoint . tell could walk Times Square 12 minute never make less 20 . certainly worth vary route much see way . the attached resteraunt serve good food reasonable price 20 % service charge add whether like . say staff attentive . theonly drawback hotel smell cigarette smoke certain area permanant resident 
 Jul 12 2009 	 great value location 1st time NYC 	 reading rest review think hotel must process renovate . price pay ( $ 119 per night ) hotel great . room small closet safe , iron board iron flat screen tv . queen bed comfortable , bathroom clean room clean everyday . room back end hotel away traffic probably help keep sound . hotel staff really friendly not rude either .... not really add anything positive negative visit . hotel 3 block away subway 6 line 2 block away 5th Avenue . area around hotel feel safe always plenty traffic . unless rush hour time able easily flag taxi . check profile video room stay in . we impress restaurant across hotel name Crooked Knife . good deal Miller Light tap margaritas food average find well food easily elsewhere . would suggest go drink skip eat . 
