security 	 glow review , sadly , would actively steer people away hotel . everything go along nicely 3 night stay -- think price right , location good room amenity nice . unfortunately , money vanish room safe would feel safe stay hotel .... recommend hotel friend colleague . fact : stay hotel 3 night mid November . stay , use hotel safe valuable extra cash would not carry street . night check , take valuable cash safe , leave $ 250 safe lock security code . check next day though experience traveler always check room thoroughly check , forget empty safe . leave hotel 10 a.m. realize mistake 4 pm immediately call hotel . supposedly , security person duty go room use hand hold device ride personal security code . wait hold check room . get back phone , say , & quot ; ' m sorry , safe empty & quot ; .Of course , word mine , see money safe know lock left room . one open safe meantime , would explain vanish act ? next talk head security hotel several time . first conversation , say personally go security person safe open . next conversation , press whether SAW safe open empty , retract early statement say , & quot ; , not go room , stay elevator . & quot ; therefore , person open safe witness . find revelation bit disturbing . change story ? next , ask speak hotel manager . wait 5 hour receive call back . apologize behalf hotel , could not explain discrepancy security staff 's story promise & quot ; get bottom situation get back & quot ; . say look forward full report wish could get money back , concerned hotel institute well security system follow . nearly two week since incident not hear anything manager ...... credit , offered offer complimentary stay future visit , issue fully investigate resolve , would not feel safe staying hotel . so .... stay Empire Hotel , remember well carry valuable . money lose , could upgrade well ( safe ) hotel . one point , stay , lobby close entire day tv show , Gossip Girl film . ' m sure hotel compensate use space , add nothing inconvenience stay go alternate entrance , etc . make feel like hotel try use space make much money possible without concern might affect guest . mention issue front desk staff , say lobby use film crew nearly every week , one situation , on - go inconvenience future guest . 
 Closet -- -- joke ! 	 absolute bad hotel ever stay ! small understatement . closet size space . broken window . iron . bathroom disgusting . huge disappointment . picture website suite .... not fool . 
 Sep 15 2009 	 rocky start arrival real problem would stay 	 want write review recent one scare ! book hotel Priceline day arrive ( Sept. 6 . 2009 ) $ 130 . call inquire bed travel two elementary school age child prefer two double bed instead one king . speak Vina ( Bina ? ) say able book Priceline hotel overbooke would walk another unspecified hotel . explain , Priceline , room pay concerned walk young kid anticipate late arrival . Vina ask hold minute . come back line , tell room secure late arrival , $ 30 upcharge , could guarantee two bed . professional courteous . we arrive late ( 9 pm ) Sunday evening . two party front we Reception Desk neither staffperson acknowledge presence ready help . whatever , 's New York time . , find staff quite pleasant . the room quite small , even New York standard . room two bed , chair much else . bathroom also small , point walk around door bit close behind . nevertheless , everything clean , comfortable tastefully decorate . Monday morning , call iron ironing board ( include room ) . take less 10 minute arrive ; pleasantly surprised . hear Housekeeping knock door around 9 am , already put & quot ; disturb & quot ; sign adhere . 10:30am leave hotel , one knock disturb we . the hotel definitely chic / hip / trendy vibe , include bouncer / security staff elevator usher people roof - top bar . kid , not partake . see would plus . also run television actor staying floor we ! complaint ( $ 60 ! ! ! valet charge car ) would stay . give try ! 
 Sep 14 2009 	 lose luggage- unprofessional staff 	 yes , beautiful hotel , perfect location 's ends- check leave luggage storage room return find luggage lose . week count back forth , careless , rude & quot ; manager & quot ; tell we see camera footage husband leave bag 's , rest like never happen . resolution ? pay we $ 500 watch put away luggage cost amount . keep blame leave luggage stay 4 star hotel not expect leave without belonging . be take small claim court will not go without fight- everyone work hard money , pay stay hotel expect return home luggage , expect sincere apology proper mention fair reimbursement . favor- find another hotel million NYC keep luggage ! 
 Sep 13 2009 	 great location central 	 centrally locate like walk -close moma Metropolitan Central Park . across road Lincoln Centre Opera Music lover . fault tea / coffee make facility room , Starbucks 2 minute away . trendy bar roof top Gossip Girl film day stay . 
 Sep 10 2009 	 terrible service bad hotel experience ever 	 high expectation hotel service greatly disappointed account . go holiday friend expect really good time hassle free , hassle hotel staff . firstly room next outside generator , make loud noise enough wake dead . ask room change rude reception state fully sell room available . create fuss show four different room miraculously appear . btw make sure room 9 floor ensre minimal noise interference . concierge answer phone ever , help luggage room . time visit Gossip Girl filming area , interested entrance figure bearing trying find way Soho . hotel door man abruptly tell we leave hotel premise right , right stand pavement ! shock appal behaviour complain hotel reception first ignore dismiss we . however overheard hotel seniour doorman apologise sincerely tell we go roof top free drink . so go rooftop , ( extremely overstate pool allow 1 person swim narrow short ) drink enter lift original rude door man come lift . say word decide would opportune time rant rave we . Saying & quot ; not want lift & quot ; & quot ; guy rude & quot ; & quot ; do not come rooftop guy bar say & quot ; door open swore leave . go back reception apparently common occurence door man supervisor leave call back tomorrow . overall , one expensive hotel stay absolute bad experience ever . stay , choice please warn expect treat like dirt . 
 Sep 7 2009 	 avoid Hotel ! 	 room extremely small , bathroom way small ... could not even stand front sink , heaven 's sake . air conditioner unit must hundred year old poor job keeping room cool . maid neglect restock toilet paper one day , resort use kleenex next day . top , request wake - up call never come , even though front desk clerk assure would . set alarm cell phone , would miss 7:00 flight home . seem like empire management interested run trendy , high - fashion & quot ; rooftop bar & quot ; run decent hotel . stay elsewhere . Empire Hotel waste money worth time price ! 
 Sep 4 2009 	 go elsewhere could bad hotel experience will ever . 	 room poorly clean , hotel staff ( behind desk , manager ) , rude unprofessional , God forbid ask help spa joke - 's basement 's hot lot dust . bathroom kind dope . add insult injury , pool roof filthy poor service night , roof top bar fill culture vulture , wanna - bee suit & quot ; thug & quot ; like security staff . even disappointing reality totally bamboozele hotel 's slick pr effort stay elsewhere fact drink small mixed poorly , could not hear person next ( even want ) music loud outdate . 
 Sep 4 2009 	 complaint ... great stay 	 agree last reviewer ... maybe stay another hotel . stay Empire great . everyone encounter front desk housekeep helpful kind . hotel 's b'fast expensive nearby place get great b'fast much cheap . pool fine cooling ( not try lap ) . Pool Deck / Garden cool relaxing . stop rooftop bar ( separate hotel ) kinda corney , people work generally suck seem hate life bald guy run around ( assume manager gallant strides importance take also [ -- ] ... guess attract ) haha ... drink insanely expensive ... guess trying attract rich famous sort crowd get break socialite wannabee stupid goons/ [ -- ] , actually good get laugh ridiculous people . back hotel ... stay Standard Queen , room bit small NYC everyone live box anyway surprised . decide upgrade Deluxe King extra 60 buck ( upgrade Superior king ) well worth . front desk kid efficient , informative accommodate come quandary whether change room . room much large view Lincoln Center . room clean immaculate look . bathroom room also slightly large . shower bit tricky navigate figure . AC work perfectly fine ... problem room . location also excellent ... be close proximity everything . back . 
 Sep 3 2009 	 great hotel great location - not drink roof terrace ! ! 	 think must stayed different hotel previous reviewer - sound like good thing ! return long weekend Empire love ! upgrade room arrival view Broadway - extra $ 30 night not think bad considering have get really good rate first place . check - in guy ( Peter ) really helpful - room ready arrive 2 pm go straight . room clean , A / c work fine ( bit noisy not keep we awake ) . Bathroom v. small double shower , sink toilet - else need ? ! resident roof terrace pool lovely . pool small , perfect cooling . terrace not get sun evening 's still really nice place . not go roof top bar 's open public not really scene - seem nice not interfer rest hotel . location perfect - 2 min walk subway , 5 min Central Park , 20 min Times Square 10 second Starbucks ! 2 minor critisism - consierge helpful . not tell we anything not already know seem like ask world , rather recommendation dinner - not job ? ! also , price roof top bar crazy - 1 diet coke = $ 8 ( include tax 20 % service , even though pour bottle ! ) take there . would definitely recommend hotel , would definitely go back . 
 Aug 31 2009 	 want treat like third class - stay ! 	 write review 4 morning , wait wife wake book place . spent weekend get away . location good - great restaurant within close proximity . check seem like task staff . smell something ? ? job ! Room nicely decorate , decent view . houseclean staff figure everyone hotel @ 6 morning . roof top bar nice , PLEASE waitress bar tender .... be not PALMS - lose attitude start ' serve ' customer kindness respect ! be like every employee empire get ' beat ' shift . coffee anywhere morning - unless want spend $ 20 pot - duh , ( Starbucks , around corner ) ! breakfast buffet ... hmm , crap expensive . remove current staff - excellent place stay . 's unfortunate service completely destroy hotel experience . 
 Aug 30 2009 	 Terrible Service Hotel look good cheap 	 wow , even start . decide Empire friend 's bachlorette party . excite sit pool Saturday ( day check - in ) , however rain , decide go city early check . arrive 1:00 pm , tell we could check early , however people check room room would ready 3:00 ( normal check ) . basically tell thankful even room come back later check in . well , arrive 3:00 guess ? room not ready ! point extremely frustrated 2 hour since get , nothing do . tell we first room would ready 3:30 next 4:00 compensate give we ( 9 we ) round drink . bartender sweet give we drink , start throw around stuff really nasty . sit lobby 3:49 tell we one room ready . 4:45 give room key . order make we give we $ 100 room 8 free ticket breakfast . however , idea take get anything . staff management rude , obnoxious give excuse everything . lack customer service skill . the room really nice , however outlet not work , light poor , bathroom shower door bathroom hard move . pool fit 10 people ( exaggerate , picture website deceive ) not beach towel either . room smell like throw mold a / c sound like elevator . everyone group would nice thing say hotel three second later something go wrong . good part stay get spend time , bellboy wait staff . nine we , nine we , would never ever return recommend . 
 Aug 29 2009 	 Gooood 	 good solution work turism . room small clean confortable . position perfect . excellent roof garden cool pub . breakfast expensive perfect . 
 Aug 28 2009 	 Hope like cabbage 	 stay group girlfriend night town . hotel lobby nice place clean . get suite ( room 1105 ) tiny manage squeeze 2 queen size bed pull couch within small living quarter . bathroom shower only - no tub big deal we might other ... experience decent except fact room terrible odor cabbage .. actually unbearable first 20 minute ol ' factory sense get use . call front desk ask room freshener . second phone call hour later , receive room spray . overall , decent hotel pretty reasonably price get smell ! 
 Aug 24 2009 	 A / c tiny room never 	 check - in complete chaos staff friendly . Room claim A / c work . every room -- renovate put new A / C , awful push - button manual unit work . be like Holiday Inn , except A / C work . awful summer day . room tiny - stay ny lot , small room ever see . never go back Empire Hotel . 
 Aug 24 2009 	 stay . 	 read review many hotel decide upon Empire . King Superior Suite surprise spacious room . ( see later comment ) . Decor look photo . warm inviting . comfortable bed trip long shoot . ... soooo comfortable . storage fine . Aircon work well . everything work fine . tea / soffee make facility room however housekeep efficient provide hot water cup room charge . ironing board provide charge quickly follow request . impressed quick service hotel full . front desk friendly helpful . location terrific . starbuck pharmacy right next door . plenty great reasonably price eatery close . central park 5 minute Times Square 10 minute walk . Felt safe . top spot return stay . room size .... comparison spend one night Hampton Inn 39th St West . similar rate . clean place / complaint room like postage stamp - comfortable queen bed room size almost half size Empire . ... cramp comparison luxury Empire . recommend Empire three time already . facility use enjoy we . 
